"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013252";"ENSDARG00000013252";"31 x 28";"24hpf_neg";"si:dkey-202l16.5";"si:dkey-202l16.5 [Source:ZFIN;Acc:ZDB-GENE-120411-6]"
"ENSDARG00000015010";"ENSDARG00000015010";"10 x 23";"72hpf_pos.1";"ccdc114";"coiled-coil domain containing 114 [Source:ZFIN;Acc:ZDB-GENE-041114-110]"
"ENSDARG00000017355";"ENSDARG00000017355";"7 x 25";"72hpf_pos.1";"rsph9";"radial spoke head 9 homolog [Source:ZFIN;Acc:ZDB-GENE-051120-129]"
"ENSDARG00000019742";"ENSDARG00000019742";"37 x 35";"24hpf_pos.1";"tlr4ba";"toll-like receptor 4b, duplicate a [Source:ZFIN;Acc:ZDB-GENE-040219-8]"
"ENSDARG00000021913";"ENSDARG00000021913";"32 x 10";"72hpf_pos.1";"si:ch211-199m3.4";"adenylate kinase 9 [Source:ZFIN;Acc:ZDB-GENE-041014-337]"
"ENSDARG00000021997";"ENSDARG00000021997";"18 x 15";"72hpf_pos";"cfap206";"cilia and flagella associated protein 206 [Source:ZFIN;Acc:ZDB-GENE-050522-460]"
"ENSDARG00000022048";"ENSDARG00000022048";"34 x 15";"24hpf_pos.1";"tlr4bb";"toll-like receptor 4b, duplicate b [Source:ZFIN;Acc:ZDB-GENE-040219-9]"
"ENSDARG00000038788";"ENSDARG00000038788";"24 x 36";"24hpf_neg";"dnai1.2";"dynein, axonemal, intermediate chain 1, paralog 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1302]"
"ENSDARG00000040085";"ENSDARG00000040085";"18 x 34";"72hpf_neg_gata5";"ccsapb";"centriole, cilia and spindle-associated protein b [Source:ZFIN;Acc:ZDB-GENE-081107-51]"
"ENSDARG00000042308";"ENSDARG00000042308";"33 x 12";"24hpf_neg";"arhgef18b";"rho/rac guanine nucleotide exchange factor (GEF) 18b [Source:ZFIN;Acc:ZDB-GENE-070705-462]"
"ENSDARG00000042902";"ENSDARG00000042902";"40 x 18";"24hpf_pos.1";"afg1lb";"AFG1 like ATPase b [Source:ZFIN;Acc:ZDB-GENE-041014-178]"
"ENSDARG00000044400";"ENSDARG00000044400";"10 x 20";"72hpf_pos.1";"wdr78";"WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322]"
"ENSDARG00000053455";"ENSDARG00000053455";"40 x 18";"24hpf_pos.1";"ccdc103";"coiled-coil domain containing 103 [Source:ZFIN;Acc:ZDB-GENE-040718-253]"
"ENSDARG00000054858";"ENSDARG00000054858";"15 x 37";"72hpf_neg_gata5";"tp53bp2b";"tumor protein p53 binding protein, 2b [Source:ZFIN;Acc:ZDB-GENE-050208-453]"
"ENSDARG00000056764";"ENSDARG00000056764";"18 x 40";"72hpf_neg_gata5";"hydin";"HYDIN, axonemal central pair apparatus protein [Source:ZFIN;Acc:ZDB-GENE-050419-219]"
"ENSDARG00000056888";"ENSDARG00000056888";"8 x 24";"72hpf_pos_hand2.1";"dnah5l";"dynein, axonemal, heavy chain 5 like [Source:ZFIN;Acc:ZDB-GENE-091204-287]"
"ENSDARG00000058416";"ENSDARG00000058416";"17 x 28";"72hpf_neg_hand2";"";"si:dkey-11m19.5 [Source:ZFIN;Acc:ZDB-GENE-120709-97]"
"ENSDARG00000059903";"ENSDARG00000059903";"40 x 18";"24hpf_pos.1";"hs3st3l";"heparan sulfate (glucosamine) 3-O-sulfotransferase 3-like [Source:ZFIN;Acc:ZDB-GENE-070202-6]"
"ENSDARG00000059987";"ENSDARG00000059987";"31 x 40";"72hpf_neg";"dnah12";"dynein, axonemal, heavy chain 12 [Source:ZFIN;Acc:ZDB-GENE-090311-9]"
"ENSDARG00000060165";"ENSDARG00000060165";"1 x 12";"72hpf_pos_gata5.1";"dnah7";"dynein, axonemal, heavy chain 7 [Source:ZFIN;Acc:ZDB-GENE-070912-282]"
"ENSDARG00000062978";"ENSDARG00000062978";"35 x 16";"24hpf_pos.1";"ccdc151";"coiled-coil domain containing 151 [Source:ZFIN;Acc:ZDB-GENE-061013-787]"
"ENSDARG00000068468";"ENSDARG00000068468";"40 x 15";"24hpf_pos.1";"dnah3";"dynein axonemal heavy chain 3 [Source:ZFIN;Acc:ZDB-GENE-091112-7]"
"ENSDARG00000069361";"ENSDARG00000069361";"9 x 31";"72hpf_neg_hand2";"spa17";"neurogranin (protein kinase C substrate, RC3) b [Source:ZFIN;Acc:ZDB-GENE-070112-1912]"
"ENSDARG00000069723";"ENSDARG00000069723";"7 x 24";"72hpf_pos";"";"zinc finger, B-box domain containing [Source:ZFIN;Acc:ZDB-GENE-061207-76]"
"ENSDARG00000071347";"ENSDARG00000071347";"31 x 28";"24hpf_pos.1";"aftphb";"aftiphilin b [Source:ZFIN;Acc:ZDB-GENE-060503-388]"
"ENSDARG00000074081";"ENSDARG00000074081";"40 x 12";"24hpf_pos.1";"dnai2b";"dynein, axonemal, intermediate chain 2b [Source:ZFIN;Acc:ZDB-GENE-131016-1]"
"ENSDARG00000075169";"ENSDARG00000075169";"19 x 37";"24hpf_neg";"bbs1";"Bardet-Biedl syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-060126-1]"
"ENSDARG00000075671";"ENSDARG00000075671";"38 x 35";"24hpf_pos.1";"tlr4al";"toll-like receptor 4a, like [Source:ZFIN;Acc:ZDB-GENE-090507-2]"
"ENSDARG00000076752";"ENSDARG00000076752";"11 x 19";"72hpf_pos.1";"tmem67";"transmembrane protein 67 [Source:ZFIN;Acc:ZDB-GENE-080716-1]"
"ENSDARG00000077384";"ENSDARG00000077384";"22 x 35";"72hpf_neg_gata5";"";"dynein, axonemal, heavy chain 11 [Source:ZFIN;Acc:ZDB-GENE-100922-8]"
"ENSDARG00000078106";"ENSDARG00000078106";"7 x 5";"72hpf_pos_tbx5.1";"ocrl";"oculocerebrorenal syndrome of Lowe [Source:ZFIN;Acc:ZDB-GENE-061110-61]"
"ENSDARG00000087373";"ENSDARG00000087373";"20 x 40";"24hpf_neg";"";"dynein, axonemal, heavy chain 5 [Source:ZFIN;Acc:ZDB-GENE-110411-177]"
"ENSDARG00000094282";"ENSDARG00000094282";"24 x 40";"48hpf_neg";"";"dynein, axonemal, heavy chain 11 [Source:ZFIN;Acc:ZDB-GENE-100922-8]"
"ENSDARG00000099161";"ENSDARG00000099161";"22 x 37";"24hpf_neg";"dnaaf4";"dynein axonemal assembly factor 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1892]"
"ENSDARG00000100081";"ENSDARG00000100081";"31 x 12";"24hpf_pos";"";"dynein, axonemal, intermediate chain 1, paralog 1 [Source:ZFIN;Acc:ZDB-GENE-040910-7]"
"ENSDARG00000100115";"ENSDARG00000100115";"38 x 39";"24hpf_pos.1";"";"dynein, axonemal, heavy chain 1 [Source:ZFIN;Acc:ZDB-GENE-081015-3]"
"ENSDARG00000100232";"ENSDARG00000100232";"12 x 14";"72hpf_pos.1";"glis2b";"GLIS family zinc finger 2b [Source:ZFIN;Acc:ZDB-GENE-091204-120]"
"ENSDARG00000100584";"ENSDARG00000100584";"34 x 12";"24hpf_pos.1";"ccdc40";"coiled-coil domain containing 40 [Source:ZFIN;Acc:ZDB-GENE-060503-723]"
"ENSDARG00000100892";"ENSDARG00000100892";"19 x 32";"72hpf_neg_gata5";"cfap53";"cilia and flagella associated protein 53 [Source:ZFIN;Acc:ZDB-GENE-060503-508]"
"ENSDARG00000100981";"ENSDARG00000100981";"22 x 36";"24hpf_neg";"";"coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]"
"ENSDARG00000101963";"ENSDARG00000101963";"26 x 1";"24hpf_pos.1";"tmem141";"transmembrane protein 141 [Source:ZFIN;Acc:ZDB-GENE-060929-272]"
"ENSDARG00000104886";"ENSDARG00000104886";"32 x 32";"24hpf_pos";"";"dynein axonemal assembly factor 5 [Source:HGNC Symbol;Acc:HGNC:26013]"
