"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000015010";"ENSDARG00000015010";"10 x 23";"72hpf_pos.1";"ccdc114";"coiled-coil domain containing 114 [Source:ZFIN;Acc:ZDB-GENE-041114-110]"
"ENSDARG00000017355";"ENSDARG00000017355";"7 x 25";"72hpf_pos.1";"rsph9";"radial spoke head 9 homolog [Source:ZFIN;Acc:ZDB-GENE-051120-129]"
"ENSDARG00000025325";"ENSDARG00000025325";"9 x 33";"72hpf_neg_gata5";"ccsapa";"centriole, cilia and spindle-associated protein a [Source:ZFIN;Acc:ZDB-GENE-111116-1]"
"ENSDARG00000027234";"ENSDARG00000027234";"11 x 30";"72hpf_neg_hand2";"ift88";"intraflagellar transport 88 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-574]"
"ENSDARG00000040085";"ENSDARG00000040085";"18 x 34";"72hpf_neg_gata5";"ccsapb";"centriole, cilia and spindle-associated protein b [Source:ZFIN;Acc:ZDB-GENE-081107-51]"
"ENSDARG00000041870";"ENSDARG00000041870";"40 x 24";"72hpf_neg";"ift172";"intraflagellar transport 172 [Source:ZFIN;Acc:ZDB-GENE-040827-1]"
"ENSDARG00000042182";"ENSDARG00000042182";"22 x 33";"72hpf_neg_gata5";"drc1";"dynein regulatory complex subunit 1 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-041001-218]"
"ENSDARG00000045025";"ENSDARG00000045025";"9 x 25";"72hpf_pos.1";"ift52";"intraflagellar transport 52 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-040614-3]"
"ENSDARG00000053455";"ENSDARG00000053455";"40 x 18";"24hpf_pos.1";"ccdc103";"coiled-coil domain containing 103 [Source:ZFIN;Acc:ZDB-GENE-040718-253]"
"ENSDARG00000055238";"ENSDARG00000055238";"19 x 14";"72hpf_pos";"kif17";"kinesin family member 17 [Source:ZFIN;Acc:ZDB-GENE-080724-12]"
"ENSDARG00000059911";"ENSDARG00000059911";"40 x 23";"48hpf_neg";"bbs7";"Bardet-Biedl syndrome 7 [Source:ZFIN;Acc:ZDB-GENE-030219-90]"
"ENSDARG00000062978";"ENSDARG00000062978";"35 x 16";"24hpf_pos.1";"ccdc151";"coiled-coil domain containing 151 [Source:ZFIN;Acc:ZDB-GENE-061013-787]"
"ENSDARG00000069815";"ENSDARG00000069815";"24 x 15";"72hpf_pos_tbx5.1";"dnali1";"dynein, axonemal, light intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-080204-7]"
"ENSDARG00000075169";"ENSDARG00000075169";"19 x 37";"24hpf_neg";"bbs1";"Bardet-Biedl syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-060126-1]"
"ENSDARG00000086355";"ENSDARG00000086355";"32 x 31";"48hpf_neg";"";""
"ENSDARG00000088377";"ENSDARG00000088377";"6 x 26";"24hpf_pos.1";"rp1l1b";"retinitis pigmentosa 1-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-67]"
"ENSDARG00000089458";"ENSDARG00000089458";"3 x 33";"72hpf_neg";"rp1l1a";"retinitis pigmentosa 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-120711-1]"
"ENSDARG00000100584";"ENSDARG00000100584";"34 x 12";"24hpf_pos.1";"ccdc40";"coiled-coil domain containing 40 [Source:ZFIN;Acc:ZDB-GENE-060503-723]"
"ENSDARG00000100892";"ENSDARG00000100892";"19 x 32";"72hpf_neg_gata5";"cfap53";"cilia and flagella associated protein 53 [Source:ZFIN;Acc:ZDB-GENE-060503-508]"
"ENSDARG00000100981";"ENSDARG00000100981";"22 x 36";"24hpf_neg";"";"coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]"
"ENSDARG00000101963";"ENSDARG00000101963";"26 x 1";"24hpf_pos.1";"tmem141";"transmembrane protein 141 [Source:ZFIN;Acc:ZDB-GENE-060929-272]"
