"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000102928";1;"ENSDARG00000102928";"";3,2003594422745;2,96891539929549;11,8791589316085;-0,868740219525702;0,440574288697443;1,96308949512869;"0.0336308395204157      .";"1 x 30";" ";""
"ENSDARG00000042753";2;"ENSDARG00000042753";"cts12";2,76309936044186;2,30860031987993;7,93980946053296;-1,46767051123327;0,439686119475244;1,95818242085832;"0.0339399447643998      .";"1 x 29";"22 NA";"cathepsin 12 [Source:ZFIN;Acc:ZDB-GENE-050208-336]"
"ENSDARG00000017274";3;"ENSDARG00000017274";"opn1sw2";4,16204038746797;2,36485430774728;5,44415364626129;-2,16634884727631;0,779529936100218;4,97811959720476;"6.83879926279829e-05      .";"1 x 35";"11 NA";"opsin 1 (cone pigments), short-wave-sensitive 2 [Source:ZFIN;Acc:ZDB-GENE-990604-40]"
"ENSDARG00000030215";4;"ENSDARG00000030215";"matn1";9,20124420370358;4,25225830084688;5,34075264317578;-6,97631775692412;0,877763634744533;7,32853050266866;"8.48164318778544e-07      .";"1 x 37";"19 NA";"matrilin 1 [Source:ZFIN;Acc:ZDB-GENE-050307-3]"
"ENSDARG00000097008";5;"ENSDARG00000097008";"opn1mw1";5,37462126464961;2,90497340854034;5,22125689175076;-3,71075555581434;0,74840803205323;4,51365799032177;"0.000176709852339085      .";"1 x 35";"6 NA";"opsin 1 (cone pigments), medium-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-42]"
"ENSDARG00000045677";6;"ENSDARG00000045677";"opn1sw1";6,81487748905174;2,7004569360774;5,15898566920076;-4,48097538678135;0,71754726393004;4,12081637483169;"0.000400415541390253      .";"1 x 35";"4 NA";"opsin 1 (cone pigments), short-wave-sensitive 1 [Source:ZFIN;Acc:ZDB-GENE-991109-25]"
"ENSDARG00000002193";7;"ENSDARG00000002193";"rho";6,54613523059643;3,247456968902;5,14043797846144;-4,55352560887367;0,930901342905888;10,1940979523136;"1.05040155462532e-08      .";"1 x 37";"8 NA";"rhodopsin [Source:ZFIN;Acc:ZDB-GENE-990415-271]"
"ENSDARG00000103199";8;"ENSDARG00000103199";"si:dkey-247k7.2";4,21182073786472;1,69595580171744;5,13444504743019;-1,37859750015399;0,395058807032689;1,72016022960002;"0.0523412065141098      .";"1 x 27";"16 NA";"si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]"
"ENSDARG00000079302";9;"ENSDARG00000079302";"and2";8,47682288459404;2,49594168077377;5,08777308006538;-5,90527969767837;0,892191349787312;7,90148407014552;"3.25506924081509e-07      .";"1 x 37";"2 NA";"actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2]"
"ENSDARG00000044861";10;"ENSDARG00000044861";"opn1lw2";7,00915627472785;2,90809967264744;5,00732729126674;-4,87742047654214;0,890818648871976;7,84242042651516;"3.58573622794012e-07      .";"1 x 37";"11 NA";"opsin 1 (cone pigments), long-wave-sensitive, 2 [Source:ZFIN;Acc:ZDB-GENE-040718-141]"
"ENSDARG00000088514";11;"ENSDARG00000088514";"and1";9,22988671359307;2,03469358758911;4,90294461919997;-3,65699964353229;0,890653729851433;7,83539504419823;"3.62734757786143e-07      .";"1 x 36";"24 NA";"actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]"
"ENSDARG00000056511";12;"ENSDARG00000056511";"arr3a";7,62247424548387;3,06629771774838;4,8349808116145;-5,44721079615071;0,900711126489914;8,29348700947069;"1.73203287268109e-07      .";"1 x 37";"10 NA";"arrestin 3a, retinal (X-arrestin) [Source:ZFIN;Acc:ZDB-GENE-040718-102]"
"ENSDARG00000002696";13;"ENSDARG00000002696";"gnb3b";5,88649085774953;2,98892556521009;4,81791427898357;-3,88717579149275;0,815377419546137;5,63368809082351;"1.8674019183651e-05      .";"1 x 36";"19 NA";"guanine nucleotide binding protein (G protein), beta polypeptide 3b [Source:ZFIN;Acc:ZDB-GENE-040426-2280]"
"ENSDARG00000009637";14;"ENSDARG00000009637";"rcvrn3";5,81099794249902;2,37953243378671;4,70892221373461;-3,51817439371359;0,859519503930986;6,72678182813064;"2.43085173912139e-06      .";"1 x 36";"19 NA";"recoverin 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1661]"
"ENSDARG00000090635";15;"ENSDARG00000090635";"kcnj1a.4";4,55408388025554;1,68650771857752;4,61646267331659;-1,69949186286198;0,267925911771536;1,11237252210522;"0.141206357700916      .";"1 x 26";"18 NA";"potassium inwardly-rectifying channel, subfamily J, member 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-050420-186]"
"ENSDARG00000100397";16;"ENSDARG00000100397";"pde6c";5,98767640294791;2,46954699956642;4,57291950481274;-3,71326828511502;0,782919299743786;5,03385313107125;"6.11192444885944e-05      .";"1 x 36";"12 NA";"phosphodiesterase 6C, cGMP-specific, cone, alpha prime [Source:ZFIN;Acc:ZDB-GENE-040426-1664]"
