"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000015552";"ENSDARG00000015552";"1 x 13";"48hpf_pos.1";"phactr4a";"phosphatase and actin regulator 4a [Source:ZFIN;Acc:ZDB-GENE-051030-69]"
"ENSDARG00000019304";"ENSDARG00000019304";"8 x 40";"72hpf_neg_hand2";"phactr3b";"phosphatase and actin regulator 3b [Source:ZFIN;Acc:ZDB-GENE-050522-156]"
"ENSDARG00000023916";"ENSDARG00000023916";"7 x 32";"72hpf_neg_tbx5";"";"phosphatase and actin regulator 1 [Source:ZFIN;Acc:ZDB-GENE-101230-3]"
"ENSDARG00000027172";"ENSDARG00000027172";"9 x 5";"72hpf_pos";"phactr2";"phosphatase and actin regulator 2 [Source:ZFIN;Acc:ZDB-GENE-040724-11]"
"ENSDARG00000032221";"ENSDARG00000032221";"28 x 40";"24hpf_neg";"phactr4b";"phosphatase and actin regulator 4b [Source:ZFIN;Acc:ZDB-GENE-040426-1131]"
"ENSDARG00000032532";"ENSDARG00000032532";"16 x 19";"24hpf_pos.1";"arpp19a";"cAMP-regulated phosphoprotein 19a [Source:ZFIN;Acc:ZDB-GENE-040426-1281]"
"ENSDARG00000036063";"ENSDARG00000036063";"15 x 34";"72hpf_neg_gata5";"ppp1r11";"protein phosphatase 1, regulatory (inhibitor) subunit 11 [Source:ZFIN;Acc:ZDB-GENE-050417-99]"
"ENSDARG00000036944";"ENSDARG00000036944";"40 x 12";"24hpf_pos.1";"ensaa";"endosulfine alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-181]"
"ENSDARG00000038941";"ENSDARG00000038941";"17 x 33";"72hpf_pos";"ppp1r1c";"protein phosphatase 1, regulatory (inhibitor) subunit 1C [Source:ZFIN;Acc:ZDB-GENE-040718-273]"
"ENSDARG00000039880";"ENSDARG00000039880";"34 x 13";"24hpf_pos.1";"arpp19b";"cAMP-regulated phosphoprotein 19b [Source:ZFIN;Acc:ZDB-GENE-040426-930]"
"ENSDARG00000054007";"ENSDARG00000054007";"14 x 6";"72hpf_pos_hand2.1";"ppp1r2";"protein phosphatase 1, regulatory (inhibitor) subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1814]"
"ENSDARG00000058243";"ENSDARG00000058243";"8 x 36";"72hpf_neg_tbx5";"phactr3a";"phosphatase and actin regulator 3a [Source:ZFIN;Acc:ZDB-GENE-080220-4]"
"ENSDARG00000061644";"ENSDARG00000061644";"33 x 18";"72hpf_pos_gata5";"ensab";"endosulfine alpha b [Source:ZFIN;Acc:ZDB-GENE-060526-294]"
"ENSDARG00000076229";"ENSDARG00000076229";"29 x 31";"24hpf_neg";"mkl1b";"megakaryoblastic leukemia (translocation) 1b [Source:ZFIN;Acc:ZDB-GENE-030131-681]"
"ENSDARG00000076280";"ENSDARG00000076280";"17 x 31";"72hpf_pos_tbx5";"LOC100333163";"protein phosphatase 1, regulatory (inhibitor) subunit 1B [Source:ZFIN;Acc:ZDB-GENE-120126-1]"
"ENSDARG00000093677";"ENSDARG00000093677";"15 x 27";"72hpf_neg_hand2";"si:ch211-56a11.2";"si:ch211-56a11.2 [Source:ZFIN;Acc:ZDB-GENE-091204-123]"
"ENSDARG00000102891";"ENSDARG00000102891";"26 x 39";"24hpf_neg";"ppp1r26";"protein phosphatase 1, regulatory subunit 26 [Source:ZFIN;Acc:ZDB-GENE-061103-607]"
