"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002494";"ENSDARG00000002494";"18 x 40";"48hpf_neg";"itgb6";"integrin, beta 6 [Source:ZFIN;Acc:ZDB-GENE-100812-2]"
"ENSDARG00000002507";"ENSDARG00000002507";"2 x 31";"72hpf_neg_gata5";"itga10";"integrin, alpha 10 [Source:ZFIN;Acc:ZDB-GENE-100922-54]"
"ENSDARG00000002956";"ENSDARG00000002956";"40 x 1";"24hpf_pos";"si:dkey-32n7.4";"si:dkey-32n7.4 [Source:ZFIN;Acc:ZDB-GENE-110411-175]"
"ENSDARG00000003046";"ENSDARG00000003046";"40 x 19";"48hpf_pos.1";"";"sorbin and SH3 domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-070308-2]"
"ENSDARG00000003903";"ENSDARG00000003903";"23 x 20";"72hpf_pos_hand2.1";"hapln2";"hyaluronan and proteoglycan link protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8089]"
"ENSDARG00000004643";"ENSDARG00000004643";"4 x 31";"72hpf_neg";"cdhr1a";"cadherin-related family member 1a [Source:ZFIN;Acc:ZDB-GENE-040924-4]"
"ENSDARG00000004672";"ENSDARG00000004672";"14 x 37";"72hpf_neg_tbx5";"ptk2ab";"protein tyrosine kinase 2ab [Source:ZFIN;Acc:ZDB-GENE-020114-1]"
"ENSDARG00000004830";"ENSDARG00000004830";"21 x 5";"72hpf_neg_gata5";"flot2a";"flotillin 2a [Source:ZFIN;Acc:ZDB-GENE-020430-3]"
"ENSDARG00000005112";"ENSDARG00000005112";"8 x 9";"72hpf_pos.1";"cdh17";"cadherin 17, LI cadherin (liver-intestine) [Source:ZFIN;Acc:ZDB-GENE-030910-3]"
"ENSDARG00000005754";"ENSDARG00000005754";"14 x 40";"48hpf_neg";"ptprfb";"protein tyrosine phosphatase, receptor type, f, b [Source:ZFIN;Acc:ZDB-GENE-060503-530]"
"ENSDARG00000005783";"ENSDARG00000005783";"2 x 40";"48hpf_neg";"";"neurocan b [Source:ZFIN;Acc:ZDB-GENE-050208-586]"
"ENSDARG00000006120";"ENSDARG00000006120";"16 x 40";"72hpf_neg";"tbx2b";"T-box 2b [Source:ZFIN;Acc:ZDB-GENE-990726-27]"
"ENSDARG00000006314";"ENSDARG00000006314";"3 x 23";"72hpf_neg";"itgav";"integrin, alpha V [Source:ZFIN;Acc:ZDB-GENE-060616-382]"
"ENSDARG00000006353";"ENSDARG00000006353";"40 x 8";"24hpf_pos";"itga5";"integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:ZFIN;Acc:ZDB-GENE-031116-52]"
"ENSDARG00000006467";"ENSDARG00000006467";"9 x 40";"24hpf_neg";"pcdh8";"protocadherin 8 [Source:ZFIN;Acc:ZDB-GENE-980526-242]"
