"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013787";"ENSDARG00000013787";"4 x 30";"72hpf_neg";"gucy1a3";"guanylate cyclase 1, soluble, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-050417-230]"
"ENSDARG00000014320";"ENSDARG00000014320";"15 x 7";"72hpf_pos_hand2.1";"";"guanylate cyclase 2C [Source:ZFIN;Acc:ZDB-GENE-091118-67]"
"ENSDARG00000014588";"ENSDARG00000014588";"39 x 1";"24hpf_pos";"adcy2b";"adenylate cyclase 2b (brain) [Source:ZFIN;Acc:ZDB-GENE-060503-69]"
"ENSDARG00000017437";"ENSDARG00000017437";"25 x 28";"72hpf_neg";"";"adenylate cyclase 3b [Source:ZFIN;Acc:ZDB-GENE-041014-276]"
"ENSDARG00000018329";"ENSDARG00000018329";"40 x 7";"24hpf_pos.1";"gc2";"guanylyl cyclase 2 [Source:ZFIN;Acc:ZDB-GENE-011128-8]"
"ENSDARG00000018750";"ENSDARG00000018750";"10 x 11";"72hpf_pos.1";"npr1b";"natriuretic peptide receptor 1b [Source:ZFIN;Acc:ZDB-GENE-100805-4]"
"ENSDARG00000025504";"ENSDARG00000025504";"26 x 29";"72hpf_neg";"gucy2f";"guanylate cyclase 2F, retinal [Source:ZFIN;Acc:ZDB-GENE-011128-7]"
"ENSDARG00000026820";"ENSDARG00000026820";"1 x 34";"72hpf_neg";"gc3";"guanylyl cyclase 3 [Source:ZFIN;Acc:ZDB-GENE-011128-9]"
"ENSDARG00000027797";"ENSDARG00000027797";"14 x 17";"72hpf_pos_gata5";"adcy6b";"adenylate cyclase 6b [Source:ZFIN;Acc:ZDB-GENE-090127-2]"
"ENSDARG00000031751";"ENSDARG00000031751";"35 x 37";"24hpf_pos.1";"npr1a";"natriuretic peptide receptor 1a [Source:ZFIN;Acc:ZDB-GENE-060503-539]"
"ENSDARG00000031783";"ENSDARG00000031783";"11 x 34";"72hpf_neg_hand2";"";"adenylate cyclase 8 (brain) [Source:ZFIN;Acc:ZDB-GENE-070912-197]"
"ENSDARG00000032838";"ENSDARG00000032838";"3 x 29";"72hpf_neg";"si:dkey-206f10.1";"si:dkey-206f10.1 [Source:ZFIN;Acc:ZDB-GENE-041014-154]"
"ENSDARG00000043141";"ENSDARG00000043141";"29 x 36";"72hpf_neg";"si:ch211-132f19.7";"si:ch211-132f19.7 [Source:ZFIN;Acc:ZDB-GENE-130530-619]"
"ENSDARG00000056591";"ENSDARG00000056591";"17 x 12";"72hpf_pos_tbx5.1";"gucy1b2";"guanylate cyclase 1, soluble, beta 2 [Source:ZFIN;Acc:ZDB-GENE-130530-664]"
"ENSDARG00000058392";"ENSDARG00000058392";"6 x 30";"72hpf_neg_tbx5";"adcy2a";"adenylate cyclase 2a [Source:ZFIN;Acc:ZDB-GENE-061109-1]"
"ENSDARG00000060070";"ENSDARG00000060070";"3 x 4";"72hpf_pos_gata5.1";"adcy7";"adenylate cyclase 7 [Source:ZFIN;Acc:ZDB-GENE-040713-1]"
"ENSDARG00000060264";"ENSDARG00000060264";"31 x 19";"24hpf_pos";"";"si:dkey-37g12.1 [Source:ZFIN;Acc:ZDB-GENE-090312-145]"
"ENSDARG00000061445";"ENSDARG00000061445";"35 x 1";"24hpf_pos.1";"adcy6a";"adenylate cyclase 6a [Source:ZFIN;Acc:ZDB-GENE-060221-1]"
"ENSDARG00000069026";"ENSDARG00000069026";"7 x 34";"72hpf_neg_tbx5";"adcy1a";"adenylate cyclase 1a [Source:ZFIN;Acc:ZDB-GENE-070705-302]"
"ENSDARG00000076776";"ENSDARG00000076776";"23 x 33";"72hpf_neg_gata5";"gucy2g";"guanylate cyclase 2g [Source:ZFIN;Acc:ZDB-GENE-130531-70]"
"ENSDARG00000077145";"ENSDARG00000077145";"13 x 35";"72hpf_neg_tbx5";"adcy3a";"adenylate cyclase 3a [Source:ZFIN;Acc:ZDB-GENE-111027-6]"
"ENSDARG00000086790";"ENSDARG00000086790";"4 x 33";"72hpf_neg_tbx5";"gucy1b3";"guanylate cyclase 1, soluble, beta 3 [Source:ZFIN;Acc:ZDB-GENE-090313-160]"
"ENSDARG00000088634";"ENSDARG00000088634";"32 x 37";"72hpf_neg_gata5";"";"adenylate cyclase 1b [Source:ZFIN;Acc:ZDB-GENE-100805-1]"
"ENSDARG00000091342";"ENSDARG00000091342";"4 x 4";"72hpf_pos_gata5.1";"adcy5";"adenylate cyclase 5 [Source:ZFIN;Acc:ZDB-GENE-081104-470]"
"ENSDARG00000093185";"ENSDARG00000093185";"10 x 37";"72hpf_neg_tbx5";"";""
"ENSDARG00000103847";"ENSDARG00000103847";"16 x 38";"72hpf_neg_tbx5";"";""
"ENSDARG00000104393";"ENSDARG00000104393";"13 x 40";"72hpf_neg_gata5";"npr2";"natriuretic peptide receptor 2 [Source:ZFIN;Acc:ZDB-GENE-141030-2]"
