"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000183";"ENSDARG00000000183";"13 x 40";"72hpf_neg_tbx5";"ptpn4b";"protein tyrosine phosphatase, non-receptor type 4b [Source:ZFIN;Acc:ZDB-GENE-030131-6259]"
"ENSDARG00000000631";"ENSDARG00000000631";"3 x 16";"48hpf_pos";"ptpn4a";"protein tyrosine phosphatase, non-receptor type 4a [Source:ZFIN;Acc:ZDB-GENE-030616-449]"
"ENSDARG00000001769";"ENSDARG00000001769";"20 x 34";"24hpf_neg";"ptpra";"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]"
"ENSDARG00000004616";"ENSDARG00000004616";"14 x 1";"72hpf_pos";"mtmr2";"myotubularin related protein 2 [Source:ZFIN;Acc:ZDB-GENE-990715-14]"
"ENSDARG00000005754";"ENSDARG00000005754";"14 x 40";"48hpf_neg";"ptprfb";"protein tyrosine phosphatase, receptor type, f, b [Source:ZFIN;Acc:ZDB-GENE-060503-530]"
"ENSDARG00000006242";"ENSDARG00000006242";"3 x 20";"72hpf_pos_gata5.1";"ptp4a1";"protein tyrosine phosphatase type IVA, member 1 [Source:ZFIN;Acc:ZDB-GENE-041121-11]"
"ENSDARG00000006308";"ENSDARG00000006308";"11 x 9";"72hpf_pos.1";"ptpn18";"protein tyrosine phosphatase, non-receptor type 18 [Source:ZFIN;Acc:ZDB-GENE-050320-12]"
"ENSDARG00000007923";"ENSDARG00000007923";"38 x 12";"24hpf_pos.1";"ptpn1";"protein tyrosine phosphatase, non-receptor type 1 [Source:ZFIN;Acc:ZDB-GENE-980605-23]"
"ENSDARG00000008592";"ENSDARG00000008592";"40 x 24";"24hpf_pos";"mtmr8";"myotubularin related protein 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1016]"
"ENSDARG00000008849";"ENSDARG00000008849";"6 x 22";"72hpf_pos.1";"";"protein tyrosine phosphatase, receptor type, Q [Source:ZFIN;Acc:ZDB-GENE-050419-183]"
"ENSDARG00000009299";"ENSDARG00000009299";"14 x 35";"72hpf_neg_tbx5";"dusp8a";"dual specificity phosphatase 8a [Source:ZFIN;Acc:ZDB-GENE-040426-1842]"
"ENSDARG00000009844";"ENSDARG00000009844";"35 x 1";"24hpf_pos.1";"dusp23a";"dual specificity phosphatase 23a [Source:ZFIN;Acc:ZDB-GENE-030131-2554]"
