"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003631";"ENSDARG00000003631";"16 x 34";"72hpf_neg_hand2";"clockb";"clock circadian regulator b [Source:ZFIN;Acc:ZDB-GENE-030408-2]"
"ENSDARG00000006791";"ENSDARG00000006791";"14 x 29";"72hpf_neg_hand2";"arntl1a";"aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]"
"ENSDARG00000010519";"ENSDARG00000010519";"4 x 21";"72hpf_pos";"per3";"period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]"
"ENSDARG00000011703";"ENSDARG00000011703";"6 x 31";"72hpf_neg";"clocka";"clock circadian regulator a [Source:ZFIN;Acc:ZDB-GENE-990630-14]"
"ENSDARG00000016536";"ENSDARG00000016536";"4 x 9";"48hpf_pos.1";"npas2";"neuronal PAS domain protein 2 [Source:ZFIN;Acc:ZDB-GENE-030408-3]"
"ENSDARG00000034503";"ENSDARG00000034503";"4 x 8";"72hpf_pos_tbx5";"per2";"period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]"
"ENSDARG00000035732";"ENSDARG00000035732";"8 x 26";"72hpf_pos.1";"arntl1b";"aryl hydrocarbon receptor nuclear translocator-like 1b [Source:ZFIN;Acc:ZDB-GENE-030408-1]"
"ENSDARG00000041381";"ENSDARG00000041381";"29 x 37";"24hpf_neg";"arntl2";"aryl hydrocarbon receptor nuclear translocator-like 2 [Source:ZFIN;Acc:ZDB-GENE-000509-2]"
"ENSDARG00000044862";"ENSDARG00000044862";"1 x 35";"72hpf_neg";"opn1lw1";"opsin 1 (cone pigments), long-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-41]"
"ENSDARG00000056885";"ENSDARG00000056885";"1 x 8";"72hpf_pos_hand2";"per1a";"period circadian clock 1a [Source:ZFIN;Acc:ZDB-GENE-011220-1]"
"ENSDARG00000079802";"ENSDARG00000079802";"10 x 19";"72hpf_pos_tbx5.1";"aanat2";"arylalkylamine N-acetyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-991019-6]"
