"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000656";"ENSDARG00000000656";"10 x 23";"72hpf_pos.1";"psmb9a";"proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]"
"ENSDARG00000001656";"ENSDARG00000001656";"24 x 19";"72hpf_pos_hand2.1";"psmb10";"proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]"
"ENSDARG00000002240";"ENSDARG00000002240";"27 x 2";"72hpf_pos_gata5.1";"psmb6";"proteasome subunit beta 6 [Source:ZFIN;Acc:ZDB-GENE-990415-216]"
"ENSDARG00000003526";"ENSDARG00000003526";"30 x 7";"72hpf_pos_tbx5.1";"psma5";"proteasome subunit alpha 5 [Source:ZFIN;Acc:ZDB-GENE-040625-96]"
"ENSDARG00000009640";"ENSDARG00000009640";"6 x 17";"72hpf_pos_gata5";"psmb1";"proteasome subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-040618-2]"
"ENSDARG00000010965";"ENSDARG00000010965";"28 x 9";"24hpf_pos";"psma8";"proteasome subunit alpha 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2194]"
"ENSDARG00000013938";"ENSDARG00000013938";"30 x 7";"72hpf_pos";"psmb3";"proteasome subunit beta 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2682]"
"ENSDARG00000013966";"ENSDARG00000013966";"15 x 3";"48hpf_pos";"psma6b";"proteasome subunit alpha 6b [Source:ZFIN;Acc:ZDB-GENE-040718-329]"
"ENSDARG00000019398";"ENSDARG00000019398";"29 x 8";"72hpf_pos";"psma6a";"proteasome subunit alpha 6a [Source:ZFIN;Acc:ZDB-GENE-020326-1]"
"ENSDARG00000031511";"ENSDARG00000031511";"28 x 5";"72hpf_pos_tbx5.1";"psmb2";"proteasome subunit beta 2 [Source:ZFIN;Acc:ZDB-GENE-040718-353]"
"ENSDARG00000031885";"ENSDARG00000031885";"22 x 19";"72hpf_pos_hand2";"psmb12";"proteasome subunit beta 12 [Source:ZFIN;Acc:ZDB-GENE-001208-1]"
"ENSDARG00000035679";"ENSDARG00000035679";"2 x 15";"72hpf_neg";"si:rp71-45k5.4";"si:rp71-45k5.4 [Source:ZFIN;Acc:ZDB-GENE-060503-941]"
"ENSDARG00000037962";"ENSDARG00000037962";"29 x 7";"24hpf_pos";"psmb7";"proteasome subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-001208-4]"
"ENSDARG00000040121";"ENSDARG00000040121";"26 x 8";"72hpf_pos_gata5.1";"psma2";"proteasome subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-050522-479]"
"ENSDARG00000043781";"ENSDARG00000043781";"26 x 2";"72hpf_pos_gata5.1";"zgc:92791";"proteasome subunit beta 10 [Source:ZFIN;Acc:ZDB-GENE-040718-278]"
"ENSDARG00000043899";"ENSDARG00000043899";"14 x 18";"72hpf_pos_gata5";"psma6l";"proteasome subunit alpha 6, like [Source:ZFIN;Acc:ZDB-GENE-010502-2]"
"ENSDARG00000045928";"ENSDARG00000045928";"16 x 7";"24hpf_pos.1";"psma4";"proteasome subunit alpha 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1932]"
"ENSDARG00000054696";"ENSDARG00000054696";"30 x 7";"48hpf_pos";"psmb4";"proteasome subunit beta 4 [Source:ZFIN;Acc:ZDB-GENE-050417-333]"
"ENSDARG00000068086";"ENSDARG00000068086";"24 x 26";"72hpf_neg";"psmb11b";"proteasome subunit beta11b [Source:ZFIN;Acc:ZDB-GENE-170530-2]"
"ENSDARG00000075445";"ENSDARG00000075445";"33 x 9";"72hpf_pos.1";"psmb5";"proteasome subunit beta 5 [Source:ZFIN;Acc:ZDB-GENE-990415-215]"
"ENSDARG00000086618";"ENSDARG00000086618";"28 x 7";"72hpf_pos.1";"psma3";"proteasome subunit alpha 3 [Source:ZFIN;Acc:ZDB-GENE-050913-120]"
"ENSDARG00000087911";"ENSDARG00000087911";"14 x 8";"72hpf_pos_hand2";"psme4a";"proteasome activator subunit 4a [Source:ZFIN;Acc:ZDB-GENE-091204-452]"
"ENSDARG00000101560";"ENSDARG00000101560";"35 x 11";"72hpf_pos.1";"psma1";"proteasome subunit alpha 1 [Source:ZFIN;Acc:ZDB-GENE-040801-15]"
