"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003035";"ENSDARG00000003035";"13 x 14";"72hpf_pos_tbx5";"hspa9";"heat shock protein 9 [Source:ZFIN;Acc:ZDB-GENE-030828-12]"
"ENSDARG00000003570";"ENSDARG00000003570";"5 x 29";"72hpf_neg";"hsp90b1";"heat shock protein 90, beta (grp94), member 1 [Source:ZFIN;Acc:ZDB-GENE-031002-1]"
"ENSDARG00000004187";"ENSDARG00000004187";"7 x 34";"72hpf_neg_hand2";"zgc:122979";"zgc:122979 [Source:ZFIN;Acc:ZDB-GENE-051127-45]"
"ENSDARG00000007385";"ENSDARG00000007385";"36 x 30";"24hpf_pos";"cct7";"chaperonin containing TCP1, subunit 7 (eta) [Source:ZFIN;Acc:ZDB-GENE-020419-7]"
"ENSDARG00000008243";"ENSDARG00000008243";"32 x 10";"24hpf_pos";"cct8";"chaperonin containing TCP1, subunit 8 (theta) [Source:ZFIN;Acc:ZDB-GENE-040426-876]"
"ENSDARG00000009315";"ENSDARG00000009315";"39 x 35";"24hpf_pos.1";"clgn";"calmegin [Source:ZFIN;Acc:ZDB-GENE-060929-708]"
"ENSDARG00000010021";"ENSDARG00000010021";"28 x 5";"72hpf_pos_gata5.1";"grpel1";"GrpE-like 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-051120-111]"
"ENSDARG00000010478";"ENSDARG00000010478";"30 x 33";"24hpf_neg";"hsp90aa1.1";"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-94]"
"ENSDARG00000010745";"ENSDARG00000010745";"1 x 17";"48hpf_neg";"dnaja2l";"DnaJ (Hsp40) homolog, subfamily A, member 2, like [Source:ZFIN;Acc:ZDB-GENE-030131-2884]"
"ENSDARG00000013475";"ENSDARG00000013475";"34 x 29";"24hpf_pos";"cct4";"chaperonin containing TCP1, subunit 4 (delta) [Source:ZFIN;Acc:ZDB-GENE-040426-1421]"
"ENSDARG00000014536";"ENSDARG00000014536";"24 x 4";"72hpf_pos_gata5.1";"pfdn1";"prefoldin subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050306-50]"
"ENSDARG00000015088";"ENSDARG00000015088";"26 x 34";"24hpf_pos.1";"dnajb11";"DnaJ (Hsp40) homolog, subfamily B, member 11 [Source:ZFIN;Acc:ZDB-GENE-031113-9]"
"ENSDARG00000016112";"ENSDARG00000016112";"26 x 38";"24hpf_neg";"bbs12";"Bardet-Biedl syndrome 12 [Source:ZFIN;Acc:ZDB-GENE-070626-3]"
"ENSDARG00000016139";"ENSDARG00000016139";"37 x 9";"72hpf_pos.1";"mkks";"McKusick-Kaufman syndrome [Source:ZFIN;Acc:ZDB-GENE-040426-757]"
"ENSDARG00000016173";"ENSDARG00000016173";"34 x 13";"24hpf_pos.1";"cct3";"chaperonin containing TCP1, subunit 3 (gamma) [Source:ZFIN;Acc:ZDB-GENE-020419-5]"
"ENSDARG00000017891";"ENSDARG00000017891";"35 x 5";"24hpf_pos";"tcp1";"t-complex 1 [Source:ZFIN;Acc:ZDB-GENE-990714-24]"
"ENSDARG00000019339";"ENSDARG00000019339";"16 x 1";"24hpf_pos";"uxt";"ubiquitously-expressed, prefoldin-like chaperone [Source:ZFIN;Acc:ZDB-GENE-040912-118]"
"ENSDARG00000021252";"ENSDARG00000021252";"32 x 17";"24hpf_pos";"cct6a";"chaperonin containing TCP1, subunit 6A (zeta 1) [Source:ZFIN;Acc:ZDB-GENE-011018-2]"
"ENSDARG00000024317";"ENSDARG00000024317";"33 x 14";"24hpf_pos.1";"trap1";"TNF receptor-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4257]"
"ENSDARG00000024746";"ENSDARG00000024746";"7 x 27";"24hpf_pos.1";"hsp90aa1.2";"heat shock protein 90, alpha (cytosolic), class A member 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-031001-3]"
"ENSDARG00000025391";"ENSDARG00000025391";"32 x 7";"72hpf_pos_tbx5.1";"pfdn2";"prefoldin subunit 2 [Source:ZFIN;Acc:ZDB-GENE-060519-27]"
"ENSDARG00000026895";"ENSDARG00000026895";"10 x 22";"72hpf_pos.1";"tor1l3";"torsin family 1 like 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1859]"
"ENSDARG00000029063";"ENSDARG00000029063";"3 x 18";"72hpf_pos_gata5";"";"caseinolytic mitochondrial matrix peptidase chaperone subunit a [Source:ZFIN;Acc:ZDB-GENE-040912-143]"
"ENSDARG00000029150";"ENSDARG00000029150";"24 x 36";"24hpf_neg";"hsp90ab1";"heat shock protein 90, alpha (cytosolic), class B member 1 [Source:ZFIN;Acc:ZDB-GENE-990415-95]"
"ENSDARG00000030972";"ENSDARG00000030972";"26 x 36";"72hpf_neg_tbx5";"dnaja1";"DnaJ (Hsp40) homolog, subfamily A, member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2642]"
"ENSDARG00000035043";"ENSDARG00000035043";"20 x 1";"48hpf_pos";"pfdn5";"prefoldin 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6858]"
"ENSDARG00000036076";"ENSDARG00000036076";"36 x 5";"24hpf_pos";"heatr3";"HEAT repeat containing 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1876]"
"ENSDARG00000037108";"ENSDARG00000037108";"15 x 6";"72hpf_pos_tbx5.1";"pfdn6";"prefoldin subunit 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1589]"
"ENSDARG00000037488";"ENSDARG00000037488";"29 x 16";"48hpf_pos.1";"canx";"calnexin [Source:ZFIN;Acc:ZDB-GENE-040426-2797]"
