"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000861";"ENSDARG00000000861";"13 x 14";"72hpf_pos_tbx5";"scrib";"scribbled planar cell polarity protein [Source:ZFIN;Acc:ZDB-GENE-030616-572]"
"ENSDARG00000001769";"ENSDARG00000001769";"20 x 34";"24hpf_neg";"ptpra";"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]"
"ENSDARG00000002235";"ENSDARG00000002235";"4 x 31";"72hpf_neg";"mmp14a";"matrix metallopeptidase 14a (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-1]"
"ENSDARG00000003751";"ENSDARG00000003751";"31 x 31";"24hpf_pos.1";"lats1";"large tumor suppressor kinase 1 [Source:ZFIN;Acc:ZDB-GENE-050523-2]"
"ENSDARG00000004460";"ENSDARG00000004460";"24 x 40";"24hpf_neg";"desi2";"desumoylating isopeptidase 2 [Source:ZFIN;Acc:ZDB-GENE-040801-39]"
"ENSDARG00000005941";"ENSDARG00000005941";"4 x 18";"48hpf_pos.1";"yes1";"YES proto-oncogene 1, Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-050126-1]"
"ENSDARG00000006603";"ENSDARG00000006603";"34 x 34";"72hpf_neg_gata5";"csrp1a";"cysteine and glycine-rich protein 1a [Source:ZFIN;Acc:ZDB-GENE-030909-4]"
"ENSDARG00000008388";"ENSDARG00000008388";"7 x 26";"72hpf_neg";"mmp14b";"matrix metallopeptidase 14b (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-2]"
"ENSDARG00000008803";"ENSDARG00000008803";"11 x 40";"48hpf_neg";"marcksb";"myristoylated alanine-rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]"
"ENSDARG00000010246";"ENSDARG00000010246";"37 x 32";"24hpf_pos";"prmt1";"protein arginine methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-693]"
"ENSDARG00000011370";"ENSDARG00000011370";"7 x 40";"72hpf_neg_tbx5";"fyna";"FYN proto-oncogene, Src family tyrosine kinase a [Source:ZFIN;Acc:ZDB-GENE-030903-5]"
"ENSDARG00000012196";"ENSDARG00000012196";"3 x 18";"72hpf_pos_tbx5.1";"fer";"fer (fps/fes related) tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-060526-234]"
"ENSDARG00000012247";"ENSDARG00000012247";"40 x 8";"24hpf_pos.1";"def6a";"differentially expressed in FDCP 6a homolog (mouse) [Source:ZFIN;Acc:ZDB-GENE-040426-1246]"
"ENSDARG00000015472";"ENSDARG00000015472";"4 x 18";"72hpf_pos.1";"gpc4";"glypican 4 [Source:ZFIN;Acc:ZDB-GENE-011119-1]"
"ENSDARG00000015891";"ENSDARG00000015891";"7 x 6";"48hpf_pos.1";"ptprea";"protein tyrosine phosphatase, receptor type, E, a [Source:ZFIN;Acc:ZDB-GENE-100714-1]"
"ENSDARG00000015906";"ENSDARG00000015906";"18 x 26";"72hpf_neg_tbx5";"mxtx2";"mix-type homeobox gene 2 [Source:ZFIN;Acc:ZDB-GENE-000710-6]"
"ENSDARG00000016112";"ENSDARG00000016112";"26 x 38";"24hpf_neg";"bbs12";"Bardet-Biedl syndrome 12 [Source:ZFIN;Acc:ZDB-GENE-070626-3]"
"ENSDARG00000016139";"ENSDARG00000016139";"37 x 9";"72hpf_pos.1";"mkks";"McKusick-Kaufman syndrome [Source:ZFIN;Acc:ZDB-GENE-040426-757]"
"ENSDARG00000020334";"ENSDARG00000020334";"25 x 13";"72hpf_pos_hand2.1";"ptpn11a";"protein tyrosine phosphatase, non-receptor type 11, a [Source:ZFIN;Acc:ZDB-GENE-030131-5911]"
"ENSDARG00000021151";"ENSDARG00000021151";"9 x 40";"72hpf_neg_tbx5";"ptpreb";"protein tyrosine phosphatase, receptor type, E, b [Source:ZFIN;Acc:ZDB-GENE-060503-263]"
"ENSDARG00000021509";"ENSDARG00000021509";"35 x 28";"24hpf_pos";"tab2";"TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-933]"
"ENSDARG00000021895";"ENSDARG00000021895";"3 x 5";"72hpf_pos_tbx5.1";"disc1";"disrupted in schizophrenia 1 [Source:ZFIN;Acc:ZDB-GENE-090122-1]"
"ENSDARG00000023578";"ENSDARG00000023578";"20 x 5";"72hpf_neg_gata5";"lpp";"LIM domain containing preferred translocation partner in lipoma [Source:ZFIN;Acc:ZDB-GENE-040426-918]"
"ENSDARG00000025319";"ENSDARG00000025319";"1 x 15";"48hpf_pos";"fynb";"FYN proto-oncogene, Src family tyrosine kinase b [Source:ZFIN;Acc:ZDB-GENE-050706-89]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000027589";"ENSDARG00000027589";"18 x 38";"72hpf_neg_gata5";"fzd7b";"frizzled class receptor 7b [Source:ZFIN;Acc:ZDB-GENE-990415-229]"
"ENSDARG00000035095";"ENSDARG00000035095";"40 x 6";"24hpf_pos.1";"tdgf1";"teratocarcinoma-derived growth factor 1 [Source:ZFIN;Acc:ZDB-GENE-990415-198]"
"ENSDARG00000036548";"ENSDARG00000036548";"4 x 15";"72hpf_pos_tbx5.1";"s1pr2";"sphingosine-1-phosphate receptor 2 [Source:ZFIN;Acc:ZDB-GENE-020123-2]"
"ENSDARG00000039677";"ENSDARG00000039677";"39 x 4";"24hpf_pos.1";"dsc2l";"desmocollin 2 like [Source:ZFIN;Acc:ZDB-GENE-031116-55]"
"ENSDARG00000040649";"ENSDARG00000040649";"31 x 40";"24hpf_pos.1";"prickle1a";"prickle homolog 1a [Source:ZFIN;Acc:ZDB-GENE-030724-5]"
"ENSDARG00000041619";"ENSDARG00000041619";"29 x 25";"72hpf_neg";"gnb2l1";"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Source:ZFIN;Acc:ZDB-GENE-990415-89]"
"ENSDARG00000041735";"ENSDARG00000041735";"5 x 26";"72hpf_neg";"tmem237a";"transmembrane protein 237a [Source:ZFIN;Acc:ZDB-GENE-070402-3]"
"ENSDARG00000052558";"ENSDARG00000052558";"5 x 31";"48hpf_neg";"porcn";"porcupine homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-081105-87]"
"ENSDARG00000054438";"ENSDARG00000054438";"25 x 32";"72hpf_neg_gata5";"fzd2";"frizzled class receptor 2 [Source:ZFIN;Acc:ZDB-GENE-990415-224]"
"ENSDARG00000056218";"ENSDARG00000056218";"1 x 9";"72hpf_pos_tbx5.1";"tnika";"TRAF2 and NCK interacting kinase a [Source:ZFIN;Acc:ZDB-GENE-030131-3767]"
"ENSDARG00000056623";"ENSDARG00000056623";"9 x 29";"72hpf_neg_hand2";"ptenb";"phosphatase and tensin homolog B [Source:ZFIN;Acc:ZDB-GENE-030616-47]"
"ENSDARG00000057286";"ENSDARG00000057286";"10 x 8";"72hpf_pos_hand2.1";"swap70b";"SWAP switching B-cell complex 70b subunit 70b [Source:ZFIN;Acc:ZDB-GENE-030131-3587]"
"ENSDARG00000060004";"ENSDARG00000060004";"35 x 40";"24hpf_pos";"fzd7a";"frizzled class receptor 7a [Source:ZFIN;Acc:ZDB-GENE-990415-223]"
"ENSDARG00000063522";"ENSDARG00000063522";"20 x 37";"48hpf_neg";"bbs4";"Bardet-Biedl syndrome 4 [Source:ZFIN;Acc:ZDB-GENE-060126-2]"
"ENSDARG00000067996";"ENSDARG00000067996";"14 x 15";"72hpf_pos_hand2.1";"csk";"c-src tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-061103-493]"
"ENSDARG00000069515";"ENSDARG00000069515";"36 x 28";"24hpf_pos";"bbs10";"Bardet-Biedl syndrome 10 [Source:ZFIN;Acc:ZDB-GENE-060503-355]"
"ENSDARG00000073673";"ENSDARG00000073673";"25 x 36";"24hpf_neg";"";"adhesion G protein-coupled receptor A3 [Source:ZFIN;Acc:ZDB-GENE-131003-2]"
"ENSDARG00000074248";"ENSDARG00000074248";"5 x 26";"24hpf_pos";"tmem237b";"transmembrane protein 237b [Source:ZFIN;Acc:ZDB-GENE-040912-63]"
"ENSDARG00000075169";"ENSDARG00000075169";"19 x 37";"24hpf_neg";"bbs1";"Bardet-Biedl syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-060126-1]"
"ENSDARG00000076060";"ENSDARG00000076060";"26 x 18";"72hpf_pos_tbx5";"diaph2";"diaphanous-related formin 2 [Source:ZFIN;Acc:ZDB-GENE-090115-1]"
"ENSDARG00000076227";"ENSDARG00000076227";"33 x 40";"72hpf_neg";"ror2";"receptor tyrosine kinase-like orphan receptor 2 [Source:ZFIN;Acc:ZDB-GENE-060427-5]"
"ENSDARG00000076752";"ENSDARG00000076752";"11 x 19";"72hpf_pos.1";"tmem67";"transmembrane protein 67 [Source:ZFIN;Acc:ZDB-GENE-080716-1]"
"ENSDARG00000077177";"ENSDARG00000077177";"16 x 11";"24hpf_pos.1";"map2k4b";"mitogen-activated protein kinase kinase 4b [Source:ZFIN;Acc:ZDB-GENE-080721-13]"
"ENSDARG00000077364";"ENSDARG00000077364";"19 x 5";"72hpf_pos_gata5.1";"mapk9";"mitogen-activated protein kinase 9 [Source:ZFIN;Acc:ZDB-GENE-091117-28]"
"ENSDARG00000078864";"ENSDARG00000078864";"14 x 4";"72hpf_pos_gata5.1";"lats2";"large tumor suppressor kinase 2 [Source:ZFIN;Acc:ZDB-GENE-050119-6]"
"ENSDARG00000088091";"ENSDARG00000088091";"9 x 6";"72hpf_pos_gata5";"pfn1";"profilin 1 [Source:ZFIN;Acc:ZDB-GENE-031002-33]"
"ENSDARG00000099128";"ENSDARG00000099128";"13 x 18";"72hpf_pos_gata5";"bcl2l16";"BCL2-like 16 [Source:ZFIN;Acc:ZDB-GENE-140619-1]"
"ENSDARG00000102464";"ENSDARG00000102464";"31 x 38";"72hpf_neg";"wnt5b";"wingless-type MMTV integration site family, member 5b [Source:ZFIN;Acc:ZDB-GENE-980526-87]"
