"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000078622";1;"ENSDARG00000078622";"scpp5";3,17729906753676;1,98387403631738;6,20632282607591;-1,41631213093488;0,39878838373957;1,73945340819147;"0.0505765170953243      .";"10 x 12";"1 NA";"secretory calcium-binding phosphoprotein 5 [Source:ZFIN;Acc:ZDB-GENE-090313-256]"
"ENSDARG00000104207";2;"ENSDARG00000104207";"pcyt1bb";4,32908830519501;1,93559957178137;3,42458701154648;-1,89740500311726;0,408782188910838;1,7916627953024;"0.0460591691252477      .";"10 x 9";"21 NA";"phosphate cytidylyltransferase 1, choline, beta b [Source:ZFIN;Acc:ZDB-GENE-051120-48]"
"ENSDARG00000100442";3;"ENSDARG00000100442";"cfh";6,33585341069982;1,81521411351909;3,21815327323329;-3,47617538614089;0,690453747753333;3,81794933733509;"0.000757146791437457      .";"9 x 9";"22 NA";"complement factor H [Source:ZFIN;Acc:ZDB-GENE-050208-661]"
"ENSDARG00000068934";4;"ENSDARG00000068934";"cyp1b1";6,49056965527925;1,44073215944839;3,14090346640651;-2,39834874477153;0,490277192656469;2,25009638170795;"0.0194331168784241      .";"9 x 10";"13 NA";"cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-030902-1]"
"ENSDARG00000079727";5;"ENSDARG00000079727";"sepp1b";5,95699658631633;1,36101043061423;2,92133121094507;-1,61855162402768;0,776939111392524;4,93627093506455;"7.4425846717352e-05      .";"8 x 8";"2 NA";"selenoprotein P, plasma, 1b [Source:ZFIN;Acc:ZDB-GENE-030311-2]"
"ENSDARG00000002353";6;"ENSDARG00000002353";"tagapa";6,77734520038591;1,68187967488162;2,91599050823683;-2,17537779992483;0,902810195927884;8,39746801324502;"1.46984630244873e-07      .";"8 x 8";"17 NA";"T-cell activation RhoGTPase activating protein a [Source:ZFIN;Acc:ZDB-GENE-040426-1877]"
"ENSDARG00000016412";7;"ENSDARG00000016412";"agt";6,11122912280186;1,78987310595894;2,90832790564401;-3,05807106033511;0,833286517275247;6,02911838977959;"8.76567182084287e-06      .";"8 x 8";"13 NA";"angiotensinogen [Source:ZFIN;Acc:ZDB-GENE-030131-1205]"
"ENSDARG00000010267";8;"ENSDARG00000010267";"dpydb";7,08470982607578;1,34669653670108;2,8827440335673;-1,90538173853081;0,814358412979824;5,61275907864069;"1.94478933647213e-05      .";"8 x 9";"2 NA";"dihydropyrimidine dehydrogenase b [Source:ZFIN;Acc:ZDB-GENE-040426-2459]"
"ENSDARG00000070078";9;"ENSDARG00000070078";"abcb11b";5,07167004398792;1,34791710962673;2,85806222247209;-1,80048412142948;0,825477523909622;5,84993871091444;"1.23166341996495e-05      .";"7 x 8";"11 NA";"ATP-binding cassette, sub-family B (MDR/TAP), member 11b [Source:ZFIN;Acc:ZDB-GENE-050517-14]"
"ENSDARG00000055723";10;"ENSDARG00000055723";"hsp70l";7,95940272418463;1,60258485525642;2,84799661800621;-2,98256079578101;0,565470134971876;2,74244202499542;"0.00722844589395599      .";"9 x 7";"8 NA";"heat shock cognate 70-kd protein, like [Source:ZFIN;Acc:ZDB-GENE-050321-1]"
"ENSDARG00000103277";11;"ENSDARG00000103277";"cyp24a1";6,50343712578058;1,47602445506591;2,84048622976265;-3,30028732944608;0,668836088931093;3,59874725833772;"0.00120278555961861      .";"9 x 9";"6 NA";"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-060825-1]"
"ENSDARG00000078547";12;"ENSDARG00000078547";"si:ch211-264f5.2";6,42989791418508;1,52260522012579;2,8237033787011;-2,28102924985203;0,687609777777938;3,78806395337405;"0.000806422055793066      .";"10 x 8";"19 NA";"si:ch211-264f5.2 [Source:ZFIN;Acc:ZDB-GENE-080303-2]"
"ENSDARG00000045190";13;"ENSDARG00000045190";"ch25h";4,28165252023214;1,54612712841559;2,7819258374964;-1,39682782620502;0,866878450204984;6,95562235264597;"1.61937579057359e-06      .";"8 x 8";"12 NA";"cholesterol 25-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-041212-81]"
"ENSDARG00000099633";14;"ENSDARG00000099633";"";5,15249452907717;1,45699484549918;2,78005884236493;-1,91646260677437;0,810845580534942;5,54177884100483;"2.2328761509316e-05      .";"8 x 8";"10 NA";"SEC14-like lipid binding 7 [Source:ZFIN;Acc:ZDB-GENE-141216-145]"
"ENSDARG00000092362";15;"ENSDARG00000092362";"hsp70.1";9,66209743518693;1,65246621599784;2,75865945969535;-2,9697415736403;0,512521034039134;2,38749809062034;"0.0148236603766672      .";"9 x 7";"3 NA";"heat shock cognate 70-kd protein, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-110405-1]"
"ENSDARG00000055172";16;"ENSDARG00000055172";"si:ch211-256m1.8";6,72130666068097;1,40642921038823;2,75037381821958;-3,08369510418327;0,490122689328406;2,24916306036007;"0.0194685686079394      .";"10 x 9";"3 NA";"si:ch211-256m1.8 [Source:ZFIN;Acc:ZDB-GENE-131127-417]"
"ENSDARG00000042684";17;"ENSDARG00000042684";"serpinc1";7,31858455251502;1,3466092368147;2,72883161626729;-1,98490435602783;0,851929730002083;6,5075509870679;"3.61141576576962e-06      .";"8 x 9";"22 NA";"serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-264]"
"ENSDARG00000036930";18;"ENSDARG00000036930";"tbx18";7,32446009484015;1,13305917410486;2,7135363777798;-1,40216834166567;0,189757836239625;0,77307744775716;"0.22537366007654      .";"2 x 15";"23 NA";"T-box 18 [Source:ZFIN;Acc:ZDB-GENE-020529-2]"
"ENSDARG00000028389";19;"ENSDARG00000028389";"";7,5316459982264;1,74862282171896;2,69303480243202;-4,102219748376;0,806274680389984;5,45202605902548;"2.66150238152907e-05      .";"7 x 8";"6 NA";"RAB44, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-040724-117]"
"ENSDARG00000098315";20;"ENSDARG00000098315";"cyp1a";6,13027606620337;1,30757436888594;2,66502555860747;-2,4713482971127;0,718879283933084;4,13663160785053;"0.000387363047517519      .";"9 x 9";"18 NA";"cytochrome P450, family 1, subfamily A [Source:ZFIN;Acc:ZDB-GENE-011219-1]"
"ENSDARG00000029688";21;"ENSDARG00000029688";"hsp70.1";8,88752663318054;1,49971008900728;2,6322409423895;-2,53270120723601;0,576183210249635;2,81986399927349;"0.00616274175315901      .";"8 x 7";"3 NA";"heat shock cognate 70-kd protein, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-990415-91]"
"ENSDARG00000052011";22;"ENSDARG00000052011";"rrad";7,80428141912533;1,28464600711007;2,61898693186208;-3,11019378812365;0,452430292071121;2,02929091033095;"0.0297020387862135      .";"10 x 8";"7 NA";"Ras-related associated with diabetes [Source:ZFIN;Acc:ZDB-GENE-030131-5607]"
"ENSDARG00000070516";23;"ENSDARG00000070516";"zgc:92184";4,2732564021806;1,47777338857698;2,61473838451942;-1,30988766059525;0,677361260411663;3,68305993073739;"0.00100655788703641      .";"9 x 9";"3 NA";"si:dkeyp-52c3.2 [Source:ZFIN;Acc:ZDB-GENE-110411-46]"
"ENSDARG00000079543";24;"ENSDARG00000079543";"dpys";5,24908935291672;1,43989680996544;2,59367827393733;-1,95707982182158;0,780759199705838;4,99820211422668;"6.56715645013239e-05      .";"8 x 8";"16 NA";"dihydropyrimidinase [Source:ZFIN;Acc:ZDB-GENE-070508-1]"
"ENSDARG00000021004";25;"ENSDARG00000021004";"c5";5,55913577363431;1,71962152440187;2,58842427449196;-2,35327708991961;0,873565106099563;7,17938759927275;"1.09606442344479e-06      .";"7 x 8";"5 NA";"complement component 5 [Source:ZFIN;Acc:ZDB-GENE-120510-2]"
"ENSDARG00000014031";26;"ENSDARG00000014031";"abcc2";6,10351447800938;1,31287151029054;2,51602296258736;-1,69813511636612;0,780279275316468;4,9903439989095;"6.67210247248251e-05      .";"9 x 9";"13 NA";"ATP-binding cassette, sub-family C (CFTR/MRP), member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1523]"
"ENSDARG00000021924";27;"ENSDARG00000021924";"hsp70.3";9,06110622132433;1,48556287405432;2,49951550100698;-2,92876888760216;0,579365799080752;2,84327712177151;"0.00587159351757827      .";"9 x 7";"3 NA";"heat shock cognate 70-kd protein, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-110713-1]"
"ENSDARG00000051939";28;"ENSDARG00000051939";"pcxb";6,41796723182971;1,6577279538302;2,49342595407235;-2,54603621584144;0,773346263104084;4,87928031076313;"8.35406909487357e-05      .";"7 x 8";"7 NA";"pyruvate carboxylase b [Source:ZFIN;Acc:ZDB-GENE-000831-1]"
"ENSDARG00000076270";29;"ENSDARG00000076270";"adamts13";4,67238411930025;1,29591848786313;2,48809823458655;-1,39045949345046;0,726962243951348;4,2346651273536;"0.000315539861767355      .";"9 x 9";"8 NA";"ADAM metallopeptidase with thrombospondin type 1 motif, 13 [Source:ZFIN;Acc:ZDB-GENE-070814-7]"
"ENSDARG00000044694";30;"ENSDARG00000044694";"fybb";6,89958041763043;1,34693404931269;2,45559972544723;-2,87541673588716;0,79114132895795;5,17395778840091;"4.61517607281969e-05      .";"9 x 8";"21 NA";"FYN binding protein b [Source:ZFIN;Acc:ZDB-GENE-091204-85]"
"ENSDARG00000091624";31;"ENSDARG00000091624";"zgc:172315";6,62853761266771;1,34437471853264;2,45172837061306;-2,94673771850762;0,442703301477279;1,97488133005446;"0.0328984005066042      .";"10 x 11";"5 NA";"zgc:172315 [Source:ZFIN;Acc:ZDB-GENE-080220-7]"
"ENSDARG00000099819";32;"ENSDARG00000099819";"sb:cb1058";6,10459883240663;1,42817390514541;2,42296049756103;-2,33458787723864;0,815451130313119;5,63520804377235;"1.86190731139568e-05      .";"8 x 8";"7 NA";"sb:cb1058 [Source:ZFIN;Acc:ZDB-GENE-040108-9]"
"ENSDARG00000021208";33;"ENSDARG00000021208";"serpind1";4,69060449696773;1,0674723966818;2,41768335842269;-1,29588409239133;0,738470555719145;4,38075746722227;"0.000232739298407947      .";"9 x 10";"8 NA";"serpin peptidase inhibitor, clade D (heparin cofactor), member 1 [Source:ZFIN;Acc:ZDB-GENE-030711-2]"
"ENSDARG00000062132";34;"ENSDARG00000062132";"cyp4v8";4,22138260248977;1,25463924425604;2,40952908570694;-1,18489134466666;0,825941665653813;5,86028187192704;"1.20757658624848e-05      .";"8 x 9";"1 NA";"cytochrome P450, family 4, subfamily V, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-061103-601]"
"ENSDARG00000076043";35;"ENSDARG00000076043";"si:dkeyp-73d8.9";4,2615389211714;1,22370151229544;2,37430829519013;-1,16669439640015;0,816092012469287;5,64845792882923;"1.81471199323102e-05      .";"8 x 9";"2 NA";"si:dkeyp-73d8.9 [Source:ZFIN;Acc:ZDB-GENE-070912-685]"
"ENSDARG00000071429";36;"ENSDARG00000071429";"tdo2a";5,275045891765;1,40037942677746;2,37381421574375;-1,92440702489253;0,686301243626814;3,77442498642545;"0.000829969810226316      .";"7 x 9";"14 NA";"tryptophan 2,3-dioxygenase a [Source:ZFIN;Acc:ZDB-GENE-030131-1187]"
"ENSDARG00000044365";37;"ENSDARG00000044365";"angptl3";5,9716319436521;0,99523331342454;2,37340862267663;-2,2419244601074;0,694597643083647;3,86210258628684;"0.000689835154961349      .";"8 x 9";"6 NA";"angiopoietin-like 3 [Source:ZFIN;Acc:ZDB-GENE-010817-3]"
"ENSDARG00000105451";38;"ENSDARG00000105451";"si:cabz01068815.1";4,4094975762363;1,29516925647129;2,36121560896845;-1,28010349487459;0,815468017538021;5,63555638199109;"1.86065043199513e-05      .";"8 x 9";"7 NA";"si:cabz01068815.1 [Source:ZFIN;Acc:ZDB-GENE-160114-81]"
"ENSDARG00000089156";39;"ENSDARG00000089156";"egr3";8,04239047709562;1,97160399361009;2,34950141344525;-4,3557453128508;0,686099696703711;3,77233042093199;"0.000833646825435297      .";"8 x 8";"8 NA";"early growth response 3 [Source:ZFIN;Acc:ZDB-GENE-040718-394]"
"ENSDARG00000042982";40;"ENSDARG00000042982";"cyp2p8";4,48045506420856;1,02359734655641;2,34843327092174;-1,17169643703019;0,715642431586618;4,09836174134938;"0.000419717270889297      .";"8 x 10";"20 NA";"cytochrome P450, family 2, subfamily P, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-061030-1]"
"ENSDARG00000105473";41;"ENSDARG00000105473";"";3,82869896420432;1,09833271431939;2,33941000513432;-1,09513380451979;0,415380737471109;1,82655663884122;"0.043241469567217      .";"12 x 10";"7 NA";"si:cabz01036006.1 [Source:ZFIN;Acc:ZDB-GENE-160113-146]"
"ENSDARG00000056909";42;"ENSDARG00000056909";"";5,06777806695656;1,12848168390341;2,32416699941647;-1,46134979382725;0,704893516858188;3,97507660629716;"0.0005437796269947      .";"8 x 9";"24 NA";"erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]"
"ENSDARG00000076448";43;"ENSDARG00000076448";"serpinf2a";3,99718774196308;1,26447821221828;2,30834614841257;-1,13208440221721;0,774901171964648;4,90379835963531;"7.94865282480739e-05      .";"8 x 9";"21 NA";"serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2a [Source:ZFIN;Acc:ZDB-GENE-060822-1]"
