"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000008398";"ENSDARG00000008398";"28 x 35";"72hpf_pos_hand2";"cacna1c";"calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:ZFIN;Acc:ZDB-GENE-020129-1]"
"ENSDARG00000014496";"ENSDARG00000014496";"1 x 37";"72hpf_neg";"trpv6";"transient receptor potential cation channel, subfamily V, member 6 [Source:ZFIN;Acc:ZDB-GENE-040624-12]"
"ENSDARG00000016964";"ENSDARG00000016964";"15 x 3";"72hpf_pos_gata5.1";"zgc:165532";"zgc:165532 [Source:ZFIN;Acc:ZDB-GENE-050417-213]"
"ENSDARG00000024560";"ENSDARG00000024560";"10 x 18";"24hpf_neg";"slc4a1b";"solute carrier family 4 (anion exchanger), member 1b (Diego blood group) [Source:ZFIN;Acc:ZDB-GENE-110215-2]"
"ENSDARG00000025032";"ENSDARG00000025032";"17 x 16";"72hpf_pos_gata5";"nr3c1";"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) [Source:ZFIN;Acc:ZDB-GENE-050522-503]"
"ENSDARG00000060496";"ENSDARG00000060496";"9 x 37";"72hpf_neg_tbx5";"cacna1ha";"calcium channel, voltage-dependent, T type, alpha 1H subunit a [Source:ZFIN;Acc:ZDB-GENE-130103-1]"
"ENSDARG00000063358";"ENSDARG00000063358";"4 x 18";"72hpf_pos_gata5.1";"micu1";"mitochondrial calcium uptake 1 [Source:ZFIN;Acc:ZDB-GENE-070410-22]"
"ENSDARG00000070522";"ENSDARG00000070522";"9 x 40";"72hpf_neg_tbx5";"cacna1i";"calcium channel, voltage-dependent, T type, alpha 1I subunit [Source:ZFIN;Acc:ZDB-GENE-060503-324]"
"ENSDARG00000089913";"ENSDARG00000089913";"40 x 22";"72hpf_pos_hand2";"";"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:ZFIN;Acc:ZDB-GENE-090514-2]"
"ENSDARG00000096307";"ENSDARG00000096307";"14 x 29";"72hpf_neg_tbx5";"";"si:ch73-379f7.5 [Source:ZFIN;Acc:ZDB-GENE-120215-18]"
"ENSDARG00000099708";"ENSDARG00000099708";"11 x 34";"72hpf_neg_hand2";"cacna1hb";"calcium channel, voltage-dependent, T type, alpha 1H subunit b [Source:ZFIN;Acc:ZDB-GENE-090312-128]"
