"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002077";"ENSDARG00000002077";"34 x 19";"24hpf_pos";"mnat1";"MNAT CDK-activating kinase assembly factor 1 [Source:ZFIN;Acc:ZDB-GENE-041010-203]"
"ENSDARG00000002402";"ENSDARG00000002402";"34 x 12";"72hpf_pos.1";"ercc3";"excision repair cross-complementation group 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3043]"
"ENSDARG00000016514";"ENSDARG00000016514";"34 x 3";"24hpf_pos";"gtf2h2";"general transcription factor IIH, polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-030131-1959]"
"ENSDARG00000018061";"ENSDARG00000018061";"33 x 1";"24hpf_pos.1";"neil1";"nei-like DNA glycosylase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-994]"
"ENSDARG00000020001";"ENSDARG00000020001";"28 x 1";"72hpf_pos_gata5";"rad23aa";"RAD23 homolog A, nucleotide excision repair protein a [Source:ZFIN;Acc:ZDB-GENE-040808-59]"
"ENSDARG00000020079";"ENSDARG00000020079";"35 x 38";"24hpf_neg";"neil3";"nei-like DNA glycosylase 3 [Source:ZFIN;Acc:ZDB-GENE-041114-18]"
"ENSDARG00000021550";"ENSDARG00000021550";"36 x 21";"24hpf_pos.1";"rad23b";"RAD23 homolog B, nucleotide excision repair protein [Source:ZFIN;Acc:ZDB-GENE-040426-1487]"
"ENSDARG00000021985";"ENSDARG00000021985";"35 x 14";"24hpf_pos.1";"ercc2";"excision repair cross-complementation group 2 [Source:ZFIN;Acc:ZDB-GENE-040426-997]"
"ENSDARG00000023678";"ENSDARG00000023678";"36 x 12";"48hpf_neg";"ercc5";"excision repair cross-complementation group 5 [Source:ZFIN;Acc:ZDB-GENE-050327-28]"
"ENSDARG00000026701";"ENSDARG00000026701";"37 x 24";"24hpf_neg";"gtf2h1";"general transcription factor IIH, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040912-164]"
"ENSDARG00000036071";"ENSDARG00000036071";"36 x 5";"24hpf_pos.1";"gtf2h4";"general transcription factor IIH, polypeptide 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6779]"
"ENSDARG00000038114";"ENSDARG00000038114";"16 x 9";"72hpf_pos_tbx5.1";"xpa";"xeroderma pigmentosum, complementation group A [Source:ZFIN;Acc:ZDB-GENE-040426-1205]"
"ENSDARG00000039754";"ENSDARG00000039754";"28 x 11";"72hpf_pos.1";"xpc";"xeroderma pigmentosum, complementation group C [Source:ZFIN;Acc:ZDB-GENE-030131-8461]"
"ENSDARG00000055232";"ENSDARG00000055232";"36 x 34";"24hpf_neg";"fancc";"Fanconi anemia, complementation group C [Source:ZFIN;Acc:ZDB-GENE-060510-2]"
"ENSDARG00000056099";"ENSDARG00000056099";"25 x 2";"72hpf_pos_gata5.1";"gtf2h5";"general transcription factor IIH, polypeptide 5 [Source:ZFIN;Acc:ZDB-GENE-041001-144]"
"ENSDARG00000058984";"ENSDARG00000058984";"13 x 4";"72hpf_pos.1";"rad23ab";"RAD23 homolog A, nucleotide excision repair protein b [Source:ZFIN;Acc:ZDB-GENE-051113-160]"
"ENSDARG00000060002";"ENSDARG00000060002";"32 x 10";"24hpf_neg";"ogg1";"8-oxoguanine DNA glycosylase [Source:ZFIN;Acc:ZDB-GENE-070112-932]"
"ENSDARG00000067560";"ENSDARG00000067560";"40 x 30";"24hpf_pos.1";"gtf2h3";"general transcription factor IIH, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-040718-302]"
"ENSDARG00000074431";"ENSDARG00000074431";"21 x 36";"24hpf_neg";"";"damage-specific DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1272]"
"ENSDARG00000104287";"ENSDARG00000104287";"30 x 29";"72hpf_pos.1";"oraov1";"oral cancer overexpressed 1 [Source:ZFIN;Acc:ZDB-GENE-030729-33]"
