"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000767";"ENSDARG00000000767";"9 x 1";"24hpf_pos.1";"spi1b";"Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]"
"ENSDARG00000002571";"ENSDARG00000002571";"23 x 10";"72hpf_pos_gata5.1";"tmod2";"tropomodulin 2 [Source:ZFIN;Acc:ZDB-GENE-040912-185]"
"ENSDARG00000007329";"ENSDARG00000007329";"31 x 24";"24hpf_neg";"tbx16";"T-box 16 [Source:ZFIN;Acc:ZDB-GENE-990615-5]"
"ENSDARG00000013477";"ENSDARG00000013477";"40 x 40";"24hpf_pos.1";"gata1a";"GATA binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-980526-268]"
"ENSDARG00000019360";"ENSDARG00000019360";"13 x 18";"72hpf_pos_gata5";"sec23b";"Sec23 homolog B, COPII coat complex component [Source:ZFIN;Acc:ZDB-GENE-030131-5479]"
"ENSDARG00000019392";"ENSDARG00000019392";"7 x 4";"72hpf_pos_gata5.1";"stat5a";"signal transducer and activator of transcription 5a [Source:ZFIN;Acc:ZDB-GENE-030820-2]"
"ENSDARG00000026109";"ENSDARG00000026109";"18 x 6";"72hpf_pos_hand2.1";"slc48a1b";"solute carrier family 48 (heme transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-030131-8226]"
"ENSDARG00000029063";"ENSDARG00000029063";"3 x 18";"72hpf_pos_gata5";"";"caseinolytic mitochondrial matrix peptidase chaperone subunit a [Source:ZFIN;Acc:ZDB-GENE-040912-143]"
"ENSDARG00000030490";"ENSDARG00000030490";"40 x 40";"24hpf_pos.1";"sptb";"spectrin, beta, erythrocytic [Source:ZFIN;Acc:ZDB-GENE-000906-1]"
"ENSDARG00000030602";"ENSDARG00000030602";"18 x 4";"72hpf_pos_gata5.1";"rps19";"ribosomal protein S19 [Source:ZFIN;Acc:ZDB-GENE-040426-1716]"
"ENSDARG00000030759";"ENSDARG00000030759";"37 x 37";"24hpf_pos.1";"melk";"maternal embryonic leucine zipper kinase [Source:ZFIN;Acc:ZDB-GENE-990603-5]"
"ENSDARG00000036629";"ENSDARG00000036629";"20 x 7";"72hpf_pos_gata5.1";"rps14";"ribosomal protein S14 [Source:ZFIN;Acc:ZDB-GENE-030131-8631]"
"ENSDARG00000038643";"ENSDARG00000038643";"40 x 40";"24hpf_pos";"alas2";"aminolevulinate, delta-, synthase 2 [Source:ZFIN;Acc:ZDB-GENE-001229-1]"
"ENSDARG00000041232";"ENSDARG00000041232";"22 x 4";"24hpf_pos";"rps29";"ribosomal protein S29 [Source:ZFIN;Acc:ZDB-GENE-040622-5]"
"ENSDARG00000043509";"ENSDARG00000043509";"26 x 7";"24hpf_pos";"rpl11";"ribosomal protein L11 [Source:ZFIN;Acc:ZDB-GENE-040625-147]"
"ENSDARG00000059327";"ENSDARG00000059327";"21 x 1";"48hpf_pos.1";"gata2a";"GATA binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-980526-260]"
"ENSDARG00000073743";"ENSDARG00000073743";"40 x 2";"24hpf_pos.1";"slc25a37";"solute carrier family 25 (mitochondrial iron transporter), member 37 [Source:ZFIN;Acc:ZDB-GENE-031118-202]"
"ENSDARG00000077495";"ENSDARG00000077495";"26 x 13";"24hpf_neg";"ptpn9a";"protein tyrosine phosphatase, non-receptor type 9, a [Source:ZFIN;Acc:ZDB-GENE-101027-1]"
"ENSDARG00000086455";"ENSDARG00000086455";"16 x 14";"72hpf_pos";"";"caseinolytic mitochondrial matrix peptidase chaperone subunit a [Source:ZFIN;Acc:ZDB-GENE-040912-143]"
"ENSDARG00000089434";"ENSDARG00000089434";"23 x 15";"72hpf_pos_tbx5.1";"etv7";"ets variant 7 [Source:ZFIN;Acc:ZDB-GENE-070209-53]"
"ENSDARG00000095019";"ENSDARG00000095019";"40 x 40";"24hpf_pos";"lmo2";"LIM domain only 2 (rhombotin-like 1) [Source:ZFIN;Acc:ZDB-GENE-980526-419]"
