"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002571";"ENSDARG00000002571";"23 x 10";"72hpf_pos_gata5.1";"tmod2";"tropomodulin 2 [Source:ZFIN;Acc:ZDB-GENE-040912-185]"
"ENSDARG00000003046";"ENSDARG00000003046";"40 x 19";"48hpf_pos.1";"";"sorbin and SH3 domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-070308-2]"
"ENSDARG00000003081";"ENSDARG00000003081";"1 x 11";"72hpf_pos.1";"mybphb";"myosin binding protein Hb [Source:ZFIN;Acc:ZDB-GENE-030131-9794]"
"ENSDARG00000003684";"ENSDARG00000003684";"11 x 1";"48hpf_pos.1";"obsl1a";"obscurin-like 1a [Source:ZFIN;Acc:ZDB-GENE-060503-649]"
"ENSDARG00000004658";"ENSDARG00000004658";"17 x 40";"72hpf_neg";"zgc:101810";"zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]"
"ENSDARG00000005162";"ENSDARG00000005162";"10 x 6";"72hpf_pos.1";"tpm3";"tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]"
"ENSDARG00000006283";"ENSDARG00000006283";"28 x 32";"24hpf_neg";"waslb";"Wiskott-Aldrich syndrome-like b [Source:ZFIN;Acc:ZDB-GENE-040426-718]"
"ENSDARG00000008790";"ENSDARG00000008790";"25 x 19";"72hpf_pos_tbx5";"actr3b";"ARP3 actin related protein 3 homolog B [Source:ZFIN;Acc:ZDB-GENE-070424-10]"
"ENSDARG00000009677";"ENSDARG00000009677";"3 x 16";"48hpf_pos.1";"dlg1";"discs, large homolog 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-010724-8]"
"ENSDARG00000011615";"ENSDARG00000011615";"7 x 1";"72hpf_pos_hand2";"mybpc3";"myosin binding protein C, cardiac [Source:ZFIN;Acc:ZDB-GENE-070112-2362]"
"ENSDARG00000014113";"ENSDARG00000014113";"5 x 21";"72hpf_neg";"wasla";"Wiskott-Aldrich syndrome-like a [Source:ZFIN;Acc:ZDB-GENE-070209-220]"
"ENSDARG00000015149";"ENSDARG00000015149";"40 x 1";"24hpf_pos.1";"wasa";"Wiskott-Aldrich syndrome (eczema-thrombocytopenia) a [Source:ZFIN;Acc:ZDB-GENE-081104-419]"
"ENSDARG00000015906";"ENSDARG00000015906";"18 x 26";"72hpf_neg_tbx5";"mxtx2";"mix-type homeobox gene 2 [Source:ZFIN;Acc:ZDB-GENE-000710-6]"
"ENSDARG00000015937";"ENSDARG00000015937";"20 x 1";"72hpf_pos_gata5.1";"kptn";"kaptin (actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-040801-258]"
"ENSDARG00000019128";"ENSDARG00000019128";"19 x 6";"72hpf_pos_gata5.1";"tpm4b";"tropomyosin 4b [Source:ZFIN;Acc:ZDB-GENE-030131-2964]"
"ENSDARG00000020890";"ENSDARG00000020890";"21 x 33";"48hpf_neg";"tmod4";"tropomodulin 4 (muscle) [Source:ZFIN;Acc:ZDB-GENE-991019-9]"
"ENSDARG00000021124";"ENSDARG00000021124";"13 x 6";"72hpf_pos_hand2.1";"cfl1";"cofilin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-215]"
"ENSDARG00000021265";"ENSDARG00000021265";"23 x 39";"48hpf_pos.1";"mybpc2b";"myosin binding protein C, fast type b [Source:ZFIN;Acc:ZDB-GENE-050320-80]"
"ENSDARG00000023963";"ENSDARG00000023963";"40 x 7";"72hpf_pos_hand2";"tpm4a";"tropomyosin 4a [Source:ZFIN;Acc:ZDB-GENE-040426-2185]"
"ENSDARG00000026350";"ENSDARG00000026350";"13 x 8";"72hpf_pos_hand2.1";"wasb";"Wiskott-Aldrich syndrome (eczema-thrombocytopenia) b [Source:ZFIN;Acc:ZDB-GENE-030131-7098]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000028213";"ENSDARG00000028213";"40 x 8";"72hpf_pos.1";"";"titin, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030113-2]"
"ENSDARG00000030157";"ENSDARG00000030157";"7 x 22";"72hpf_pos.1";"mybpc2a";"myosin binding protein C, fast type a [Source:ZFIN;Acc:ZDB-GENE-060901-1]"
"ENSDARG00000033683";"ENSDARG00000033683";"1 x 8";"72hpf_pos.1";"tpma";"alpha-tropomyosin [Source:ZFIN;Acc:ZDB-GENE-990415-269]"
"ENSDARG00000037476";"ENSDARG00000037476";"6 x 12";"72hpf_pos_tbx5";"sorbs3";"sorbin and SH3 domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050327-1]"
"ENSDARG00000037747";"ENSDARG00000037747";"8 x 31";"72hpf_neg_hand2";"fscn1b";"fascin actin-bundling protein 1b [Source:ZFIN;Acc:ZDB-GENE-120507-1]"
"ENSDARG00000041974";"ENSDARG00000041974";"4 x 17";"48hpf_pos";"brk1";"BRICK1, SCAR/WAVE actin-nucleating complex subunit [Source:ZFIN;Acc:ZDB-GENE-040625-77]"
"ENSDARG00000042128";"ENSDARG00000042128";"11 x 40";"48hpf_neg";"pacsin1b";"protein kinase C and casein kinase substrate in neurons 1b [Source:ZFIN;Acc:ZDB-GENE-050913-35]"
"ENSDARG00000045560";"ENSDARG00000045560";"10 x 10";"72hpf_pos.1";"mybpc1";"myosin binding protein C, slow type [Source:ZFIN;Acc:ZDB-GENE-041114-196]"
"ENSDARG00000045634";"ENSDARG00000045634";"13 x 1";"48hpf_pos.1";"";"leiomodin 2 (cardiac) a [Source:ZFIN;Acc:ZDB-GENE-040912-41]"
"ENSDARG00000045864";"ENSDARG00000045864";"9 x 1";"72hpf_pos_hand2";"lmod2b";"leiomodin 2 (cardiac) b [Source:ZFIN;Acc:ZDB-GENE-041210-356]"
"ENSDARG00000052438";"ENSDARG00000052438";"14 x 6";"72hpf_pos_hand2.1";"actr2a";"ARP2 actin related protein 2a homolog [Source:ZFIN;Acc:ZDB-GENE-040426-2894]"
"ENSDARG00000054911";"ENSDARG00000054911";"29 x 37";"24hpf_pos.1";"tmsb";"thymosin, beta [Source:ZFIN;Acc:ZDB-GENE-050307-5]"
"ENSDARG00000058799";"ENSDARG00000058799";"14 x 27";"72hpf_pos_tbx5";"mybpha";"myosin binding protein Ha [Source:ZFIN;Acc:ZDB-GENE-040426-1531]"
"ENSDARG00000059574";"ENSDARG00000059574";"27 x 27";"72hpf_neg";"fscn2a";"fascin actin-bundling protein 2a, retinal [Source:ZFIN;Acc:ZDB-GENE-110901-1]"
"ENSDARG00000059680";"ENSDARG00000059680";"14 x 39";"48hpf_neg";"fscn1a";"fascin actin-bundling protein 1a [Source:ZFIN;Acc:ZDB-GENE-031009-1]"
"ENSDARG00000061603";"ENSDARG00000061603";"28 x 33";"72hpf_pos_hand2";"sorbs2b";"sorbin and SH3 domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-070308-3]"
"ENSDARG00000061904";"ENSDARG00000061904";"15 x 37";"72hpf_neg_gata5";"fhod3b";"formin homology 2 domain containing 3b [Source:ZFIN;Acc:ZDB-GENE-081028-61]"
"ENSDARG00000061941";"ENSDARG00000061941";"1 x 31";"72hpf_pos.1";"trpv4";"transient receptor potential cation channel, subfamily V, member 4 [Source:ZFIN;Acc:ZDB-GENE-030912-7]"
"ENSDARG00000069113";"ENSDARG00000069113";"11 x 35";"72hpf_neg_hand2";"dbn1";"drebrin 1 [Source:ZFIN;Acc:ZDB-GENE-091204-284]"
"ENSDARG00000070076";"ENSDARG00000070076";"27 x 4";"24hpf_pos";"actr2b";"ARP2 actin related protein 2b homolog [Source:ZFIN;Acc:ZDB-GENE-050410-4]"
"ENSDARG00000074396";"ENSDARG00000074396";"27 x 36";"72hpf_neg";"fscn2b";"fascin actin-bundling protein 2b, retinal [Source:ZFIN;Acc:ZDB-GENE-040426-1740]"
"ENSDARG00000076060";"ENSDARG00000076060";"26 x 18";"72hpf_pos_tbx5";"diaph2";"diaphanous-related formin 2 [Source:ZFIN;Acc:ZDB-GENE-090115-1]"
"ENSDARG00000077261";"ENSDARG00000077261";"31 x 35";"72hpf_neg";"lmod1b";"leiomodin 1b (smooth muscle) [Source:ZFIN;Acc:ZDB-GENE-141215-22]"
"ENSDARG00000077388";"ENSDARG00000077388";"40 x 3";"24hpf_pos.1";"";"obscurin-like 1b [Source:ZFIN;Acc:ZDB-GENE-050809-29]"
"ENSDARG00000077777";"ENSDARG00000077777";"3 x 11";"72hpf_pos_hand2";"tmsb4x";"thymosin, beta 4 x [Source:ZFIN;Acc:ZDB-GENE-030131-8304]"
"ENSDARG00000078318";"ENSDARG00000078318";"12 x 1";"48hpf_pos.1";"tmod1";"tropomodulin 1 [Source:ZFIN;Acc:ZDB-GENE-090312-131]"
"ENSDARG00000087402";"ENSDARG00000087402";"2 x 33";"72hpf_neg_hand2";"tpm1";"zgc:171719 [Source:ZFIN;Acc:ZDB-GENE-070822-17]"
