"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007302";"ENSDARG00000007302";"10 x 4";"72hpf_pos_gata5";"sh3gl3b";"SH3-domain GRB2-like 3b [Source:ZFIN;Acc:ZDB-GENE-040121-4]"
"ENSDARG00000009953";"ENSDARG00000009953";"33 x 32";"24hpf_neg";"med14";"mediator complex subunit 14 [Source:ZFIN;Acc:ZDB-GENE-030131-8867]"
"ENSDARG00000011785";"ENSDARG00000011785";"40 x 30";"24hpf_neg";"tbx6";"T-box 6 [Source:ZFIN;Acc:ZDB-GENE-020416-5]"
"ENSDARG00000013441";"ENSDARG00000013441";"32 x 6";"24hpf_pos";"hey2";"hes-related family bHLH transcription factor with YRPW motif 2 [Source:ZFIN;Acc:ZDB-GENE-000526-1]"
"ENSDARG00000018179";"ENSDARG00000018179";"8 x 11";"72hpf_pos";"acvrl1";"activin A receptor type II-like 1 [Source:ZFIN;Acc:ZDB-GENE-021003-1]"
"ENSDARG00000019103";"ENSDARG00000019103";"5 x 28";"72hpf_neg_gata5";"kdm4ab";"lysine (K)-specific demethylase 4A, genome duplicate b [Source:ZFIN;Acc:ZDB-GENE-030131-6279]"
"ENSDARG00000020442";"ENSDARG00000020442";"12 x 1";"24hpf_pos.1";"snx5";"sorting nexin 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2857]"
"ENSDARG00000020469";"ENSDARG00000020469";"36 x 12";"24hpf_pos.1";"map3k7";"mitogen-activated protein kinase kinase kinase 7 [Source:ZFIN;Acc:ZDB-GENE-041001-135]"
"ENSDARG00000020785";"ENSDARG00000020785";"4 x 17";"72hpf_pos_tbx5.1";"lama4";"laminin, alpha 4 [Source:ZFIN;Acc:ZDB-GENE-040724-213]"
"ENSDARG00000030307";"ENSDARG00000030307";"31 x 38";"24hpf_pos.1";"hspa12b";"heat shock protein 12B [Source:ZFIN;Acc:ZDB-GENE-070226-1]"
"ENSDARG00000033327";"ENSDARG00000033327";"35 x 40";"24hpf_pos";"unc5b";"unc-5 netrin receptor B [Source:ZFIN;Acc:ZDB-GENE-041213-1]"
"ENSDARG00000035054";"ENSDARG00000035054";"4 x 15";"48hpf_pos";"pdcd10a";"programmed cell death 10a [Source:ZFIN;Acc:ZDB-GENE-040426-1432]"
"ENSDARG00000037238";"ENSDARG00000037238";"28 x 8";"72hpf_pos_tbx5.1";"smad5";"SMAD family member 5 [Source:ZFIN;Acc:ZDB-GENE-990603-9]"
"ENSDARG00000039022";"ENSDARG00000039022";"3 x 19";"72hpf_pos_gata5";"stk25b";"serine/threonine kinase 25b [Source:ZFIN;Acc:ZDB-GENE-040426-2537]"
"ENSDARG00000040080";"ENSDARG00000040080";"40 x 1";"24hpf_pos";"fli1b";"Fli-1 proto-oncogene, ETS transcription factor b [Source:ZFIN;Acc:ZDB-GENE-031114-3]"
"ENSDARG00000040614";"ENSDARG00000040614";"18 x 16";"72hpf_pos";"sestd1";"SEC14 and spectrin domains 1 [Source:ZFIN;Acc:ZDB-GENE-030801-1]"
"ENSDARG00000041449";"ENSDARG00000041449";"4 x 21";"72hpf_pos_gata5.1";"spred1";"sprouty-related, EVH1 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2338]"
"ENSDARG00000052139";"ENSDARG00000052139";"18 x 40";"24hpf_neg";"notch3";"notch 3 [Source:ZFIN;Acc:ZDB-GENE-000329-5]"
"ENSDARG00000053868";"ENSDARG00000053868";"40 x 39";"24hpf_pos";"etv2";"ets variant 2 [Source:ZFIN;Acc:ZDB-GENE-050622-14]"
