"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001721";"ENSDARG00000001721";"40 x 39";"24hpf_pos.1";"oc90";"otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]"
"ENSDARG00000008948";"ENSDARG00000008948";"25 x 27";"72hpf_neg";"zgc:123275";"zgc:123275 [Source:ZFIN;Acc:ZDB-GENE-051113-96]"
"ENSDARG00000009153";"ENSDARG00000009153";"14 x 26";"72hpf_neg_hand2";"pla2g1b";"phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]"
"ENSDARG00000015662";"ENSDARG00000015662";"1 x 4";"72hpf_pos_tbx5";"pla2g12b";"phospholipase A2, group XIIB [Source:ZFIN;Acc:ZDB-GENE-040426-2771]"
"ENSDARG00000017141";"ENSDARG00000017141";"32 x 20";"24hpf_pos";"pla2g4ab";"phospholipase A2, group IVAb (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-041014-325]"
"ENSDARG00000018809";"ENSDARG00000018809";"11 x 28";"72hpf_neg_tbx5";"abhd3";"abhydrolase domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040912-90]"
"ENSDARG00000024546";"ENSDARG00000024546";"22 x 7";"72hpf_pos_gata5";"pla2g4aa";"phospholipase A2, group IVAa (cytosolic, calcium-dependent) [Source:ZFIN;Acc:ZDB-GENE-990415-45]"
"ENSDARG00000056535";"ENSDARG00000056535";"30 x 1";"72hpf_pos_gata5";"pla2g4f.1";"phospholipase A2, group IVF, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-131121-408]"
"ENSDARG00000069823";"ENSDARG00000069823";"20 x 40";"24hpf_neg";"proca1";"protein interacting with cyclin A1 [Source:ZFIN;Acc:ZDB-GENE-110418-1]"
"ENSDARG00000070454";"ENSDARG00000070454";"27 x 1";"24hpf_pos.1";"pla2g12a";"phospholipase A2, group XIIA [Source:ZFIN;Acc:ZDB-GENE-070410-18]"
"ENSDARG00000070953";"ENSDARG00000070953";"24 x 26";"72hpf_pos_hand2.1";"pla2g4f.2";"phospholipase A2, group IVF, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-131127-625]"
"ENSDARG00000098989";"ENSDARG00000098989";"15 x 19";"72hpf_pos_gata5";"LOC101885160";""
"ENSDARG00000099344";"ENSDARG00000099344";"10 x 13";"72hpf_pos.1";"zgc:92162";"zgc:92162 [Source:ZFIN;Acc:ZDB-GENE-040718-41]"
