"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007429";"ENSDARG00000007429";"37 x 7";"24hpf_pos.1";"ndor1";"NADPH dependent diflavin oxidoreductase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1555]"
"ENSDARG00000017612";"ENSDARG00000017612";"7 x 13";"72hpf_pos_gata5.1";"";"pyridoxamine 5'-phosphate oxidase [Source:ZFIN;Acc:ZDB-GENE-060602-2]"
"ENSDARG00000024160";"ENSDARG00000024160";"10 x 9";"72hpf_pos_tbx5";"hao1";"hydroxyacid oxidase (glycolate oxidase) 1 [Source:ZFIN;Acc:ZDB-GENE-060519-2]"
"ENSDARG00000026925";"ENSDARG00000026925";"37 x 16";"24hpf_pos.1";"nos2a";"nitric oxide synthase 2a, inducible [Source:ZFIN;Acc:ZDB-GENE-040305-1]"
"ENSDARG00000027992";"ENSDARG00000027992";"8 x 9";"72hpf_pos.1";"hao2";"hydroxyacid oxidase 2 (long chain) [Source:ZFIN;Acc:ZDB-GENE-040426-1239]"
"ENSDARG00000031976";"ENSDARG00000031976";"40 x 16";"24hpf_pos.1";"nos2b";"nitric oxide synthase 2b, inducible [Source:ZFIN;Acc:ZDB-GENE-080916-1]"
"ENSDARG00000036438";"ENSDARG00000036438";"8 x 14";"72hpf_pos_gata5";"ndufv1";"NADH dehydrogenase (ubiquinone) flavoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-040808-73]"
"ENSDARG00000045398";"ENSDARG00000045398";"13 x 14";"72hpf_pos_tbx5.1";"mtrr";"5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:ZFIN;Acc:ZDB-GENE-101115-3]"
"ENSDARG00000055092";"ENSDARG00000055092";"3 x 15";"48hpf_pos";"pora";"P450 (cytochrome) oxidoreductase a [Source:ZFIN;Acc:ZDB-GENE-050809-121]"
"ENSDARG00000059035";"ENSDARG00000059035";"5 x 7";"72hpf_pos_gata5";"porb";"P450 (cytochrome) oxidoreductase b [Source:ZFIN;Acc:ZDB-GENE-030131-5767]"
"ENSDARG00000062987";"ENSDARG00000062987";"36 x 30";"24hpf_pos";"tyw1";"tRNA-yW synthesizing protein 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060929-688]"
"ENSDARG00000068910";"ENSDARG00000068910";"7 x 40";"72hpf_pos_gata5";"nos1";"nitric oxide synthase 1 (neuronal) [Source:ZFIN;Acc:ZDB-GENE-001101-1]"
