"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004184";"ENSDARG00000004184";"26 x 14";"48hpf_pos.1";"nf1b";"neurofibromin 1b [Source:ZFIN;Acc:ZDB-GENE-091111-4]"
"ENSDARG00000012982";"ENSDARG00000012982";"25 x 37";"48hpf_neg";"nf1a";"neurofibromin 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4907]"
"ENSDARG00000029372";"ENSDARG00000029372";"1 x 22";"72hpf_pos.1";"rasa4";"RAS p21 protein activator 4 [Source:ZFIN;Acc:ZDB-GENE-060526-349]"
"ENSDARG00000035535";"ENSDARG00000035535";"29 x 25";"24hpf_neg";"rasa1a";"RAS p21 protein activator (GTPase activating protein) 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4694]"
"ENSDARG00000036257";"ENSDARG00000036257";"20 x 38";"24hpf_neg";"rasal2";"RAS protein activator like 2 [Source:ZFIN;Acc:ZDB-GENE-070912-180]"
"ENSDARG00000063371";"ENSDARG00000063371";"24 x 37";"72hpf_neg_tbx5";"rasa3";"RAS p21 protein activator 3 [Source:ZFIN;Acc:ZDB-GENE-090313-21]"
"ENSDARG00000063713";"ENSDARG00000063713";"8 x 37";"72hpf_neg_tbx5";"syngap1a";"synaptic Ras GTPase activating protein 1a [Source:ZFIN;Acc:ZDB-GENE-060503-370]"
"ENSDARG00000069484";"ENSDARG00000069484";"6 x 35";"48hpf_neg";"dab2ipa";"DAB2 interacting protein a [Source:ZFIN;Acc:ZDB-GENE-081104-516]"
"ENSDARG00000069765";"ENSDARG00000069765";"5 x 35";"72hpf_neg_tbx5";"syngap1b";"synaptic Ras GTPase activating protein 1b [Source:ZFIN;Acc:ZDB-GENE-100921-2]"
"ENSDARG00000073665";"ENSDARG00000073665";"18 x 4";"72hpf_pos_gata5.1";"rasa1b";"RAS p21 protein activator (GTPase activating protein) 1b [Source:ZFIN;Acc:ZDB-GENE-090311-50]"
"ENSDARG00000075110";"ENSDARG00000075110";"18 x 35";"72hpf_neg";"dab2ipb";"DAB2 interacting protein b [Source:ZFIN;Acc:ZDB-GENE-030131-2449]"
"ENSDARG00000078308";"ENSDARG00000078308";"6 x 28";"72hpf_neg";"spry2";"sprouty RTK signaling antagonist 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7038]"
"ENSDARG00000078775";"ENSDARG00000078775";"33 x 18";"24hpf_pos";"rasa2";"RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]"
"ENSDARG00000089933";"ENSDARG00000089933";"40 x 1";"24hpf_pos.1";"rasal3";"RAS protein activator like 3 [Source:ZFIN;Acc:ZDB-GENE-101130-3]"
"ENSDARG00000093985";"ENSDARG00000093985";"27 x 14";"48hpf_pos";"si:dkeyp-72a4.1";"si:dkeyp-72a4.1 [Source:ZFIN;Acc:ZDB-GENE-070705-551]"
"ENSDARG00000101346";"ENSDARG00000101346";"16 x 31";"72hpf_neg_gata5";"";""
"ENSDARG00000103985";"ENSDARG00000103985";"35 x 35";"24hpf_pos";"spry1";"sprouty homolog 1, antagonist of FGF signaling (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-081215-2]"
