"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001968";"ENSDARG00000001968";"1 x 16";"72hpf_neg";"dock5";"dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]"
"ENSDARG00000024141";"ENSDARG00000024141";"10 x 24";"72hpf_pos.1";"cav3";"caveolin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-426]"
"ENSDARG00000028699";"ENSDARG00000028699";"34 x 31";"24hpf_neg";"crkl";"v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:ZFIN;Acc:ZDB-GENE-040426-2951]"
"ENSDARG00000055635";"ENSDARG00000055635";"35 x 25";"72hpf_neg";"crk";"v-crk avian sarcoma virus CT10 oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-040801-148]"
"ENSDARG00000057571";"ENSDARG00000057571";"3 x 13";"72hpf_pos.1";"pgam2";"phosphoglycerate mutase 2 (muscle) [Source:ZFIN;Acc:ZDB-GENE-040116-6]"
"ENSDARG00000058996";"ENSDARG00000058996";"31 x 40";"24hpf_pos";"";"junctional adhesion molecule 2a [Source:ZFIN;Acc:ZDB-GENE-031204-3]"
"ENSDARG00000061794";"ENSDARG00000061794";"34 x 37";"24hpf_pos.1";"jam3b";"junctional adhesion molecule 3b [Source:ZFIN;Acc:ZDB-GENE-030131-441]"
"ENSDARG00000074849";"ENSDARG00000074849";"15 x 2";"72hpf_pos_gata5.1";"rac1a";"ras-related C3 botulinum toxin substrate 1a (rho family, small GTP binding protein Rac1) [Source:ZFIN;Acc:ZDB-GENE-030131-5415]"
"ENSDARG00000099093";"ENSDARG00000099093";"40 x 20";"72hpf_pos";"";"dedicator of cytokinesis 1 [Source:ZFIN;Acc:ZDB-GENE-080108-5]"
"ENSDARG00000103988";"ENSDARG00000103988";"35 x 30";"24hpf_neg";"tmem8c";"myomaker, myoblast fusion factor [Source:ZFIN;Acc:ZDB-GENE-040625-66]"
"ENSDARG00000104665";"ENSDARG00000104665";"26 x 34";"24hpf_pos";"kirrel3l";"kin of IRRE like 3 like [Source:ZFIN;Acc:ZDB-GENE-070831-1]"
