"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006370";"ENSDARG00000006370";"4 x 11";"72hpf_pos";"atp6v1h";"ATPase, H+ transporting, lysosomal V1 subunit H [Source:ZFIN;Acc:ZDB-GENE-021219-2]"
"ENSDARG00000009447";"ENSDARG00000009447";"6 x 15";"72hpf_pos_gata5";"atp5g3b";"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c3 (subunit 9) b [Source:ZFIN;Acc:ZDB-GENE-020814-1]"
"ENSDARG00000013443";"ENSDARG00000013443";"13 x 6";"72hpf_pos_hand2.1";"atp6v1ba";"ATPase, H+ transporting, lysosomal, V1 subunit B, member a [Source:ZFIN;Acc:ZDB-GENE-030711-3]"
"ENSDARG00000014085";"ENSDARG00000014085";"8 x 3";"72hpf_pos";"atp6v1e1";"ATPase, H+ transporting, lysosomal, V1 subunit E1a [Source:ZFIN;Acc:ZDB-GENE-041212-51]"
"ENSDARG00000015174";"ENSDARG00000015174";"2 x 40";"72hpf_neg_tbx5";"atp6v0a1b";"ATPase, H+ transporting, lysosomal V0 subunit a1b [Source:ZFIN;Acc:ZDB-GENE-050522-215]"
"ENSDARG00000016835";"ENSDARG00000016835";"38 x 13";"24hpf_pos.1";"tcirg1a";"T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3a [Source:ZFIN;Acc:ZDB-GENE-090311-31]"
"ENSDARG00000017775";"ENSDARG00000017775";"31 x 7";"48hpf_neg";"atp5g3a";"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9), genome duplicate a [Source:ZFIN;Acc:ZDB-GENE-040426-857]"
"ENSDARG00000020847";"ENSDARG00000020847";"27 x 3";"24hpf_pos.1";"atp6v0a1a";"ATPase, H+ transporting, lysosomal V0 subunit a1a [Source:ZFIN;Acc:ZDB-GENE-030131-3027]"
"ENSDARG00000023967";"ENSDARG00000023967";"5 x 13";"72hpf_pos_gata5.1";"atp6v1c1a";"ATPase, H+ transporting, lysosomal, V1 subunit C1a [Source:ZFIN;Acc:ZDB-GENE-030616-612]"
"ENSDARG00000030694";"ENSDARG00000030694";"7 x 5";"72hpf_pos_hand2.1";"atp6v1e1b";"ATPase, H+ transporting, lysosomal, V1 subunit E1b [Source:ZFIN;Acc:ZDB-GENE-020419-11]"
