"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002304";"ENSDARG00000002304";"40 x 34";"24hpf_pos.1";"gins2";"GINS complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-050419-19]"
"ENSDARG00000002613";"ENSDARG00000002613";"40 x 31";"24hpf_pos.1";"rpa3";"replication protein A3 [Source:ZFIN;Acc:ZDB-GENE-040426-977]"
"ENSDARG00000003938";"ENSDARG00000003938";"40 x 34";"24hpf_pos.1";"rpa1";"replication protein A1 [Source:ZFIN;Acc:ZDB-GENE-030912-3]"
"ENSDARG00000004529";"ENSDARG00000004529";"11 x 23";"72hpf_pos.1";"zgc:173742";"zgc:173742 [Source:ZFIN;Acc:ZDB-GENE-030131-6489]"
"ENSDARG00000005218";"ENSDARG00000005218";"32 x 5";"24hpf_pos";"wrnip1";"Werner helicase interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2415]"
"ENSDARG00000007175";"ENSDARG00000007175";"30 x 12";"24hpf_neg";"";"RecQ helicase-like [Source:ZFIN;Acc:ZDB-GENE-050809-134]"
"ENSDARG00000007624";"ENSDARG00000007624";"40 x 35";"24hpf_pos.1";"gins1";"GINS complex subunit 1 (Psf1 homolog) [Source:ZFIN;Acc:ZDB-GENE-041010-184]"
"ENSDARG00000008805";"ENSDARG00000008805";"36 x 7";"24hpf_neg";"orc3";"origin recognition complex, subunit 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6247]"
"ENSDARG00000011072";"ENSDARG00000011072";"40 x 28";"24hpf_neg";"ddx11";"DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:ZFIN;Acc:ZDB-GENE-041114-191]"
"ENSDARG00000011404";"ENSDARG00000011404";"35 x 30";"24hpf_neg";"fen1";"flap structure-specific endonuclease 1 [Source:ZFIN;Acc:ZDB-GENE-031112-11]"
"ENSDARG00000012325";"ENSDARG00000012325";"30 x 25";"48hpf_pos";"zgc:110269";"zgc:110269 [Source:ZFIN;Acc:ZDB-GENE-050417-81]"
"ENSDARG00000014017";"ENSDARG00000014017";"37 x 34";"24hpf_neg";"rrm1";"ribonucleotide reductase M1 polypeptide [Source:ZFIN;Acc:ZDB-GENE-990415-247]"
"ENSDARG00000014274";"ENSDARG00000014274";"35 x 6";"24hpf_neg";"rfc2";"replication factor C (activator 1) 2 [Source:ZFIN;Acc:ZDB-GENE-050306-29]"
"ENSDARG00000015070";"ENSDARG00000015070";"40 x 34";"24hpf_pos.1";"pola2";"polymerase (DNA directed), alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-778]"
"ENSDARG00000016044";"ENSDARG00000016044";"40 x 32";"24hpf_pos";"gins4";"GINS complex subunit 4 (Sld5 homolog) [Source:ZFIN;Acc:ZDB-GENE-040801-59]"
