"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004433";"ENSDARG00000004433";"40 x 1";"24hpf_pos";"btk";"Bruton agammaglobulinemia tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-070531-1]"
"ENSDARG00000008859";"ENSDARG00000008859";"40 x 6";"24hpf_pos.1";"mylipa";"myosin regulatory light chain interacting protein a [Source:ZFIN;Acc:ZDB-GENE-030131-7831]"
"ENSDARG00000014103";"ENSDARG00000014103";"32 x 36";"24hpf_pos.1";"dkk1a";"dickkopf WNT signaling pathway inhibitor 1a [Source:ZFIN;Acc:ZDB-GENE-090313-406]"
"ENSDARG00000029370";"ENSDARG00000029370";"30 x 29";"72hpf_neg_gata5";"ankrd6b";"ankyrin repeat domain 6b [Source:ZFIN;Acc:ZDB-GENE-030916-4]"
"ENSDARG00000031126";"ENSDARG00000031126";"35 x 40";"24hpf_pos.1";"notum1a";"notum pectinacetylesterase homolog 1a (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-120807-2]"
"ENSDARG00000038159";"ENSDARG00000038159";"33 x 35";"24hpf_neg";"tcf7l1a";"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
"ENSDARG00000038954";"ENSDARG00000038954";"7 x 30";"48hpf_neg";"ctnnbip1";"catenin, beta interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-000906-3]"
"ENSDARG00000041619";"ENSDARG00000041619";"29 x 25";"72hpf_neg";"gnb2l1";"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Source:ZFIN;Acc:ZDB-GENE-990415-89]"
"ENSDARG00000042904";"ENSDARG00000042904";"1 x 21";"72hpf_neg_tbx5";"foxo3b";"forkhead box O3b [Source:ZFIN;Acc:ZDB-GENE-990708-6]"
"ENSDARG00000045219";"ENSDARG00000045219";"9 x 20";"72hpf_pos.1";"dkk1b";"dickkopf WNT signaling pathway inhibitor 1b [Source:ZFIN;Acc:ZDB-GENE-990708-5]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000063007";"ENSDARG00000063007";"3 x 40";"72hpf_neg_tbx5";"apc2";"adenomatosis polyposis coli 2 [Source:ZFIN;Acc:ZDB-GENE-090422-1]"
"ENSDARG00000070683";"ENSDARG00000070683";"5 x 22";"72hpf_neg_gata5";"dkk3b";"dickkopf WNT signaling pathway inhibitor 3b [Source:ZFIN;Acc:ZDB-GENE-061207-74]"
"ENSDARG00000070787";"ENSDARG00000070787";"32 x 33";"72hpf_neg";"jupa";"junction plakoglobin a [Source:ZFIN;Acc:ZDB-GENE-991207-22]"
"ENSDARG00000071048";"ENSDARG00000071048";"5 x 28";"72hpf_neg_gata5";"wisp3";"WNT1 inducible signaling pathway protein 3 [Source:ZFIN;Acc:ZDB-GENE-041001-86]"
"ENSDARG00000073696";"ENSDARG00000073696";"9 x 5";"72hpf_pos.1";"frmd8";"FERM domain containing 8 [Source:ZFIN;Acc:ZDB-GENE-090812-5]"
"ENSDARG00000074597";"ENSDARG00000074597";"31 x 40";"24hpf_neg";"lzts2a";"leucine zipper, putative tumor suppressor 2a [Source:ZFIN;Acc:ZDB-GENE-090313-276]"
"ENSDARG00000075543";"ENSDARG00000075543";"26 x 39";"48hpf_neg";"chd8";"chromodomain helicase DNA binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-030131-6320]"
"ENSDARG00000076420";"ENSDARG00000076420";"38 x 12";"24hpf_pos.1";"dkk2";"dickkopf WNT signaling pathway inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-080204-14]"
"ENSDARG00000077207";"ENSDARG00000077207";"36 x 13";"24hpf_pos.1";"lzts2b";"leucine zipper, putative tumor suppressor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-9587]"
"ENSDARG00000079624";"ENSDARG00000079624";"21 x 39";"24hpf_neg";"amer1";"APC membrane recruitment protein 1 [Source:ZFIN;Acc:ZDB-GENE-070719-2]"
"ENSDARG00000088411";"ENSDARG00000088411";"24 x 2";"48hpf_pos";"notum2";"notum pectinacetylesterase 2 [Source:ZFIN;Acc:ZDB-GENE-120215-77]"
"ENSDARG00000088816";"ENSDARG00000088816";"24 x 34";"48hpf_pos.1";"trabd2b";"TraB domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-091204-381]"
"ENSDARG00000103125";"ENSDARG00000103125";"5 x 15";"72hpf_pos_gata5.1";"tsc2";"tuberous sclerosis 2 [Source:HGNC Symbol;Acc:HGNC:12363]"
"ENSDARG00000103591";"ENSDARG00000103591";"11 x 32";"72hpf_neg_hand2";"dkk3a";"dickkopf WNT signaling pathway inhibitor 3a [Source:ZFIN;Acc:ZDB-GENE-110519-1]"
