"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001754";"ENSDARG00000001754";"35 x 3";"24hpf_pos";"noc2l";"NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]"
"ENSDARG00000002487";"ENSDARG00000002487";"36 x 7";"24hpf_pos";"noc3l";"NOC3-like DNA replication regulator [Source:ZFIN;Acc:ZDB-GENE-030131-9878]"
"ENSDARG00000002720";"ENSDARG00000002720";"34 x 3";"24hpf_neg";"utp15";"utp15, U3 small nucleolar ribonucleoprotein, homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3831]"
"ENSDARG00000002758";"ENSDARG00000002758";"1 x 21";"72hpf_neg_gata5";"dedd1";"death effector domain-containing 1 [Source:ZFIN;Acc:ZDB-GENE-000616-2]"
"ENSDARG00000003032";"ENSDARG00000003032";"4 x 19";"72hpf_pos_tbx5.1";"eif4a1b";"eukaryotic translation initiation factor 4A1B [Source:ZFIN;Acc:ZDB-GENE-040120-6]"
"ENSDARG00000003217";"ENSDARG00000003217";"40 x 34";"24hpf_pos";"urb2";"URB2 ribosome biogenesis 2 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-2621]"
"ENSDARG00000003287";"ENSDARG00000003287";"38 x 28";"24hpf_pos";"wdr12";"WD repeat domain 12 [Source:ZFIN;Acc:ZDB-GENE-030131-371]"
"ENSDARG00000003527";"ENSDARG00000003527";"36 x 9";"24hpf_pos.1";"mak16";"MAK16 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-35]"
"ENSDARG00000003941";"ENSDARG00000003941";"34 x 2";"72hpf_pos";"rrs1";"RRS1 ribosome biogenesis regulator homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-9345]"
"ENSDARG00000004527";"ENSDARG00000004527";"37 x 23";"24hpf_pos";"pin4";"protein (peptidylprolyl cis/trans isomerase) NIMA-interacting, 4 (parvulin) [Source:ZFIN;Acc:ZDB-GENE-050522-117]"
"ENSDARG00000004529";"ENSDARG00000004529";"11 x 23";"72hpf_pos.1";"zgc:173742";"zgc:173742 [Source:ZFIN;Acc:ZDB-GENE-030131-6489]"
"ENSDARG00000004774";"ENSDARG00000004774";"33 x 28";"24hpf_neg";"wdr36";"WD repeat domain 36 [Source:ZFIN;Acc:ZDB-GENE-030131-464]"
"ENSDARG00000005699";"ENSDARG00000005699";"35 x 6";"24hpf_neg";"ddx19";"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 19 (DBP5 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-020419-30]"
"ENSDARG00000005774";"ENSDARG00000005774";"26 x 38";"48hpf_neg";"ddx3b";"DEAD (Asp-Glu-Ala-Asp) box helicase 3b [Source:ZFIN;Acc:ZDB-GENE-980526-150]"
"ENSDARG00000006225";"ENSDARG00000006225";"34 x 32";"24hpf_neg";"ddx39aa";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39Aa [Source:ZFIN;Acc:ZDB-GENE-030131-4275]"
