"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000095801";1;"ENSDARG00000095801";"";4,94653446790829;1,87395711108067;4,01348423111865;-2,52191948980482;0,600786473952336;3,00615113458899;"0.00418568783294182      .";"6 x 6";"22 NA";""
"ENSDARG00000019096";2;"ENSDARG00000019096";"myl7";8,24772941155447;2,69411134889529;3,98677215687396;-4,09317689551053;0,772363051467554;4,863890168154;"8.61933694304984e-05      .";"6 x 1";"8 NA";"myosin, light chain 7, regulatory [Source:ZFIN;Acc:ZDB-GENE-991019-3]"
"ENSDARG00000075265";3;"ENSDARG00000075265";"plaua";5,90478643195371;2,40260199843863;3,6204855952015;-3,17847339819361;0,712937830083364;4,06680050851007;"0.000448451686486218      .";"8 x 1";"13 NA";"plasminogen activator, urokinase a [Source:ZFIN;Acc:ZDB-GENE-090313-278]"
"ENSDARG00000104441";4;"ENSDARG00000104441";"hspb7";6,78451799804921;2,6488407735698;3,50904175144192;-4,07093280318178;0,76927505742128;4,81611326249398;"9.49923533870578e-05      .";"6 x 1";"23 NA";"heat shock protein family, member 7 (cardiovascular) [Source:ZFIN;Acc:ZDB-GENE-041010-136]"
"ENSDARG00000045612";5;"ENSDARG00000045612";"lrrc10";5,45323942688345;2,14214026352859;3,41914725460359;-2,94212515137319;0,6671040292027;3,58193693425823;"0.00124626879530498      .";"9 x 1";"25 NA";"leucine rich repeat containing 10 [Source:ZFIN;Acc:ZDB-GENE-071119-6]"
"ENSDARG00000011615";6;"ENSDARG00000011615";"mybpc3";8,53447854842837;2,29786082609086;3,4076103682788;-3,37496847266893;0,755277854452185;4,60953556000553;"0.000145007742911596      .";"7 x 1";"7 NA";"myosin binding protein C, cardiac [Source:ZFIN;Acc:ZDB-GENE-070112-2362]"
"ENSDARG00000013422";7;"ENSDARG00000013422";"slc8a1a";8,54379824114607;2,72221983182411;3,32728623383756;-5,73452345731313;0,710694195053924;4,04089899118316;"0.000473516161089593      .";"6 x 1";"11 NA";"solute carrier family 8 (sodium/calcium exchanger), member 1a [Source:ZFIN;Acc:ZDB-GENE-050809-1]"
"ENSDARG00000003706";8;"ENSDARG00000003706";"";8,71754765711659;2,53840947215666;3,24424463420871;-3,97808595339843;0,762066434506732;4,70775473855959;"0.000118526771511029      .";"6 x 1";"17 NA";"ryanodine receptor 2b (cardiac) [Source:ZFIN;Acc:ZDB-GENE-061226-3]"
"ENSDARG00000097504";9;"ENSDARG00000097504";"";6,10521018448799;1,71693618377313;3,23664406489467;-2,93962088654425;0,797029119903012;5,27885527357566;"3.74557914792906e-05      .";"4 x 5";"15 NA";""
"ENSDARG00000045864";10;"ENSDARG00000045864";"lmod2b";6,09657944907435;2,17806218823412;3,1523407580254;-3,12496233679093;0,640937754012441;3,33998810658821;"0.00207702896006734      .";"9 x 1";"4 NA";"leiomodin 2 (cardiac) b [Source:ZFIN;Acc:ZDB-GENE-041210-356]"
"ENSDARG00000040190";11;"ENSDARG00000040190";"qdpra";8,63973563372797;1,61112421341226;3,1381078536923;-3,74094799149169;0,687968674400515;3,79181696829833;"0.00080006111647668      .";"5 x 3";"14 NA";"quinoid dihydropteridine reductase a [Source:ZFIN;Acc:ZDB-GENE-070705-197]"
"ENSDARG00000104399";12;"ENSDARG00000104399";"LOC100150882";6,25193885115737;1,75124930772252;3,09822248013707;-2,99920025363072;0,60129277546543;3,01011821984157;"0.00415117971076451      .";"9 x 1";"22 NA";"tubulin polymerization promoting protein [Source:ZFIN;Acc:ZDB-GENE-101115-2]"
"ENSDARG00000038822";13;"ENSDARG00000038822";"mrc1b";8,71834713498288;1,80310818152455;2,98083709097909;-3,58864219263588;0,879072327191279;7,37649418188467;"7.81524710502524e-07      .";"7 x 1";"2 NA";"mannose receptor, C type 1b [Source:ZFIN;Acc:ZDB-GENE-070705-13]"
"ENSDARG00000074322";14;"ENSDARG00000074322";"";8,15487720784736;1,9234558290628;2,96890919872777;-3,00427239478772;0,881185246324681;7,45549083178897;"6.83442350268848e-07      .";"7 x 1";"25 NA";"si:ch211-194m7.3 [Source:ZFIN;Acc:ZDB-GENE-131121-19]"
"ENSDARG00000077309";15;"ENSDARG00000077309";"si:ch211-209f23.6";7,03376870603661;1,77023641926889;2,80511156769075;-2,51761855055791;0,864015456800187;6,86454845882658;"1.90188455340135e-06      .";"4 x 4";"2 NA";"si:ch211-209f23.6 [Source:ZFIN;Acc:ZDB-GENE-141211-79]"
"ENSDARG00000074656";16;"ENSDARG00000074656";"ctss2.1";8,64359066555085;2,09607637732821;2,78004563518057;-4,03727116313842;0,900351590450871;8,27599009719239;"1.78077094736828e-07      .";"5 x 1";"16 NA";"cathepsin S, ortholog2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050522-559]"
"ENSDARG00000035322";17;"ENSDARG00000035322";"myh7bb";8,95304339088908;1,73616407044183;2,76996457538747;-2,85562390641351;0,730667191337246;4,28083203432559;"0.000286555346875161      .";"7 x 1";"23 NA";"myosin, heavy chain 7B, cardiac muscle, beta b [Source:ZFIN;Acc:ZDB-GENE-090311-5]"
