"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006560";"ENSDARG00000006560";"18 x 32";"72hpf_neg_gata5";"irf4a";"interferon regulatory factor 4a [Source:ZFIN;Acc:ZDB-GENE-070912-330]"
"ENSDARG00000011785";"ENSDARG00000011785";"40 x 30";"24hpf_neg";"tbx6";"T-box 6 [Source:ZFIN;Acc:ZDB-GENE-020416-5]"
"ENSDARG00000014685";"ENSDARG00000014685";"38 x 36";"24hpf_neg";"esco2";"establishment of sister chromatid cohesion N-acetyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-050913-156]"
"ENSDARG00000017953";"ENSDARG00000017953";"35 x 28";"24hpf_pos.1";"tp73";"tumor protein p73 [Source:ZFIN;Acc:ZDB-GENE-030814-2]"
"ENSDARG00000019339";"ENSDARG00000019339";"16 x 1";"24hpf_pos";"uxt";"ubiquitously-expressed, prefoldin-like chaperone [Source:ZFIN;Acc:ZDB-GENE-040912-118]"
"ENSDARG00000028335";"ENSDARG00000028335";"34 x 40";"24hpf_neg";"hmga1a";"high mobility group AT-hook 1a [Source:ZFIN;Acc:ZDB-GENE-010502-1]"
"ENSDARG00000033160";"ENSDARG00000033160";"4 x 5";"72hpf_pos_tbx5.1";"nr1d1";"nuclear receptor subfamily 1, group d, member 1 [Source:ZFIN;Acc:ZDB-GENE-050105-1]"
"ENSDARG00000035333";"ENSDARG00000035333";"37 x 33";"24hpf_pos";"mis18a";"MIS18 kinetochore protein A [Source:ZFIN;Acc:ZDB-GENE-091204-314]"
"ENSDARG00000035732";"ENSDARG00000035732";"8 x 26";"72hpf_pos.1";"arntl1b";"aryl hydrocarbon receptor nuclear translocator-like 1b [Source:ZFIN;Acc:ZDB-GENE-030408-1]"
"ENSDARG00000036754";"ENSDARG00000036754";"18 x 40";"48hpf_neg";"hmgn3";"high mobility group nucleosomal binding domain 3 [Source:ZFIN;Acc:ZDB-GENE-041114-180]"
"ENSDARG00000038205";"ENSDARG00000038205";"24 x 40";"24hpf_pos.1";"her2";"hairy-related 2 [Source:ZFIN;Acc:ZDB-GENE-980526-274]"
"ENSDARG00000042056";"ENSDARG00000042056";"13 x 27";"72hpf_neg_hand2";"";"MAU2 sister chromatid cohesion factor [Source:ZFIN;Acc:ZDB-GENE-050522-383]"
"ENSDARG00000044356";"ENSDARG00000044356";"18 x 40";"24hpf_neg";"tp63";"tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]"
"ENSDARG00000045574";"ENSDARG00000045574";"40 x 8";"72hpf_neg";"lrmp";"lymphoid-restricted membrane protein [Source:ZFIN;Acc:ZDB-GENE-041210-152]"
"ENSDARG00000053666";"ENSDARG00000053666";"39 x 39";"24hpf_pos";"myb";"v-myb avian myeloblastosis viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-991110-14]"
"ENSDARG00000062267";"ENSDARG00000062267";"19 x 37";"24hpf_neg";"kdm3b";"lysine (K)-specific demethylase 3B [Source:ZFIN;Acc:ZDB-GENE-101007-4]"
"ENSDARG00000062326";"ENSDARG00000062326";"19 x 35";"72hpf_neg";"hmgn7";"high mobility group nucleosomal binding domain 7 [Source:ZFIN;Acc:ZDB-GENE-061215-23]"
"ENSDARG00000069912";"ENSDARG00000069912";"15 x 40";"72hpf_neg";"hmga2";"high mobility group AT-hook 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3148]"
"ENSDARG00000070951";"ENSDARG00000070951";"10 x 40";"48hpf_neg";"hmga1b";"high mobility group AT-hook 1b [Source:ZFIN;Acc:ZDB-GENE-061013-204]"
"ENSDARG00000077052";"ENSDARG00000077052";"5 x 30";"72hpf_neg_gata5";"tnrc18";"trinucleotide repeat containing 18 [Source:ZFIN;Acc:ZDB-GENE-100326-1]"
