"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001897";"ENSDARG00000001897";"11 x 3";"72hpf_pos_tbx5.1";"man2b1";"mannosidase, alpha, class 2B, member 1 [Source:ZFIN;Acc:ZDB-GENE-050327-52]"
"ENSDARG00000002021";"ENSDARG00000002021";"12 x 1";"72hpf_pos_gata5.1";"pygb";"phosphorylase, glycogen; brain [Source:ZFIN;Acc:ZDB-GENE-040928-2]"
"ENSDARG00000002197";"ENSDARG00000002197";"1 x 6";"72hpf_pos_tbx5";"";"phosphorylase, glycogen, liver [Source:ZFIN;Acc:ZDB-GENE-041205-1]"
"ENSDARG00000002355";"ENSDARG00000002355";"14 x 9";"72hpf_pos_tbx5";"shpk";"sedoheptulokinase [Source:ZFIN;Acc:ZDB-GENE-060526-357]"
"ENSDARG00000002401";"ENSDARG00000002401";"3 x 16";"72hpf_pos.1";"gale";"UDP-galactose-4-epimerase [Source:ZFIN;Acc:ZDB-GENE-060421-6479]"
"ENSDARG00000002634";"ENSDARG00000002634";"3 x 12";"72hpf_pos_gata5";"b4galt1";"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-050417-236]"
"ENSDARG00000004018";"ENSDARG00000004018";"13 x 9";"72hpf_pos_tbx5";"si:ch211-236h17.3";"si:ch211-236h17.3 [Source:ZFIN;Acc:ZDB-GENE-030131-738]"
"ENSDARG00000004115";"ENSDARG00000004115";"1 x 17";"72hpf_pos_gata5.1";"mgat4b";"mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B [Source:ZFIN;Acc:ZDB-GENE-040704-19]"
"ENSDARG00000004199";"ENSDARG00000004199";"22 x 17";"72hpf_pos_tbx5.1";"spam1";"sperm adhesion molecule 1 [Source:ZFIN;Acc:ZDB-GENE-050506-63]"
"ENSDARG00000005251";"ENSDARG00000005251";"15 x 4";"72hpf_pos_hand2.1";"rpe";"ribulose-5-phosphate-3-epimerase [Source:ZFIN;Acc:ZDB-GENE-030131-6837]"
"ENSDARG00000005257";"ENSDARG00000005257";"12 x 22";"72hpf_pos.1";"si:dkey-110k5.10";"si:dkey-110k5.10 [Source:ZFIN;Acc:ZDB-GENE-060531-70]"
"ENSDARG00000008238";"ENSDARG00000008238";"12 x 1";"24hpf_pos.1";"manba";"mannosidase, beta A, lysosomal [Source:ZFIN;Acc:ZDB-GENE-040426-721]"
"ENSDARG00000008541";"ENSDARG00000008541";"18 x 22";"48hpf_pos.1";"chia.4";"chitinase, acidic.4 [Source:ZFIN;Acc:ZDB-GENE-030131-9279]"
"ENSDARG00000009266";"ENSDARG00000009266";"12 x 3";"72hpf_pos_tbx5.1";"uevld";"UEV and lactate/malate dehyrogenase domains [Source:ZFIN;Acc:ZDB-GENE-040801-138]"
"ENSDARG00000009443";"ENSDARG00000009443";"14 x 20";"72hpf_pos_gata5";"zgc:92137";"zgc:92137 [Source:ZFIN;Acc:ZDB-GENE-040801-179]"
"ENSDARG00000010301";"ENSDARG00000010301";"28 x 35";"72hpf_neg_hand2";"b4galt6";"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6 [Source:ZFIN;Acc:ZDB-GENE-040426-789]"
"ENSDARG00000011283";"ENSDARG00000011283";"29 x 22";"24hpf_pos";"";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group) [Source:HGNC Symbol;Acc:HGNC:20460]"
"ENSDARG00000012366";"ENSDARG00000012366";"1 x 33";"72hpf_neg";"fbp2";"fructose-1,6-bisphosphatase 2 [Source:ZFIN;Acc:ZDB-GENE-040822-23]"
"ENSDARG00000013317";"ENSDARG00000013317";"1 x 19";"72hpf_neg_tbx5";"pygmb";"phosphorylase, glycogen, muscle b [Source:ZFIN;Acc:ZDB-GENE-040426-1206]"
"ENSDARG00000013561";"ENSDARG00000013561";"1 x 12";"72hpf_pos_tbx5";"pgm1";"phosphoglucomutase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1245]"
"ENSDARG00000013856";"ENSDARG00000013856";"24 x 27";"72hpf_neg";"amy2a";"amylase, alpha 2A (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-040426-2393]"
"ENSDARG00000014311";"ENSDARG00000014311";"14 x 14";"72hpf_pos";"pgghg";"protein-glucosylgalactosylhydroxylysine glucosidase [Source:ZFIN;Acc:ZDB-GENE-061103-319]"
"ENSDARG00000014554";"ENSDARG00000014554";"7 x 5";"72hpf_pos_gata5.1";"ppp1r3cb";"protein phosphatase 1, regulatory subunit 3Cb [Source:ZFIN;Acc:ZDB-GENE-040426-1733]"
"ENSDARG00000014704";"ENSDARG00000014704";"14 x 10";"72hpf_pos_hand2.1";"pgm2l1";"phosphoglucomutase 2-like 1 [Source:ZFIN;Acc:ZDB-GENE-041008-205]"
"ENSDARG00000015657";"ENSDARG00000015657";"28 x 20";"24hpf_pos";"zgc:77112";"zgc:77112 [Source:ZFIN;Acc:ZDB-GENE-040426-2219]"
"ENSDARG00000016337";"ENSDARG00000016337";"33 x 31";"24hpf_pos.1";"lctlb";"lactase-like b [Source:ZFIN;Acc:ZDB-GENE-060503-93]"
"ENSDARG00000017165";"ENSDARG00000017165";"34 x 24";"24hpf_pos";"slc3a1";"solute carrier family 3 (amino acid transporter heavy chain), member 1 [Source:ZFIN;Acc:ZDB-GENE-090313-225]"
"ENSDARG00000017772";"ENSDARG00000017772";"1 x 2";"48hpf_pos.1";"mdh1aa";"malate dehydrogenase 1Aa, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-040204-1]"
"ENSDARG00000018008";"ENSDARG00000018008";"31 x 24";"24hpf_pos";"mdh1b";"malate dehydrogenase 1B, NAD (soluble) [Source:ZFIN;Acc:ZDB-GENE-060929-384]"
"ENSDARG00000018178";"ENSDARG00000018178";"4 x 2";"48hpf_pos.1";"pgm2";"phosphoglucomutase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2218]"
"ENSDARG00000018853";"ENSDARG00000018853";"35 x 20";"24hpf_pos.1";"si:dkey-199f5.8";"si:dkey-199f5.8 [Source:ZFIN;Acc:ZDB-GENE-030131-4733]"
"ENSDARG00000019644";"ENSDARG00000019644";"1 x 10";"48hpf_pos";"ldhba";"lactate dehydrogenase Ba [Source:ZFIN;Acc:ZDB-GENE-991026-6]"
"ENSDARG00000019877";"ENSDARG00000019877";"29 x 1";"24hpf_pos.1";"rbks";"ribokinase [Source:ZFIN;Acc:ZDB-GENE-040625-112]"
"ENSDARG00000020364";"ENSDARG00000020364";"1 x 5";"72hpf_pos_tbx5";"fbp1b";"fructose-1,6-bisphosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-021206-11]"
"ENSDARG00000021233";"ENSDARG00000021233";"29 x 6";"24hpf_neg";"pgls";"6-phosphogluconolactonase [Source:ZFIN;Acc:ZDB-GENE-040822-9]"
"ENSDARG00000021366";"ENSDARG00000021366";"3 x 1";"48hpf_pos.1";"fbp1a";"fructose-1,6-bisphosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-7171]"
"ENSDARG00000021899";"ENSDARG00000021899";"26 x 33";"24hpf_pos.1";"b4galt7";"xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) [Source:ZFIN;Acc:ZDB-GENE-040727-3]"
"ENSDARG00000024443";"ENSDARG00000024443";"13 x 1";"24hpf_pos";"gnpda2";"glucosamine-6-phosphate deaminase 2 [Source:ZFIN;Acc:ZDB-GENE-091117-41]"
"ENSDARG00000024654";"ENSDARG00000024654";"13 x 15";"72hpf_pos_gata5";"pgm3";"phosphoglucomutase 3 [Source:ZFIN;Acc:ZDB-GENE-041024-13]"
"ENSDARG00000025275";"ENSDARG00000025275";"21 x 15";"72hpf_pos";"gbgt1l1";"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1, like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1117]"
"ENSDARG00000028786";"ENSDARG00000028786";"38 x 24";"24hpf_pos.1";"chst12a";"carbohydrate (chondroitin 4) sulfotransferase 12a [Source:ZFIN;Acc:ZDB-GENE-081022-13]"
