"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000013009";"ENSDARG00000013009";"23 x 34";"72hpf_neg_gata5";"ubiad1";"UbiA prenyltransferase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3205]"
"ENSDARG00000020123";"ENSDARG00000020123";"11 x 17";"72hpf_pos.1";"";"aarF domain containing kinase 3 [Source:ZFIN;Acc:ZDB-GENE-040718-487]"
"ENSDARG00000023583";"ENSDARG00000023583";"2 x 12";"72hpf_pos_gata5.1";"coq9";"coenzyme Q9 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061207-37]"
"ENSDARG00000035618";"ENSDARG00000035618";"17 x 10";"72hpf_pos";"coq5";"coenzyme Q5, methyltransferase [Source:ZFIN;Acc:ZDB-GENE-040912-5]"
"ENSDARG00000059510";"ENSDARG00000059510";"32 x 3";"24hpf_pos";"coq2";"coenzyme Q2 4-hydroxybenzoate polyprenyltransferase [Source:ZFIN;Acc:ZDB-GENE-070410-84]"
"ENSDARG00000060380";"ENSDARG00000060380";"10 x 15";"72hpf_pos.1";"coq6";"coenzyme Q6 monooxygenase [Source:ZFIN;Acc:ZDB-GENE-060825-297]"
"ENSDARG00000062594";"ENSDARG00000062594";"29 x 1";"24hpf_pos.1";"coq7";"coenzyme Q7 homolog, ubiquinone (yeast) [Source:ZFIN;Acc:ZDB-GENE-070209-262]"
"ENSDARG00000069857";"ENSDARG00000069857";"29 x 1";"24hpf_pos.1";"coq3";"coenzyme Q3 methyltransferase [Source:ZFIN;Acc:ZDB-GENE-040718-364]"
"ENSDARG00000070393";"ENSDARG00000070393";"23 x 35";"48hpf_pos";"si:dkey-190g6.2";"si:dkey-190g6.2 [Source:ZFIN;Acc:ZDB-GENE-090312-30]"
"ENSDARG00000089369";"ENSDARG00000089369";"38 x 9";"24hpf_pos.1";"fdxr";"ferredoxin reductase [Source:ZFIN;Acc:ZDB-GENE-130613-2]"
"ENSDARG00000101130";"ENSDARG00000101130";"6 x 18";"72hpf_pos_tbx5.1";"adck4";"aarF domain containing kinase 4 [Source:ZFIN;Acc:ZDB-GENE-060503-803]"
"ENSDARG00000104733";"ENSDARG00000104733";"14 x 6";"72hpf_pos_hand2.1";"";"coenzyme Q4 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060526-218]"
