"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000017388";"ENSDARG00000017388";"4 x 12";"72hpf_pos_gata5.1";"gstt1b";"glutathione S-transferase theta 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1491]"
"ENSDARG00000019585";"ENSDARG00000019585";"11 x 22";"72hpf_pos.1";"gstk2";"glutathione S-transferase kappa 2 [Source:ZFIN;Acc:ZDB-GENE-100922-14]"
"ENSDARG00000022183";"ENSDARG00000022183";"23 x 6";"72hpf_pos_gata5.1";"gsto1";"glutathione S-transferase omega 1 [Source:ZFIN;Acc:ZDB-GENE-040718-365]"
"ENSDARG00000027984";"ENSDARG00000027984";"1 x 13";"72hpf_pos_gata5";"gstz1";"glutathione S-transferase zeta 1 [Source:ZFIN;Acc:ZDB-GENE-040718-184]"
"ENSDARG00000028628";"ENSDARG00000028628";"8 x 33";"72hpf_neg_tbx5";"gdap1l1";"ganglioside induced differentiation associated protein 1-like 1 [Source:ZFIN;Acc:ZDB-GENE-080812-2]"
"ENSDARG00000029473";"ENSDARG00000029473";"14 x 2";"72hpf_pos_gata5";"gstm.2";"glutathione S-transferase mu tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-080218-30]"
"ENSDARG00000033285";"ENSDARG00000033285";"7 x 2";"72hpf_pos_gata5.1";"gsto2";"glutathione S-transferase omega 2 [Source:ZFIN;Acc:ZDB-GENE-041114-67]"
"ENSDARG00000033364";"ENSDARG00000033364";"3 x 12";"72hpf_pos_gata5.1";"mgst3b";"microsomal glutathione S-transferase 3b [Source:ZFIN;Acc:ZDB-GENE-061215-48]"
"ENSDARG00000039832";"ENSDARG00000039832";"20 x 6";"72hpf_pos_gata5";"gsta.2";"glutathione S-transferase, alpha tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070822-30]"
"ENSDARG00000042428";"ENSDARG00000042428";"1 x 7";"72hpf_pos_tbx5.1";"gstt1a";"glutathione S-transferase theta 1a [Source:ZFIN;Acc:ZDB-GENE-031001-13]"
"ENSDARG00000042533";"ENSDARG00000042533";"8 x 5";"72hpf_pos";"gstm.1";"glutathione S-transferase mu, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030911-2]"
"ENSDARG00000042620";"ENSDARG00000042620";"4 x 8";"72hpf_pos";"gstr";"glutathione S-transferase rho [Source:ZFIN;Acc:ZDB-GENE-090507-1]"
"ENSDARG00000056119";"ENSDARG00000056119";"13 x 22";"24hpf_pos.1";"";"eukaryotic translation elongation factor 1 gamma [Source:ZFIN;Acc:ZDB-GENE-020423-3]"
"ENSDARG00000056510";"ENSDARG00000056510";"3 x 11";"72hpf_pos_gata5";"gstk1";"glutathione S-transferase kappa 1 [Source:ZFIN;Acc:ZDB-GENE-040718-298]"
"ENSDARG00000058601";"ENSDARG00000058601";"5 x 33";"72hpf_pos_gata5.1";"gdap1";"ganglioside induced differentiation associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-050522-424]"
"ENSDARG00000071345";"ENSDARG00000071345";"20 x 4";"72hpf_pos_gata5.1";"mgst2";"microsomal glutathione S-transferase 2 [Source:ZFIN;Acc:ZDB-GENE-060616-94]"
"ENSDARG00000071774";"ENSDARG00000071774";"39 x 24";"24hpf_neg";"eef1e1";"eukaryotic translation elongation factor 1 epsilon 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4949]"
"ENSDARG00000088116";"ENSDARG00000088116";"4 x 2";"48hpf_pos";"gstm.3";"glutathione S-transferase mu tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-050309-24]"
"ENSDARG00000090228";"ENSDARG00000090228";"4 x 14";"72hpf_pos_gata5";"gsta.1";"glutathione S-transferase, alpha tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2720]"
"ENSDARG00000092052";"ENSDARG00000092052";"23 x 25";"72hpf_neg";"gstk4";"glutathione S-transferase kappa 4 [Source:ZFIN;Acc:ZDB-GENE-060421-6530]"
"ENSDARG00000093119";"ENSDARG00000093119";"21 x 20";"72hpf_pos_hand2";"si:dkey-40m6.14";"si:dkey-40m6.14 [Source:ZFIN;Acc:ZDB-GENE-100921-57]"
"ENSDARG00000095464";"ENSDARG00000095464";"12 x 14";"72hpf_pos_hand2.1";"gstt2";"glutathione S-transferase theta 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1617]"
"ENSDARG00000102744";"ENSDARG00000102744";"4 x 17";"72hpf_pos.1";"mgst3a";"microsomal glutathione S-transferase 3a [Source:ZFIN;Acc:ZDB-GENE-040426-2767]"
"ENSDARG00000103019";"ENSDARG00000103019";"1 x 1";"72hpf_pos_gata5.1";"gstp2";"glutathione S-transferase pi 2 [Source:ZFIN;Acc:ZDB-GENE-050601-1]"
"ENSDARG00000104068";"ENSDARG00000104068";"1 x 1";"48hpf_pos";"gstp1";"glutathione S-transferase pi 1 [Source:ZFIN;Acc:ZDB-GENE-020806-4]"
