"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000009624";"ENSDARG00000009624";"16 x 9";"24hpf_pos.1";"uts2r";"urotensin 2 receptor [Source:HGNC Symbol;Acc:HGNC:4468]"
"ENSDARG00000017340";"ENSDARG00000017340";"20 x 30";"72hpf_neg_gata5";"uts2b";"urotensin 2, beta [Source:ZFIN;Acc:ZDB-GENE-040630-10]"
"ENSDARG00000035552";"ENSDARG00000035552";"33 x 38";"72hpf_neg_gata5";"agtr2";"angiotensin II receptor, type 2 [Source:ZFIN;Acc:ZDB-GENE-050306-56]"
"ENSDARG00000053854";"ENSDARG00000053854";"16 x 25";"72hpf_neg_hand2";"uts2a";"urotensin 2, alpha [Source:ZFIN;Acc:ZDB-GENE-040630-11]"
"ENSDARG00000067781";"ENSDARG00000067781";"31 x 9";"72hpf_pos.1";"urp2";"urotensin II-related peptide [Source:ZFIN;Acc:ZDB-GENE-110718-3]"
"ENSDARG00000088124";"ENSDARG00000088124";"10 x 3";"72hpf_pos_hand2.1";"adrb2a";"adrenoceptor beta 2, surface a [Source:ZFIN;Acc:ZDB-GENE-100414-3]"
"ENSDARG00000093493";"ENSDARG00000093493";"14 x 9";"24hpf_pos.1";"";"urotensin-related peptide 1 [Source:ZFIN;Acc:ZDB-GENE-100922-138]"
"ENSDARG00000096322";"ENSDARG00000096322";"23 x 15";"72hpf_pos_tbx5.1";"si:ch73-379f7.4";"si:ch73-379f7.4 [Source:ZFIN;Acc:ZDB-GENE-120215-247]"
"ENSDARG00000096870";"ENSDARG00000096870";"21 x 23";"72hpf_neg_tbx5";"si:dkey-33c3.1";"si:dkey-33c3.1 [Source:ZFIN;Acc:ZDB-GENE-131121-337]"
"ENSDARG00000099915";"ENSDARG00000099915";"23 x 11";"72hpf_pos_gata5.1";"p2ry2.1";"purinergic receptor P2Y, G-protein coupled, 2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-091204-455]"
"ENSDARG00000101769";"ENSDARG00000101769";"15 x 18";"72hpf_pos_gata5";"cysltr3";"cysteinyl leukotriene receptor 3 [Source:ZFIN;Acc:ZDB-GENE-131127-536]"
"ENSDARG00000104425";"ENSDARG00000104425";"28 x 20";"24hpf_pos";"p2ry2.3";"purinergic receptor P2Y, G-protein coupled, 2, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-091204-458]"
