"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000161";"ENSDARG00000000161";"3 x 9";"72hpf_pos_gata5.1";"itsn2a";"intersectin 2a [Source:ZFIN;Acc:ZDB-GENE-041014-84]"
"ENSDARG00000000837";"ENSDARG00000000837";"37 x 1";"24hpf_pos.1";"snx9a";"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]"
"ENSDARG00000002790";"ENSDARG00000002790";"40 x 4";"24hpf_pos.1";"ap2m1a";"adaptor-related protein complex 2, mu 1 subunit, a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"
"ENSDARG00000004405";"ENSDARG00000004405";"17 x 12";"72hpf_pos";"snx10a";"sorting nexin 10a [Source:ZFIN;Acc:ZDB-GENE-050809-44]"
"ENSDARG00000004633";"ENSDARG00000004633";"13 x 27";"72hpf_neg_tbx5";"epn3b";"epsin 3b [Source:ZFIN;Acc:ZDB-GENE-121214-173]"
"ENSDARG00000004745";"ENSDARG00000004745";"40 x 28";"24hpf_neg";"lmbr1l";"limb development membrane protein 1-like [Source:ZFIN;Acc:ZDB-GENE-030131-9906]"
"ENSDARG00000005458";"ENSDARG00000005458";"36 x 20";"24hpf_pos.1";"csnk1g2a";"casein kinase 1, gamma 2a [Source:ZFIN;Acc:ZDB-GENE-030131-6445]"
"ENSDARG00000006125";"ENSDARG00000006125";"4 x 19";"72hpf_pos.1";"csnk1db";"casein kinase 1, delta b [Source:ZFIN;Acc:ZDB-GENE-040426-2385]"
"ENSDARG00000007257";"ENSDARG00000007257";"24 x 5";"72hpf_pos_tbx5.1";"rab5ab";"RAB5A, member RAS oncogene family, b [Source:ZFIN;Acc:ZDB-GENE-040122-3]"
"ENSDARG00000007302";"ENSDARG00000007302";"10 x 4";"72hpf_pos_gata5";"sh3gl3b";"SH3-domain GRB2-like 3b [Source:ZFIN;Acc:ZDB-GENE-040121-4]"
"ENSDARG00000007561";"ENSDARG00000007561";"9 x 28";"72hpf_neg_tbx5";"";"cadherin-related 23 [Source:ZFIN;Acc:ZDB-GENE-040513-7]"
"ENSDARG00000008370";"ENSDARG00000008370";"17 x 32";"72hpf_neg_gata5";"csnk1da";"casein kinase 1, delta a [Source:ZFIN;Acc:ZDB-GENE-030131-825]"
"ENSDARG00000008377";"ENSDARG00000008377";"36 x 27";"24hpf_pos.1";"epn2";"epsin 2 [Source:ZFIN;Acc:ZDB-GENE-071212-1]"
"ENSDARG00000008678";"ENSDARG00000008678";"12 x 1";"72hpf_pos_gata5.1";"snx3";"sorting nexin 3 [Source:ZFIN;Acc:ZDB-GENE-030131-921]"
"ENSDARG00000010425";"ENSDARG00000010425";"30 x 36";"72hpf_neg";"scara5";"scavenger receptor class A, member 5 (putative) [Source:ZFIN;Acc:ZDB-GENE-041210-258]"
"ENSDARG00000011837";"ENSDARG00000011837";"12 x 5";"48hpf_pos.1";"zgc:100846";"zgc:100846 [Source:ZFIN;Acc:ZDB-GENE-040801-47]"
"ENSDARG00000012866";"ENSDARG00000012866";"3 x 18";"48hpf_pos";"picalma";"phosphatidylinositol binding clathrin assembly protein a [Source:ZFIN;Acc:ZDB-GENE-040426-761]"
"ENSDARG00000013360";"ENSDARG00000013360";"28 x 35";"72hpf_neg_hand2";"";"SH3-domain GRB2-like 3a [Source:ZFIN;Acc:ZDB-GENE-070112-242]"
"ENSDARG00000014954";"ENSDARG00000014954";"27 x 25";"72hpf_pos_hand2.1";"snx33";"sorting nexin 33 [Source:ZFIN;Acc:ZDB-GENE-041111-209]"
"ENSDARG00000015807";"ENSDARG00000015807";"13 x 14";"24hpf_pos.1";"rab22a";"RAB22A, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-041114-161]"
"ENSDARG00000016163";"ENSDARG00000016163";"16 x 30";"72hpf_neg_gata5";"usp33";"ubiquitin specific peptidase 33 [Source:ZFIN;Acc:ZDB-GENE-040426-2323]"
"ENSDARG00000019060";"ENSDARG00000019060";"27 x 7";"48hpf_pos";"snx12";"sorting nexin 12 [Source:ZFIN;Acc:ZDB-GENE-040426-787]"
"ENSDARG00000020000";"ENSDARG00000020000";"29 x 13";"48hpf_pos";"sh3bp4a";"SH3-domain binding protein 4a [Source:ZFIN;Acc:ZDB-GENE-040303-3]"
"ENSDARG00000020131";"ENSDARG00000020131";"3 x 14";"72hpf_pos_tbx5.1";"fnbp1l";"formin binding protein 1-like [Source:ZFIN;Acc:ZDB-GENE-040801-155]"
"ENSDARG00000020442";"ENSDARG00000020442";"12 x 1";"24hpf_pos.1";"snx5";"sorting nexin 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2857]"
"ENSDARG00000020621";"ENSDARG00000020621";"40 x 34";"24hpf_pos";"ap1b1";"adaptor-related protein complex 1, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-061025-1]"
"ENSDARG00000020798";"ENSDARG00000020798";"9 x 39";"72hpf_neg_tbx5";"necap1";"NECAP endocytosis associated 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1682]"
"ENSDARG00000022659";"ENSDARG00000022659";"3 x 15";"48hpf_pos";"snx4";"sorting nexin 4 [Source:ZFIN;Acc:ZDB-GENE-030131-1923]"
"ENSDARG00000024642";"ENSDARG00000024642";"37 x 25";"24hpf_pos.1";"pip5k1ab";"phosphatidylinositol-4-phosphate 5-kinase, type I, alpha, b [Source:ZFIN;Acc:ZDB-GENE-041111-123]"
"ENSDARG00000030775";"ENSDARG00000030775";"33 x 18";"72hpf_pos_gata5.1";"sybl1";"synaptobrevin-like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1055]"
"ENSDARG00000034056";"ENSDARG00000034056";"33 x 14";"48hpf_neg";"csnk1g2b";"casein kinase 1, gamma 2b [Source:ZFIN;Acc:ZDB-GENE-060825-285]"
"ENSDARG00000040474";"ENSDARG00000040474";"18 x 9";"72hpf_pos";"snx10b";"sorting nexin 10b [Source:ZFIN;Acc:ZDB-GENE-070628-1]"
"ENSDARG00000042128";"ENSDARG00000042128";"11 x 40";"48hpf_neg";"pacsin1b";"protein kinase C and casein kinase substrate in neurons 1b [Source:ZFIN;Acc:ZDB-GENE-050913-35]"
"ENSDARG00000045150";"ENSDARG00000045150";"1 x 9";"72hpf_pos_gata5.1";"csnk1e";"casein kinase 1, epsilon [Source:ZFIN;Acc:ZDB-GENE-030131-7873]"
"ENSDARG00000046002";"ENSDARG00000046002";"23 x 3";"72hpf_pos_tbx5";"necap2";"NECAP endocytosis associated 2 [Source:ZFIN;Acc:ZDB-GENE-050522-67]"
