"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000006609";"ENSDARG00000006609";"29 x 30";"24hpf_pos.1";"map2k2a";"mitogen-activated protein kinase kinase 2a [Source:ZFIN;Acc:ZDB-GENE-041027-1]"
"ENSDARG00000007825";"ENSDARG00000007825";"11 x 31";"72hpf_neg_tbx5";"map2k1";"mitogen-activated protein kinase kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2759]"
"ENSDARG00000008279";"ENSDARG00000008279";"13 x 27";"72hpf_neg_hand2";"map2k7";"mitogen-activated protein kinase kinase 7 [Source:ZFIN;Acc:ZDB-GENE-090312-186]"
"ENSDARG00000011312";"ENSDARG00000011312";"16 x 8";"72hpf_pos_tbx5.1";"stk3";"serine/threonine kinase 3 (STE20 homolog, yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-2845]"
"ENSDARG00000011851";"ENSDARG00000011851";"34 x 9";"72hpf_pos.1";"map2k5";"mitogen-activated protein kinase kinase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1517]"
"ENSDARG00000018110";"ENSDARG00000018110";"33 x 28";"24hpf_pos";"pak4";"p21 protein (Cdc42/Rac)-activated kinase 4 [Source:ZFIN;Acc:ZDB-GENE-040704-69]"
"ENSDARG00000020455";"ENSDARG00000020455";"26 x 16";"48hpf_pos";"si:ch211-171h4.3";"si:ch211-171h4.3 [Source:ZFIN;Acc:ZDB-GENE-081031-85]"
"ENSDARG00000021864";"ENSDARG00000021864";"37 x 16";"24hpf_pos.1";"rplp1";"ribosomal protein, large, P1 [Source:ZFIN;Acc:ZDB-GENE-030131-8663]"
"ENSDARG00000022350";"ENSDARG00000022350";"7 x 29";"48hpf_neg";"nek1";"NIMA-related kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040730-1]"
"ENSDARG00000027500";"ENSDARG00000027500";"38 x 32";"24hpf_pos.1";"oxsr1b";"oxidative stress responsive 1b [Source:ZFIN;Acc:ZDB-GENE-040426-723]"
"ENSDARG00000027564";"ENSDARG00000027564";"5 x 33";"72hpf_neg_hand2";"";"p21 protein (Cdc42/Rac)-activated kinase 6a [Source:ZFIN;Acc:ZDB-GENE-130410-1]"
