"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000014479";"ENSDARG00000014479";"16 x 30";"48hpf_pos.1";"ptf1a";"pancreas specific transcription factor, 1a [Source:ZFIN;Acc:ZDB-GENE-030616-579]"
"ENSDARG00000034117";"ENSDARG00000034117";"31 x 36";"72hpf_neg_gata5";"rarga";"retinoic acid receptor gamma a [Source:ZFIN;Acc:ZDB-GENE-980526-531]"
"ENSDARG00000034893";"ENSDARG00000034893";"30 x 39";"72hpf_neg_hand2";"rarab";"retinoic acid receptor, alpha b [Source:ZFIN;Acc:ZDB-GENE-980526-72]"
"ENSDARG00000036194";"ENSDARG00000036194";"3 x 40";"72hpf_neg";"pitx2";"paired-like homeodomain 2 [Source:ZFIN;Acc:ZDB-GENE-990714-27]"
"ENSDARG00000036292";"ENSDARG00000036292";"35 x 19";"24hpf_neg";"cdx4";"caudal type homeobox 4 [Source:ZFIN;Acc:ZDB-GENE-980526-330]"
"ENSDARG00000036542";"ENSDARG00000036542";"1 x 18";"72hpf_pos_hand2.1";"pknox1.2";"pbx/knotted 1 homeobox 1.2 [Source:ZFIN;Acc:ZDB-GENE-020123-1]"
"ENSDARG00000053493";"ENSDARG00000053493";"4 x 29";"72hpf_neg_hand2";"aldh1a2";"aldehyde dehydrogenase 1 family, member A2 [Source:ZFIN;Acc:ZDB-GENE-011010-3]"
"ENSDARG00000054003";"ENSDARG00000054003";"15 x 35";"72hpf_neg_gata5";"";"retinoic acid receptor, gamma b [Source:ZFIN;Acc:ZDB-GENE-070314-1]"
"ENSDARG00000056783";"ENSDARG00000056783";"38 x 18";"24hpf_pos.1";"raraa";"retinoic acid receptor, alpha a [Source:ZFIN;Acc:ZDB-GENE-980526-284]"
"ENSDARG00000057007";"ENSDARG00000057007";"26 x 40";"24hpf_neg";"ctbp1";"C-terminal binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-010130-1]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000059370";"ENSDARG00000059370";"29 x 15";"48hpf_pos";"nr1d4b";"nuclear receptor subfamily 1, group D, member 4b [Source:ZFIN;Acc:ZDB-GENE-080403-6]"
"ENSDARG00000078954";"ENSDARG00000078954";"16 x 33";"72hpf_neg_hand2";"rxrba";"retinoid x receptor, beta a [Source:ZFIN;Acc:ZDB-GENE-980526-436]"
