"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000010782";"ENSDARG00000010782";"21 x 23";"72hpf_neg_tbx5";"zgc:55621";"zgc:55621 [Source:ZFIN;Acc:ZDB-GENE-040426-762]"
"ENSDARG00000014208";"ENSDARG00000014208";"39 x 33";"24hpf_pos";"";"zgc:55413 [Source:ZFIN;Acc:ZDB-GENE-040426-2909]"
"ENSDARG00000033413";"ENSDARG00000033413";"19 x 9";"24hpf_pos";"acot18";"acyl-CoA thioesterase 18 [Source:ZFIN;Acc:ZDB-GENE-041210-254]"
"ENSDARG00000040427";"ENSDARG00000040427";"9 x 25";"72hpf_pos.1";"acot19";"acyl-CoA thioesterase 19 [Source:ZFIN;Acc:ZDB-GENE-041114-124]"
"ENSDARG00000042510";"ENSDARG00000042510";"7 x 14";"72hpf_pos_gata5";"acot20";"acyl-CoA thioesterase 20 [Source:ZFIN;Acc:ZDB-GENE-041001-182]"
"ENSDARG00000042513";"ENSDARG00000042513";"23 x 19";"72hpf_pos_hand2.1";"acot21";"acyl-CoA thioesterase 21 [Source:ZFIN;Acc:ZDB-GENE-041001-181]"
"ENSDARG00000045522";"ENSDARG00000045522";"35 x 5";"24hpf_pos";"acot15";"acyl-CoA thioesterase 15 [Source:ZFIN;Acc:ZDB-GENE-041210-203]"
"ENSDARG00000068840";"ENSDARG00000068840";"26 x 16";"48hpf_pos";"zgc:66024";"zgc:66024 [Source:ZFIN;Acc:ZDB-GENE-040426-1511]"
"ENSDARG00000068846";"ENSDARG00000068846";"20 x 25";"48hpf_neg";"zgc:55621";"si:ch73-95l15.3 [Source:ZFIN;Acc:ZDB-GENE-131125-23]"
"ENSDARG00000069292";"ENSDARG00000069292";"8 x 10";"72hpf_pos_tbx5";"acot16";"acyl-CoA thioesterase 16 [Source:ZFIN;Acc:ZDB-GENE-041210-201]"
"ENSDARG00000088524";"ENSDARG00000088524";"32 x 7";"24hpf_pos";"acot17";"acyl-CoA thioesterase 17 [Source:ZFIN;Acc:ZDB-GENE-040426-2381]"
"ENSDARG00000089159";"ENSDARG00000089159";"40 x 29";"24hpf_pos";"";"acyl-CoA thioesterase 14 [Source:ZFIN;Acc:ZDB-GENE-041210-202]"
"ENSDARG00000093176";"ENSDARG00000093176";"32 x 11";"24hpf_pos";"zgc:77118";"zgc:77118 [Source:ZFIN;Acc:ZDB-GENE-040426-2211]"
"ENSDARG00000104542";"ENSDARG00000104542";"32 x 38";"24hpf_pos.1";"ppt2";"palmitoyl-protein thioesterase 2 [Source:ZFIN;Acc:ZDB-GENE-010430-4]"
