"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000837";"ENSDARG00000000837";"37 x 1";"24hpf_pos.1";"snx9a";"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]"
"ENSDARG00000002190";"ENSDARG00000002190";"5 x 5";"72hpf_pos_tbx5.1";"chmp2bb";"charged multivesicular body protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2539]"
"ENSDARG00000002790";"ENSDARG00000002790";"40 x 4";"24hpf_pos.1";"ap2m1a";"adaptor-related protein complex 2, mu 1 subunit, a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"
"ENSDARG00000002792";"ENSDARG00000002792";"12 x 25";"72hpf_neg_hand2";"arcn1a";"archain 1a [Source:ZFIN;Acc:ZDB-GENE-021031-2]"
"ENSDARG00000003487";"ENSDARG00000003487";"37 x 36";"24hpf_pos";"nup93";"nucleoporin 93 [Source:ZFIN;Acc:ZDB-GENE-990415-46]"
"ENSDARG00000004037";"ENSDARG00000004037";"29 x 13";"72hpf_pos_tbx5.1";"cog2";"component of oligomeric golgi complex 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2671]"
"ENSDARG00000004173";"ENSDARG00000004173";"27 x 29";"72hpf_neg";"copa";"coatomer protein complex, subunit alpha [Source:ZFIN;Acc:ZDB-GENE-020905-2]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000004336";"ENSDARG00000004336";"39 x 13";"24hpf_pos.1";"exoc4";"exocyst complex component 4 [Source:ZFIN;Acc:ZDB-GENE-041210-112]"
"ENSDARG00000004405";"ENSDARG00000004405";"17 x 12";"72hpf_pos";"snx10a";"sorting nexin 10a [Source:ZFIN;Acc:ZDB-GENE-050809-44]"
"ENSDARG00000005254";"ENSDARG00000005254";"28 x 30";"72hpf_pos.1";"kdelr2a";"KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2a [Source:ZFIN;Acc:ZDB-GENE-030826-32]"
"ENSDARG00000005451";"ENSDARG00000005451";"27 x 2";"24hpf_pos.1";"gdi2";"GDP dissociation inhibitor 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2485]"
"ENSDARG00000005513";"ENSDARG00000005513";"18 x 8";"24hpf_pos.1";"naca";"nascent polypeptide-associated complex alpha subunit [Source:ZFIN;Acc:ZDB-GENE-020423-4]"
"ENSDARG00000005675";"ENSDARG00000005675";"9 x 25";"72hpf_pos.1";"sec61a1l";"Sec61 translocon alpha 1 subunit, like [Source:ZFIN;Acc:ZDB-GENE-021016-2]"
"ENSDARG00000006383";"ENSDARG00000006383";"6 x 36";"72hpf_neg_tbx5";"stxbp5l";"syntaxin binding protein 5-like [Source:ZFIN;Acc:ZDB-GENE-041210-220]"
"ENSDARG00000006786";"ENSDARG00000006786";"4 x 29";"72hpf_neg";"copz2";"coatomer protein complex, subunit zeta 2 [Source:ZFIN;Acc:ZDB-GENE-000406-5]"
"ENSDARG00000006963";"ENSDARG00000006963";"34 x 9";"72hpf_pos.1";"cse1l";"CSE1 chromosome segregation 1-like (yeast) [Source:ZFIN;Acc:ZDB-GENE-990603-1]"
"ENSDARG00000007279";"ENSDARG00000007279";"20 x 13";"72hpf_pos";"yipf5";"Yip1 domain family, member 5 [Source:ZFIN;Acc:ZDB-GENE-040426-1057]"
"ENSDARG00000007323";"ENSDARG00000007323";"6 x 5";"72hpf_pos";"chmp4bb";"charged multivesicular body protein 4Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2812]"
"ENSDARG00000007362";"ENSDARG00000007362";"13 x 2";"72hpf_pos_gata5.1";"sft2d1";"SFT2 domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1350]"
"ENSDARG00000008184";"ENSDARG00000008184";"29 x 36";"24hpf_pos.1";"mia3";"melanoma inhibitory activity family, member 3 [Source:ZFIN;Acc:ZDB-GENE-041014-270]"
"ENSDARG00000008224";"ENSDARG00000008224";"14 x 5";"48hpf_pos.1";"vps35";"vacuolar protein sorting 35 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-2042]"
"ENSDARG00000008593";"ENSDARG00000008593";"38 x 21";"72hpf_pos_tbx5";"nbas";"neuroblastoma amplified sequence [Source:ZFIN;Acc:ZDB-GENE-041014-367]"
"ENSDARG00000009217";"ENSDARG00000009217";"16 x 36";"72hpf_neg_gata5";"tom1l2";"target of myb1 like 2 membrane trafficking protein [Source:ZFIN;Acc:ZDB-GENE-061013-3]"
"ENSDARG00000009266";"ENSDARG00000009266";"12 x 3";"72hpf_pos_tbx5.1";"uevld";"UEV and lactate/malate dehyrogenase domains [Source:ZFIN;Acc:ZDB-GENE-040801-138]"
"ENSDARG00000009350";"ENSDARG00000009350";"16 x 1";"48hpf_pos";"atg3";"autophagy related 3 [Source:ZFIN;Acc:ZDB-GENE-030131-8576]"
"ENSDARG00000009629";"ENSDARG00000009629";"34 x 35";"24hpf_neg";"unc119.1";"unc-119 homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030219-130]"
"ENSDARG00000010279";"ENSDARG00000010279";"10 x 5";"72hpf_pos.1";"scamp2";"secretory carrier membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2702]"
"ENSDARG00000010531";"ENSDARG00000010531";"11 x 1";"72hpf_pos_hand2.1";"scamp4";"secretory carrier membrane protein 4 [Source:ZFIN;Acc:ZDB-GENE-050913-40]"
"ENSDARG00000011897";"ENSDARG00000011897";"20 x 1";"72hpf_pos_tbx5";"tsg101b";"tumor susceptibility 101b [Source:ZFIN;Acc:ZDB-GENE-130530-542]"
"ENSDARG00000012039";"ENSDARG00000012039";"23 x 40";"24hpf_neg";"ttc26";"tetratricopeptide repeat domain 26 [Source:ZFIN;Acc:ZDB-GENE-041212-41]"
"ENSDARG00000012222";"ENSDARG00000012222";"36 x 6";"24hpf_pos";"nup35";"nucleoporin 35 [Source:ZFIN;Acc:ZDB-GENE-030131-9407]"
"ENSDARG00000013726";"ENSDARG00000013726";"11 x 25";"72hpf_pos.1";"ap4b1";"adaptor-related protein complex 4, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040426-1284]"
"ENSDARG00000013763";"ENSDARG00000013763";"28 x 37";"24hpf_neg";"rrbp1a";"ribosome binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9795]"
"ENSDARG00000014531";"ENSDARG00000014531";"37 x 23";"48hpf_pos.1";"atg4a";"autophagy related 4A, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-050522-430]"
