"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000070331";1;"ENSDARG00000070331";"muc5.1";7,69346360840983;3,24053303717608;5,39880759073755;-5,59691993955217;0,794137813007313;5,22684565666393;"4.15337962711426e-05      .";"1 x 40";"25 NA";"mucin 5.1, oligomeric mucus/gel-forming [Source:ZFIN;Acc:ZDB-GENE-120822-1]"
"ENSDARG00000007739";2;"ENSDARG00000007739";"atp1a1a.2";8,49486681318447;3,11057597992579;5,18980608542929;-6,04214516064631;0,534256867309921;2,52806267510475;"0.0111864349423457      .";"1 x 40";"1 NA";"ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]"
"ENSDARG00000055752";3;"ENSDARG00000055752";"npas4a";6,7252071417055;2,50718175308963;4,8502338615258;-4,47313070659867;0,723409999666314;4,19113796564365;"0.000345593478660033      .";"1 x 38";"14 NA";"neuronal PAS domain protein 4a [Source:ZFIN;Acc:ZDB-GENE-060616-396]"
"ENSDARG00000054753";4;"ENSDARG00000054753";"col10a1a";7,60919437744343;3,30586394107234;4,75966867759804;-5,54673895924484;0,768817590137381;4,80910639130606;"9.63581919259937e-05      .";"1 x 38";"17 NA";"collagen, type X, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-8373]"
"ENSDARG00000012422";5;"ENSDARG00000012422";"col11a2";11,1631436493863;3,23128286999978;4,71766237383368;-8,25634161773336;0,865569678369367;6,91365445368209;"1.74368576266737e-06      .";"1 x 39";"19 NA";"collagen, type XI, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-000208-23]"
"ENSDARG00000076830";6;"ENSDARG00000076830";"";9,01547856666377;2,95805912663321;4,48759178416784;-6,69883430977268;0,85420861594621;6,57171486784078;"3.21413896409162e-06      .";"1 x 40";"5 NA";"si:dkey-65b12.6 [Source:ZFIN;Acc:ZDB-GENE-060526-329]"
"ENSDARG00000059945";7;"ENSDARG00000059945";"sv2a";8,12981996574469;1,94343739908569;4,01290042944009;-3,21719679417429;0,944031088804645;11,4477795057499;"2.02945749094852e-09      .";"3 x 40";"16 NA";"synaptic vesicle glycoprotein 2A [Source:ZFIN;Acc:ZDB-GENE-131001-1]"
"ENSDARG00000037845";8;"ENSDARG00000037845";"col9a3";8,7770374601988;2,78481676867744;4,01218334567437;-6,38600094066118;0,877527286930505;7,31994508753299;"8.60706652505705e-07      .";"1 x 39";"23 NA";"collagen, type IX, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-030131-9799]"
"ENSDARG00000056950";9;"ENSDARG00000056950";"epyc";8,55581411433079;3,02042355990988;4,00189651166174;-6,25193934250895;0,809862496676438;5,52223132847191;"2.31972111104373e-05      .";"1 x 38";"4 NA";"epiphycan [Source:ZFIN;Acc:ZDB-GENE-041008-9]"
"ENSDARG00000000503";10;"ENSDARG00000000503";"stx1b";8,96351825567873;2,44730883729292;3,89853293252672;-5,96246427713776;0,966948346388983;15,1694624928958;"3.22768478611124e-11      .";"1 x 40";"19 NA";"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]"
"ENSDARG00000025728";11;"ENSDARG00000025728";"grin1b";7,82088269143686;2,54301143089409;3,8803662015563;-5,44560068450063;0,908132170755644;8,67607101508413;"9.5300190183778e-08      .";"1 x 40";"5 NA";"glutamate receptor, ionotropic, N-methyl D-aspartate 1b [Source:ZFIN;Acc:ZDB-GENE-051202-2]"
"ENSDARG00000098880";12;"ENSDARG00000098880";"pclob";8,76453745096721;2,24442930050054;3,87953393084186;-6,29930148579496;0,95024758200975;12,202386989345;"8.07056643736814e-10      .";"1 x 40";"18 NA";"piccolo presynaptic cytomatrix protein b [Source:ZFIN;Acc:ZDB-GENE-030131-8100]"
"ENSDARG00000038056";13;"ENSDARG00000038056";"fgfbp2b";7,5610771256616;2,6665033141336;3,79166186466779;-5,14718382065122;0,815473495199941;5,63566938071176;"1.86024289687836e-05      .";"1 x 38";"1 NA";"fibroblast growth factor binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-070410-95]"
"ENSDARG00000059775";14;"ENSDARG00000059775";"slc32a1";6,55452711239591;2,26538701040665;3,75389219082892;-3,96629867899303;0,909897723160188;8,77363638190089;"8.20634868947678e-08      .";"2 x 40";"6 NA";"solute carrier family 32 (GABA vesicular transporter), member 1 [Source:ZFIN;Acc:ZDB-GENE-061201-1]"
"ENSDARG00000039647";15;"ENSDARG00000039647";"slc6a1b";7,9132874259951;2,27130597820297;3,70567312461265;-5,40389455431991;0,951199208570259;12,330118015519;"6.93613722013708e-10      .";"1 x 40";"11 NA";"solute carrier family 6 (neurotransmitter transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-041114-57]"
"ENSDARG00000015537";16;"ENSDARG00000015537";"gad2";6,95581880961084;2,0967342403564;3,68896863125101;-4,33177938034503;0,950622519602429;12,2522827339054;"7.60569607294315e-10      .";"1 x 40";"24 NA";"glutamate decarboxylase 2 [Source:ZFIN;Acc:ZDB-GENE-030909-9]"
