"";"Rank";"ID";"Symbol";"mean expression";"SD";"max delta e";"min delta e";"correlation";"->t.score";"->p.value";"Metagene";"Chromosome";"Description"
"ENSDARG00000017274";1;"ENSDARG00000017274";"opn1sw2";4,16204038746797;2,36485430774728;5,44415364626129;-2,16634884727631;0,575035213499995;2,81146593233011;"0.00627054527511195      .";"1 x 35";"11 NA";"opsin 1 (cone pigments), short-wave-sensitive 2 [Source:ZFIN;Acc:ZDB-GENE-990604-40]"
"ENSDARG00000070331";2;"ENSDARG00000070331";"muc5.1";7,69346360840983;3,24053303717608;5,39880759073755;-5,59691993955217;0,814111811038448;5,60771745070941;"1.96392248810184e-05      .";"1 x 40";"25 NA";"mucin 5.1, oligomeric mucus/gel-forming [Source:ZFIN;Acc:ZDB-GENE-120822-1]"
"ENSDARG00000030215";3;"ENSDARG00000030215";"matn1";9,20124420370358;4,25225830084688;5,34075264317578;-6,97631775692412;0,78560336979556;5,07880867878672;"5.58375439351222e-05      .";"1 x 37";"19 NA";"matrilin 1 [Source:ZFIN;Acc:ZDB-GENE-050307-3]"
"ENSDARG00000097008";4;"ENSDARG00000097008";"opn1mw1";5,37462126464961;2,90497340854034;5,22125689175076;-3,71075555581434;0,568653205488364;2,76522659281125;"0.00689759106657162      .";"1 x 35";"6 NA";"opsin 1 (cone pigments), medium-wave-sensitive, 1 [Source:ZFIN;Acc:ZDB-GENE-990604-42]"
"ENSDARG00000007739";5;"ENSDARG00000007739";"atp1a1a.2";8,49486681318447;3,11057597992579;5,18980608542929;-6,04214516064631;0,549159366883271;2,62844450960652;"0.00912687194879469      .";"1 x 40";"1 NA";"ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-001212-2]"
"ENSDARG00000045677";6;"ENSDARG00000045677";"opn1sw1";6,81487748905174;2,7004569360774;5,15898566920076;-4,48097538678135;0,52421402488359;2,462293578719;"0.0127681280358607      .";"1 x 35";"4 NA";"opsin 1 (cone pigments), short-wave-sensitive 1 [Source:ZFIN;Acc:ZDB-GENE-991109-25]"
"ENSDARG00000002193";7;"ENSDARG00000002193";"rho";6,54613523059643;3,247456968902;5,14043797846144;-4,55352560887367;0,769894754726313;4,82563391086462;"9.3168254221343e-05      .";"1 x 37";"8 NA";"rhodopsin [Source:ZFIN;Acc:ZDB-GENE-990415-271]"
"ENSDARG00000079302";8;"ENSDARG00000079302";"and2";8,47682288459404;2,49594168077377;5,08777308006538;-5,90527969767837;0,759293203403159;4,66719788221291;"0.000128803720417126      .";"1 x 37";"2 NA";"actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2]"
"ENSDARG00000044861";9;"ENSDARG00000044861";"opn1lw2";7,00915627472785;2,90809967264744;5,00732729126674;-4,87742047654214;0,768279550010898;4,80088851342459;"9.79857789187299e-05      .";"1 x 37";"11 NA";"opsin 1 (cone pigments), long-wave-sensitive, 2 [Source:ZFIN;Acc:ZDB-GENE-040718-141]"
"ENSDARG00000088514";10;"ENSDARG00000088514";"and1";9,22988671359307;2,03469358758911;4,90294461919997;-3,65699964353229;0,779895711744602;4,98407987112595;"6.75699443632993e-05      .";"1 x 36";"24 NA";"actinodin1 [Source:ZFIN;Acc:ZDB-GENE-030131-9105]"
