"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000005372";"ENSDARG00000005372";"11 x 33";"72hpf_neg_gata5";"camk4";"calcium/calmodulin-dependent protein kinase IV [Source:ZFIN;Acc:ZDB-GENE-050417-76]"
"ENSDARG00000007438";"ENSDARG00000007438";"34 x 11";"72hpf_neg";"ube2ib";"ubiquitin-conjugating enzyme E2Ib [Source:ZFIN;Acc:ZDB-GENE-990614-17]"
"ENSDARG00000008384";"ENSDARG00000008384";"14 x 15";"72hpf_pos_tbx5.1";"hdac6";"histone deacetylase 6 [Source:ZFIN;Acc:ZDB-GENE-030131-3232]"
"ENSDARG00000009094";"ENSDARG00000009094";"17 x 29";"72hpf_neg_hand2";"gata2b";"GATA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-440]"
"ENSDARG00000010244";"ENSDARG00000010244";"27 x 6";"48hpf_pos";"rpl22l1";"ribosomal protein L22-like 1 [Source:ZFIN;Acc:ZDB-GENE-060804-3]"
"ENSDARG00000010487";"ENSDARG00000010487";"36 x 36";"24hpf_neg";"sae1";"SUMO1 activating enzyme subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040625-21]"
"ENSDARG00000012078";"ENSDARG00000012078";"12 x 40";"72hpf_neg_hand2";"meis1b";"Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]"
"ENSDARG00000016484";"ENSDARG00000016484";"36 x 4";"24hpf_pos";"dkc1";"dyskeratosis congenita 1, dyskerin [Source:ZFIN;Acc:ZDB-GENE-031118-120]"
"ENSDARG00000017266";"ENSDARG00000017266";"5 x 33";"72hpf_neg_tbx5";"scml4";"sex comb on midleg-like 4 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-041210-338]"
"ENSDARG00000017397";"ENSDARG00000017397";"29 x 40";"24hpf_neg";"smarcc1a";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1a [Source:ZFIN;Acc:ZDB-GENE-080514-3]"
"ENSDARG00000019004";"ENSDARG00000019004";"22 x 39";"48hpf_neg";"smarcd1";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1835]"
"ENSDARG00000019930";"ENSDARG00000019930";"40 x 40";"24hpf_pos.1";"tal1";"T-cell acute lymphocytic leukemia 1 [Source:ZFIN;Acc:ZDB-GENE-980526-501]"
"ENSDARG00000028119";"ENSDARG00000028119";"21 x 39";"24hpf_neg";"sumo3a";"small ubiquitin-like modifier 3a [Source:ZFIN;Acc:ZDB-GENE-040426-2133]"
"ENSDARG00000034178";"ENSDARG00000034178";"35 x 33";"24hpf_neg";"cpsf1";"cleavage and polyadenylation specific factor 1 [Source:ZFIN;Acc:ZDB-GENE-040709-2]"
"ENSDARG00000036074";"ENSDARG00000036074";"10 x 9";"72hpf_pos_hand2.1";"cebpa";"CCAAT/enhancer binding protein (C/EBP), alpha [Source:ZFIN;Acc:ZDB-GENE-020111-2]"
"ENSDARG00000039347";"ENSDARG00000039347";"19 x 7";"72hpf_pos_gata5.1";"rps24";"ribosomal protein S24 [Source:ZFIN;Acc:ZDB-GENE-040109-5]"
"ENSDARG00000042029";"ENSDARG00000042029";"11 x 37";"72hpf_neg_hand2";"mbd3b";"methyl-CpG binding domain protein 3b [Source:ZFIN;Acc:ZDB-GENE-030131-9792]"
