"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000002";"ENSDARG00000000002";"40 x 12";"24hpf_pos.1";"ccdc80";"coiled-coil domain containing 80 [Source:ZFIN;Acc:ZDB-GENE-030616-56]"
"ENSDARG00000000857";"ENSDARG00000000857";"32 x 23";"24hpf_pos";"mapk14a";"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]"
"ENSDARG00000003398";"ENSDARG00000003398";"22 x 36";"24hpf_neg";"rbpja";"recombination signal binding protein for immunoglobulin kappa J region a [Source:ZFIN;Acc:ZDB-GENE-031117-1]"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000005355";"ENSDARG00000005355";"4 x 34";"72hpf_pos_gata5";"larp6";"La ribonucleoprotein domain family, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-6403]"
"ENSDARG00000006353";"ENSDARG00000006353";"40 x 8";"24hpf_pos";"itga5";"integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:ZFIN;Acc:ZDB-GENE-031116-52]"
"ENSDARG00000006524";"ENSDARG00000006524";"25 x 34";"24hpf_neg";"supt6h";"SPT6 homolog, histone chaperone [Source:ZFIN;Acc:ZDB-GENE-030131-7949]"
"ENSDARG00000006526";"ENSDARG00000006526";"1 x 10";"72hpf_neg_gata5";"fn1b";"fibronectin 1b [Source:ZFIN;Acc:ZDB-GENE-030131-6545]"
"ENSDARG00000007329";"ENSDARG00000007329";"31 x 24";"24hpf_neg";"tbx16";"T-box 16 [Source:ZFIN;Acc:ZDB-GENE-990615-5]"
"ENSDARG00000008279";"ENSDARG00000008279";"13 x 27";"72hpf_neg_hand2";"map2k7";"mitogen-activated protein kinase kinase 7 [Source:ZFIN;Acc:ZDB-GENE-090312-186]"
"ENSDARG00000008867";"ENSDARG00000008867";"11 x 4";"72hpf_pos";"rap1b";"RAP1B, member of RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030131-9662]"
"ENSDARG00000008947";"ENSDARG00000008947";"27 x 36";"24hpf_neg";"";"RTF1 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-6778]"
"ENSDARG00000009170";"ENSDARG00000009170";"32 x 13";"24hpf_neg";"ctr9";"CTR9 homolog, Paf1/RNA polymerase II complex component [Source:ZFIN;Acc:ZDB-GENE-030131-3782]"
"ENSDARG00000011665";"ENSDARG00000011665";"15 x 5";"48hpf_pos";"aldoaa";"aldolase a, fructose-bisphosphate, a [Source:ZFIN;Acc:ZDB-GENE-030131-8369]"
"ENSDARG00000011785";"ENSDARG00000011785";"40 x 30";"24hpf_neg";"tbx6";"T-box 6 [Source:ZFIN;Acc:ZDB-GENE-020416-5]"
"ENSDARG00000013576";"ENSDARG00000013576";"3 x 3";"72hpf_pos";"gadd45bb";"growth arrest and DNA-damage-inducible, beta b [Source:ZFIN;Acc:ZDB-GENE-050223-1]"
"ENSDARG00000014722";"ENSDARG00000014722";"30 x 24";"24hpf_neg";"her1";"hairy-related 1 [Source:ZFIN;Acc:ZDB-GENE-980526-125]"
"ENSDARG00000016350";"ENSDARG00000016350";"6 x 12";"72hpf_pos_hand2.1";"cap1";"CAP, adenylate cyclase-associated protein 1 (yeast) [Source:ZFIN;Acc:ZDB-GENE-030131-6459]"
"ENSDARG00000017917";"ENSDARG00000017917";"15 x 20";"72hpf_pos_gata5";"her7";"hairy and enhancer of split related-7 [Source:ZFIN;Acc:ZDB-GENE-000427-6]"
"ENSDARG00000018643";"ENSDARG00000018643";"5 x 29";"72hpf_neg";"igf2a";"insulin-like growth factor 2a [Source:ZFIN;Acc:ZDB-GENE-991111-3]"
"ENSDARG00000019335";"ENSDARG00000019335";"19 x 40";"24hpf_neg";"hes6";"hes family bHLH transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-030828-5]"
"ENSDARG00000019815";"ENSDARG00000019815";"34 x 40";"72hpf_neg";"fn1a";"fibronectin 1a [Source:ZFIN;Acc:ZDB-GENE-000426-1]"
"ENSDARG00000020164";"ENSDARG00000020164";"36 x 40";"24hpf_pos.1";"efnb2a";"ephrin-B2a [Source:ZFIN;Acc:ZDB-GENE-990415-67]"
"ENSDARG00000022968";"ENSDARG00000022968";"28 x 14";"72hpf_pos_tbx5";"fxr1";"fragile X mental retardation, autosomal homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5431]"
"ENSDARG00000023236";"ENSDARG00000023236";"12 x 29";"72hpf_neg_tbx5";"kcnh1b";"potassium voltage-gated channel, subfamily H (eag-related), member 1b [Source:ZFIN;Acc:ZDB-GENE-121128-4]"
"ENSDARG00000024167";"ENSDARG00000024167";"15 x 34";"72hpf_neg_gata5";"kcnh1a";"potassium voltage-gated channel, subfamily H (eag-related), member 1a [Source:ZFIN;Acc:ZDB-GENE-061226-1]"
"ENSDARG00000025641";"ENSDARG00000025641";"17 x 40";"24hpf_neg";"gli2a";"GLI family zinc finger 2a [Source:ZFIN;Acc:ZDB-GENE-990706-8]"
"ENSDARG00000026766";"ENSDARG00000026766";"40 x 10";"24hpf_pos.1";"bcl2l10";"BCL2-like 10 (apoptosis facilitator) [Source:ZFIN;Acc:ZDB-GENE-030825-2]"
"ENSDARG00000027397";"ENSDARG00000027397";"27 x 40";"48hpf_neg";"vangl2";"VANGL planar cell polarity protein 2 [Source:ZFIN;Acc:ZDB-GENE-020507-3]"
"ENSDARG00000027744";"ENSDARG00000027744";"8 x 8";"72hpf_pos_hand2";"gadd45ba";"growth arrest and DNA-damage-inducible, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1971]"
"ENSDARG00000027825";"ENSDARG00000027825";"30 x 8";"72hpf_pos";"naa50";"N(alpha)-acetyltransferase 50, NatE catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040801-142]"
"ENSDARG00000031756";"ENSDARG00000031756";"15 x 7";"48hpf_pos.1";"mef2aa";"myocyte enhancer factor 2aa [Source:ZFIN;Acc:ZDB-GENE-990415-163]"
"ENSDARG00000031809";"ENSDARG00000031809";"32 x 23";"24hpf_pos";"rbm24b";"RNA binding motif protein 24b [Source:ZFIN;Acc:ZDB-GENE-060312-43]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000032963";"ENSDARG00000032963";"36 x 36";"48hpf_neg";"her12";"hairy-related 12 [Source:ZFIN;Acc:ZDB-GENE-040824-5]"
"ENSDARG00000033307";"ENSDARG00000033307";"3 x 22";"72hpf_pos.1";"igf2b";"insulin-like growth factor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2935]"
"ENSDARG00000035095";"ENSDARG00000035095";"40 x 6";"24hpf_pos.1";"tdgf1";"teratocarcinoma-derived growth factor 1 [Source:ZFIN;Acc:ZDB-GENE-990415-198]"
"ENSDARG00000036292";"ENSDARG00000036292";"35 x 19";"24hpf_neg";"cdx4";"caudal type homeobox 4 [Source:ZFIN;Acc:ZDB-GENE-980526-330]"
"ENSDARG00000036987";"ENSDARG00000036987";"34 x 36";"24hpf_pos";"has2";"hyaluronan synthase 2 [Source:ZFIN;Acc:ZDB-GENE-020828-1]"
"ENSDARG00000038428";"ENSDARG00000038428";"11 x 40";"72hpf_neg_gata5";"sulf1";"sulfatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9242]"
"ENSDARG00000039373";"ENSDARG00000039373";"11 x 40";"48hpf_neg";"epha3";"eph receptor A3 [Source:ZFIN;Acc:ZDB-GENE-010724-10]"
"ENSDARG00000052091";"ENSDARG00000052091";"13 x 14";"72hpf_pos_tbx5";"";"recombination signal binding protein for immunoglobulin kappa J region b [Source:ZFIN;Acc:ZDB-GENE-070319-1]"
"ENSDARG00000053493";"ENSDARG00000053493";"4 x 29";"72hpf_neg_hand2";"aldh1a2";"aldehyde dehydrogenase 1 family, member A2 [Source:ZFIN;Acc:ZDB-GENE-011010-3]"
"ENSDARG00000053586";"ENSDARG00000053586";"14 x 35";"48hpf_neg";"creb1a";"cAMP responsive element binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-040426-750]"
"ENSDARG00000054562";"ENSDARG00000054562";"19 x 40";"48hpf_neg";"LOC100534909";"hairy and enhancer of split-related 15, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030707-2]"
"ENSDARG00000056322";"ENSDARG00000056322";"11 x 1";"72hpf_pos_hand2";"ldb3a";"LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]"
"ENSDARG00000058822";"ENSDARG00000058822";"19 x 40";"24hpf_neg";"wnt3a";"wingless-type MMTV integration site family, member 3A [Source:ZFIN;Acc:ZDB-GENE-001106-1]"
"ENSDARG00000062248";"ENSDARG00000062248";"25 x 5";"72hpf_pos_tbx5";"ptpn21";"protein tyrosine phosphatase, non-receptor type 21 [Source:ZFIN;Acc:ZDB-GENE-080102-4]"
"ENSDARG00000062338";"ENSDARG00000062338";"14 x 7";"72hpf_pos_tbx5.1";"zeb2a";"zinc finger E-box binding homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-070912-553]"
"ENSDARG00000068567";"ENSDARG00000068567";"1 x 30";"72hpf_neg_gata5";"shha";"sonic hedgehog a [Source:ZFIN;Acc:ZDB-GENE-980526-166]"
"ENSDARG00000070013";"ENSDARG00000070013";"40 x 33";"24hpf_pos.1";"dmrt2b";"doublesex and mab-3 related transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-080813-1]"
"ENSDARG00000070535";"ENSDARG00000070535";"21 x 18";"72hpf_pos_tbx5.1";"ripply2";"ripply transcriptional repressor 2 [Source:ZFIN;Acc:ZDB-GENE-060113-2]"
"ENSDARG00000070546";"ENSDARG00000070546";"27 x 23";"24hpf_neg";"msgn1";"mesogenin 1 [Source:ZFIN;Acc:ZDB-GENE-030722-1]"
"ENSDARG00000075211";"ENSDARG00000075211";"32 x 40";"24hpf_neg";"chd7";"chromodomain helicase DNA binding protein 7 [Source:ZFIN;Acc:ZDB-GENE-070912-179]"
"ENSDARG00000078416";"ENSDARG00000078416";"10 x 40";"72hpf_neg_tbx5";"zeb2b";"zinc finger E-box binding homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-080717-1]"
"ENSDARG00000088590";"ENSDARG00000088590";"27 x 27";"72hpf_neg";"pxna";"paxillin a [Source:ZFIN;Acc:ZDB-GENE-040105-1]"
"ENSDARG00000089042";"ENSDARG00000089042";"9 x 40";"24hpf_neg";"foxb1a";"forkhead box B1a [Source:ZFIN;Acc:ZDB-GENE-990616-47]"
"ENSDARG00000091481";"ENSDARG00000091481";"34 x 40";"72hpf_neg_hand2";"foxc1a";"forkhead box C1a [Source:ZFIN;Acc:ZDB-GENE-010302-1]"
"ENSDARG00000101576";"ENSDARG00000101576";"17 x 16";"24hpf_neg";"ta";"T, brachyury homolog a [Source:ZFIN;Acc:ZDB-GENE-980526-437]"
"ENSDARG00000102184";"ENSDARG00000102184";"20 x 36";"48hpf_neg";"";"mindbomb E3 ubiquitin protein ligase 1 [Source:ZFIN;Acc:ZDB-GENE-030404-2]"
"ENSDARG00000102320";"ENSDARG00000102320";"13 x 1";"72hpf_pos";"mob1a";"MOB kinase activator 1A [Source:ZFIN;Acc:ZDB-GENE-030131-6506]"
"ENSDARG00000102824";"ENSDARG00000102824";"13 x 40";"72hpf_neg_gata5";"pcdh10b";"protocadherin 10b [Source:ZFIN;Acc:ZDB-GENE-030721-4]"
"ENSDARG00000102855";"ENSDARG00000102855";"32 x 40";"72hpf_neg_hand2";"neo1a";"neogenin 1a [Source:ZFIN;Acc:ZDB-GENE-021031-1]"
"ENSDARG00000102995";"ENSDARG00000102995";"40 x 7";"24hpf_pos.1";"rbm24a";"RNA binding motif protein 24a [Source:ZFIN;Acc:ZDB-GENE-040628-1]"
"ENSDARG00000103747";"ENSDARG00000103747";"14 x 3";"72hpf_pos_gata5.1";"cav1";"caveolin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2415]"
