"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000003553";"ENSDARG00000003553";"25 x 20";"72hpf_pos_tbx5";"gnrhr2";"gonadotropin releasing hormone receptor 2 [Source:ZFIN;Acc:ZDB-GENE-090128-3]"
"ENSDARG00000006029";"ENSDARG00000006029";"40 x 3";"24hpf_pos";"lta4h";"leukotriene A4 hydrolase [Source:ZFIN;Acc:ZDB-GENE-040426-2477]"
"ENSDARG00000006894";"ENSDARG00000006894";"15 x 30";"72hpf_neg_tbx5";"oprk1";"opioid receptor, kappa 1 [Source:ZFIN;Acc:ZDB-GENE-030729-1]"
"ENSDARG00000007436";"ENSDARG00000007436";"4 x 29";"72hpf_pos";"avpr2aa";"arginine vasopressin receptor 2a, duplicate a [Source:ZFIN;Acc:ZDB-GENE-090313-344]"
"ENSDARG00000007813";"ENSDARG00000007813";"39 x 6";"24hpf_pos";"rnpepl1";"arginyl aminopeptidase like 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5522]"
"ENSDARG00000010712";"ENSDARG00000010712";"14 x 18";"72hpf_pos_gata5";"npffr1l3";"neuropeptide FF receptor 1 like 3 [Source:ZFIN;Acc:ZDB-GENE-070424-44]"
"ENSDARG00000012506";"ENSDARG00000012506";"34 x 8";"72hpf_pos_hand2.1";"rnpep";"arginyl aminopeptidase (aminopeptidase B) [Source:ZFIN;Acc:ZDB-GENE-040718-241]"
"ENSDARG00000013024";"ENSDARG00000013024";"24 x 1";"24hpf_pos.1";"erap1a";"endoplasmic reticulum aminopeptidase 1a [Source:ZFIN;Acc:ZDB-GENE-091113-7]"
"ENSDARG00000021859";"ENSDARG00000021859";"15 x 18";"72hpf_pos_gata5";"erap1b";"endoplasmic reticulum aminopeptidase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-934]"
"ENSDARG00000023722";"ENSDARG00000023722";"14 x 28";"72hpf_neg_tbx5";"hcrtr2";"hypocretin (orexin) receptor 2 [Source:ZFIN;Acc:ZDB-GENE-070228-3]"
"ENSDARG00000029219";"ENSDARG00000029219";"29 x 13";"48hpf_pos.1";"";"arginine vasopressin receptor 2a, duplicate b [Source:ZFIN;Acc:ZDB-GENE-110411-48]"
"ENSDARG00000033635";"ENSDARG00000033635";"31 x 19";"24hpf_pos";"npffr2a";"neuropeptide FF receptor 2 [Source:HGNC Symbol;Acc:HGNC:4525]"
"ENSDARG00000033956";"ENSDARG00000033956";"24 x 18";"72hpf_pos_hand2";"oxtr";"oxytocin receptor [Source:ZFIN;Acc:ZDB-GENE-110805-2]"
"ENSDARG00000036809";"ENSDARG00000036809";"14 x 40";"72hpf_neg";"si:ch211-106j24.1";"si:ch211-106j24.1 [Source:ZFIN;Acc:ZDB-GENE-130530-595]"
"ENSDARG00000037621";"ENSDARG00000037621";"14 x 19";"72hpf_pos_gata5";"";"zmp:0000001069 [Source:ZFIN;Acc:ZDB-GENE-140106-29]"
"ENSDARG00000038116";"ENSDARG00000038116";"22 x 15";"72hpf_neg_tbx5";"gnrhr4";"gonadotropin releasing hormone receptor 4 [Source:ZFIN;Acc:ZDB-GENE-050419-76]"
"ENSDARG00000039349";"ENSDARG00000039349";"20 x 27";"72hpf_neg_gata5";"";"pyroglutamylated RFamide peptide receptor a [Source:ZFIN;Acc:ZDB-GENE-090313-105]"
"ENSDARG00000041083";"ENSDARG00000041083";"14 x 20";"72hpf_pos_hand2.1";"anpepa";"alanyl (membrane) aminopeptidase a [Source:ZFIN;Acc:ZDB-GENE-030131-4781]"
"ENSDARG00000044175";"ENSDARG00000044175";"14 x 18";"72hpf_pos_gata5";"oxtrl";"oxytocin receptor like [Source:ZFIN;Acc:ZDB-GENE-110805-1]"
"ENSDARG00000044943";"ENSDARG00000044943";"26 x 31";"72hpf_neg_gata5";"npepps";"aminopeptidase puromycin sensitive [Source:ZFIN;Acc:ZDB-GENE-060524-3]"
"ENSDARG00000045788";"ENSDARG00000045788";"39 x 8";"24hpf_pos.1";"avpr1ab";"arginine vasopressin receptor 1Ab [Source:ZFIN;Acc:ZDB-GENE-041210-105]"
"ENSDARG00000052089";"ENSDARG00000052089";"31 x 25";"72hpf_pos_gata5";"cckar";"cholecystokinin A receptor [Source:HGNC Symbol;Acc:HGNC:1570]"
"ENSDARG00000052736";"ENSDARG00000052736";"16 x 27";"72hpf_neg_hand2";"";""
