"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004130";"ENSDARG00000004130";"40 x 19";"24hpf_pos.1";"mvk";"mevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-041114-37]"
"ENSDARG00000006137";"ENSDARG00000006137";"5 x 26";"72hpf_neg_gata5";"star";"steroidogenic acute regulatory protein [Source:ZFIN;Acc:ZDB-GENE-001120-3]"
"ENSDARG00000010658";"ENSDARG00000010658";"1 x 22";"72hpf_neg_gata5";"insig1";"insulin induced gene 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6121]"
"ENSDARG00000012076";"ENSDARG00000012076";"1 x 3";"72hpf_pos_tbx5.1";"apoa1a";"apolipoprotein A-Ia [Source:ZFIN;Acc:ZDB-GENE-990415-14]"
"ENSDARG00000018096";"ENSDARG00000018096";"36 x 25";"48hpf_neg";"scap";"SREBF chaperone [Source:ZFIN;Acc:ZDB-GENE-040107-41]"
"ENSDARG00000021991";"ENSDARG00000021991";"12 x 20";"72hpf_pos.1";"erlin1";"ER lipid raft associated 1 [Source:ZFIN;Acc:ZDB-GENE-050327-13]"
"ENSDARG00000037203";"ENSDARG00000037203";"35 x 12";"24hpf_pos.1";"insig2";"insulin induced gene 2 [Source:ZFIN;Acc:ZDB-GENE-040202-1]"
"ENSDARG00000038728";"ENSDARG00000038728";"39 x 33";"24hpf_pos";"ch25hl2";"cholesterol 25-hydroxylase like 2 [Source:ZFIN;Acc:ZDB-GENE-080204-82]"
"ENSDARG00000039381";"ENSDARG00000039381";"7 x 17";"72hpf_pos_gata5";"ch25hl1.1";"cholesterol 25-hydroxylase like 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8617]"
"ENSDARG00000042641";"ENSDARG00000042641";"1 x 23";"72hpf_pos_gata5";"cyp51";"cytochrome P450, family 51 [Source:ZFIN;Acc:ZDB-GENE-040625-2]"
"ENSDARG00000045190";"ENSDARG00000045190";"8 x 8";"72hpf_pos_hand2.1";"ch25h";"cholesterol 25-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-041212-81]"
"ENSDARG00000059824";"ENSDARG00000059824";"34 x 13";"24hpf_pos.1";"soat2";"sterol O-acyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-061013-742]"
"ENSDARG00000062297";"ENSDARG00000062297";"34 x 6";"24hpf_pos.1";"soat1";"sterol O-acyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-081105-177]"
"ENSDARG00000063037";"ENSDARG00000063037";"6 x 3";"72hpf_pos_gata5.1";"lipea";"lipase, hormone-sensitive a [Source:ZFIN;Acc:ZDB-GENE-060503-734]"
"ENSDARG00000063319";"ENSDARG00000063319";"5 x 5";"72hpf_pos.1";"";"si:ch73-216m24.3 [Source:ZFIN;Acc:ZDB-GENE-100921-70]"
"ENSDARG00000079946";"ENSDARG00000079946";"17 x 32";"72hpf_neg_gata5";"sqlea";"squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]"
"ENSDARG00000086523";"ENSDARG00000086523";"35 x 23";"24hpf_pos";"erlin2";"ER lipid raft associated 2 [Source:NCBI gene;Acc:100151163]"
"ENSDARG00000090912";"ENSDARG00000090912";"5 x 5";"72hpf_pos_tbx5.1";"npc2";"Niemann-Pick disease, type C2 [Source:ZFIN;Acc:ZDB-GENE-021206-13]"
"ENSDARG00000093818";"ENSDARG00000093818";"25 x 27";"72hpf_neg";"LOC100005337";"cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907]"
"ENSDARG00000099336";"ENSDARG00000099336";"35 x 18";"24hpf_pos.1";"mvda";"mevalonate (diphospho) decarboxylase a [Source:ZFIN;Acc:ZDB-GENE-041114-127]"
"ENSDARG00000101145";"ENSDARG00000101145";"4 x 2";"72hpf_pos_gata5.1";"lipeb";"lipase, hormone-sensitive b [Source:ZFIN;Acc:ZDB-GENE-100921-71]"
