"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000018";"ENSDARG00000000018";"21 x 37";"48hpf_neg";"nrf1";"nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]"
"ENSDARG00000000151";"ENSDARG00000000151";"13 x 11";"72hpf_pos_tbx5.1";"thraa";"thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]"
"ENSDARG00000000175";"ENSDARG00000000175";"17 x 39";"72hpf_neg_gata5";"hoxb2a";"homeobox B2a [Source:ZFIN;Acc:ZDB-GENE-990415-103]"
"ENSDARG00000000542";"ENSDARG00000000542";"33 x 12";"72hpf_pos";"gtf2e1";"general transcription factor IIE, polypeptide 1, alpha [Source:ZFIN;Acc:ZDB-GENE-041210-221]"
"ENSDARG00000000760";"ENSDARG00000000760";"30 x 7";"72hpf_pos_gata5.1";"znf511";"zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621]"
"ENSDARG00000000767";"ENSDARG00000000767";"9 x 1";"24hpf_pos.1";"spi1b";"Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]"
"ENSDARG00000000796";"ENSDARG00000000796";"8 x 1";"72hpf_pos_hand2";"nr4a1";"nuclear receptor subfamily 4, group A, member 1 [Source:ZFIN;Acc:ZDB-GENE-040704-11]"
"ENSDARG00000000857";"ENSDARG00000000857";"32 x 23";"24hpf_pos";"mapk14a";"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]"
"ENSDARG00000001241";"ENSDARG00000001241";"34 x 27";"24hpf_pos";"puf60b";"poly-U binding splicing factor b [Source:ZFIN;Acc:ZDB-GENE-040625-116]"
"ENSDARG00000001621";"ENSDARG00000001621";"40 x 23";"72hpf_pos_gata5.1";"nfyal";"nuclear transcription factor Y, alpha, like [Source:ZFIN;Acc:ZDB-GENE-040718-491]"
"ENSDARG00000001785";"ENSDARG00000001785";"11 x 37";"72hpf_neg_hand2";"irx2a";"iroquois homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1446]"
"ENSDARG00000001859";"ENSDARG00000001859";"20 x 40";"24hpf_neg";"dbx1b";"developing brain homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-000128-11]"
"ENSDARG00000001910";"ENSDARG00000001910";"1 x 9";"72hpf_pos_gata5.1";"rorab";"RAR-related orphan receptor A, paralog b [Source:ZFIN;Acc:ZDB-GENE-040426-855]"
"ENSDARG00000002006";"ENSDARG00000002006";"3 x 19";"72hpf_pos_gata5.1";"rxrbb";"retinoid x receptor, beta b [Source:ZFIN;Acc:ZDB-GENE-990415-242]"
"ENSDARG00000002060";"ENSDARG00000002060";"38 x 30";"24hpf_pos.1";"brf2";"BRF2, RNA polymerase III transcription initiation factor [Source:ZFIN;Acc:ZDB-GENE-040801-43]"
"ENSDARG00000002196";"ENSDARG00000002196";"12 x 6";"72hpf_pos_tbx5";"bach1b";"BTB and CNC homology 1, basic leucine zipper transcription factor 1 b [Source:ZFIN;Acc:ZDB-GENE-050522-220]"
"ENSDARG00000002216";"ENSDARG00000002216";"15 x 40";"72hpf_neg";"tbx3a";"T-box 3a [Source:ZFIN;Acc:ZDB-GENE-070209-80]"
"ENSDARG00000002330";"ENSDARG00000002330";"6 x 30";"72hpf_neg";"lhx8a";"LIM homeobox 8a [Source:ZFIN;Acc:ZDB-GENE-031008-2]"
"ENSDARG00000002510";"ENSDARG00000002510";"19 x 40";"24hpf_neg";"dmbx1b";"diencephalon/mesencephalon homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-050417-97]"
"ENSDARG00000002582";"ENSDARG00000002582";"32 x 40";"72hpf_neg_gata5";"tbx15";"T-box 15 [Source:ZFIN;Acc:ZDB-GENE-020529-1]"
"ENSDARG00000002591";"ENSDARG00000002591";"35 x 25";"48hpf_neg";"ruvbl1";"RuvB-like AAA ATPase 1 [Source:ZFIN;Acc:ZDB-GENE-030109-2]"
"ENSDARG00000002601";"ENSDARG00000002601";"17 x 40";"24hpf_neg";"irx7";"iroquois homeobox 7 [Source:ZFIN;Acc:ZDB-GENE-020103-1]"
"ENSDARG00000002750";"ENSDARG00000002750";"11 x 30";"48hpf_neg";"phf20a";"PHD finger protein 20, a [Source:ZFIN;Acc:ZDB-GENE-070912-270]"
"ENSDARG00000002779";"ENSDARG00000002779";"8 x 20";"72hpf_pos.1";"pdx1";"pancreatic and duodenal homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-990415-122]"
"ENSDARG00000002787";"ENSDARG00000002787";"17 x 38";"24hpf_neg";"tle3a";"transducin-like enhancer of split 3a [Source:ZFIN;Acc:ZDB-GENE-990415-86]"
"ENSDARG00000002795";"ENSDARG00000002795";"39 x 40";"24hpf_neg";"meis3";"myeloid ecotropic viral integration site 3 [Source:ZFIN;Acc:ZDB-GENE-010406-2]"
"ENSDARG00000002933";"ENSDARG00000002933";"40 x 26";"24hpf_pos";"gbx2";"gastrulation brain homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-020509-2]"
"ENSDARG00000002937";"ENSDARG00000002937";"16 x 40";"72hpf_neg_gata5";"meis1a";"Meis homeobox 1 a [Source:ZFIN;Acc:ZDB-GENE-020122-3]"
"ENSDARG00000003021";"ENSDARG00000003021";"35 x 18";"24hpf_pos.1";"hdac8";"histone deacetylase 8 [Source:ZFIN;Acc:ZDB-GENE-040426-2772]"
"ENSDARG00000003142";"ENSDARG00000003142";"40 x 24";"48hpf_neg";"dachc";"dachshund c [Source:ZFIN;Acc:ZDB-GENE-020402-5]"
"ENSDARG00000003165";"ENSDARG00000003165";"31 x 5";"24hpf_neg";"nr2f6b";"nuclear receptor subfamily 2, group F, member 6b [Source:ZFIN;Acc:ZDB-GENE-040426-2351]"
"ENSDARG00000003200";"ENSDARG00000003200";"37 x 28";"24hpf_neg";"foxm1";"forkhead box M1 [Source:ZFIN;Acc:ZDB-GENE-040426-1275]"
"ENSDARG00000003207";"ENSDARG00000003207";"30 x 31";"24hpf_pos";"mterf3";"mitochondrial transcription termination factor 3 [Source:ZFIN;Acc:ZDB-GENE-040718-359]"
"ENSDARG00000003293";"ENSDARG00000003293";"3 x 32";"72hpf_neg_gata5";"sox9a";"SRY (sex determining region Y)-box 9a [Source:ZFIN;Acc:ZDB-GENE-001103-1]"
