"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000189";"ENSDARG00000000189";"1 x 20";"72hpf_neg_gata5";"sema6e";"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]"
"ENSDARG00000007560";"ENSDARG00000007560";"14 x 40";"72hpf_neg";"sema3bl";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3bl [Source:ZFIN;Acc:ZDB-GENE-030131-2956]"
"ENSDARG00000011163";"ENSDARG00000011163";"10 x 39";"72hpf_neg_hand2";"sema3fa";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fa [Source:ZFIN;Acc:ZDB-GENE-050513-1]"
"ENSDARG00000011672";"ENSDARG00000011672";"9 x 40";"72hpf_neg_gata5";"sema3b";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:ZFIN;Acc:ZDB-GENE-081105-78]"
"ENSDARG00000024775";"ENSDARG00000024775";"16 x 17";"72hpf_pos_gata5";"si:ch211-129c21.1";"si:ch211-129c21.1 [Source:ZFIN;Acc:ZDB-GENE-030131-5796]"
"ENSDARG00000036571";"ENSDARG00000036571";"33 x 40";"72hpf_neg";"sema3e";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E [Source:ZFIN;Acc:ZDB-GENE-030131-7864]"
"ENSDARG00000040920";"ENSDARG00000040920";"33 x 37";"72hpf_neg";"si:dkey-49n23.1";"si:dkey-49n23.1 [Source:ZFIN;Acc:ZDB-GENE-050208-762]"
"ENSDARG00000042545";"ENSDARG00000042545";"33 x 34";"24hpf_pos.1";"sema3ga";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Ga [Source:ZFIN;Acc:ZDB-GENE-050513-3]"
"ENSDARG00000042616";"ENSDARG00000042616";"15 x 35";"72hpf_neg_gata5";"sema3h";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3H [Source:ZFIN;Acc:ZDB-GENE-990715-8]"
"ENSDARG00000055373";"ENSDARG00000055373";"32 x 36";"24hpf_pos.1";"sema3fb";"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3Fb [Source:ZFIN;Acc:ZDB-GENE-050513-2]"
