"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000007344";"ENSDARG00000007344";"14 x 8";"72hpf_pos_hand2";"tcap";"titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]"
"ENSDARG00000007891";"ENSDARG00000007891";"34 x 40";"24hpf_neg";"meox1";"mesenchyme homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-040718-149]"
"ENSDARG00000025131";"ENSDARG00000025131";"40 x 25";"72hpf_neg_gata5";"lbx2";"ladybird homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-001206-2]"
"ENSDARG00000029907";"ENSDARG00000029907";"23 x 19";"72hpf_pos_hand2";"trim54";"tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]"
"ENSDARG00000038107";"ENSDARG00000038107";"1 x 1";"72hpf_pos_gata5.1";"sgcg";"sarcoglycan, gamma [Source:ZFIN;Acc:ZDB-GENE-030724-2]"
"ENSDARG00000055678";"ENSDARG00000055678";"34 x 40";"24hpf_pos";"akap12b";"A kinase (PRKA) anchor protein 12b [Source:ZFIN;Acc:ZDB-GENE-030131-9753]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000076075";"ENSDARG00000076075";"10 x 1";"72hpf_pos_hand2";"";"myosin, heavy chain 7B, cardiac muscle, beta a [Source:ZFIN;Acc:ZDB-GENE-100914-2]"
"ENSDARG00000101431";"ENSDARG00000101431";"39 x 25";"72hpf_pos_tbx5.1";"gas8";"growth arrest-specific 8 [Source:ZFIN;Acc:ZDB-GENE-030131-1980]"
"ENSDARG00000104094";"ENSDARG00000104094";"15 x 31";"72hpf_neg_tbx5";"adrbk2";"adrenergic, beta, receptor kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-382]"
