"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002826";"ENSDARG00000002826";"37 x 37";"24hpf_pos.1";"cep57l1";"centrosomal protein 57, like 1 [Source:ZFIN;Acc:ZDB-GENE-040808-27]"
"ENSDARG00000003446";"ENSDARG00000003446";"13 x 13";"24hpf_neg";"ippk";"inositol 1,3,4,5,6-pentakisphosphate 2-kinase [Source:ZFIN;Acc:ZDB-GENE-050327-41]"
"ENSDARG00000004131";"ENSDARG00000004131";"38 x 36";"24hpf_pos.1";"rttn";"rotatin [Source:ZFIN;Acc:ZDB-GENE-090609-5]"
"ENSDARG00000004405";"ENSDARG00000004405";"17 x 12";"72hpf_pos";"snx10a";"sorting nexin 10a [Source:ZFIN;Acc:ZDB-GENE-050809-44]"
"ENSDARG00000005374";"ENSDARG00000005374";"34 x 13";"24hpf_pos.1";"tubgcp4";"tubulin, gamma complex associated protein 4 [Source:ZFIN;Acc:ZDB-GENE-081022-124]"
"ENSDARG00000005456";"ENSDARG00000005456";"6 x 14";"72hpf_pos_gata5.1";"katnb1";"katanin p80 (WD repeat containing) subunit B 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1954]"
"ENSDARG00000007444";"ENSDARG00000007444";"38 x 23";"24hpf_pos";"ift81";"intraflagellar transport 81 homolog [Source:ZFIN;Acc:ZDB-GENE-040714-3]"
"ENSDARG00000008727";"ENSDARG00000008727";"32 x 33";"24hpf_pos.1";"ranbp3a";"RAN binding protein 3a [Source:ZFIN;Acc:ZDB-GENE-040426-1132]"
"ENSDARG00000011222";"ENSDARG00000011222";"26 x 39";"48hpf_neg";"ccdc28b";"coiled-coil domain containing 28B [Source:ZFIN;Acc:ZDB-GENE-060208-3]"
"ENSDARG00000012040";"ENSDARG00000012040";"12 x 16";"72hpf_pos_tbx5";"rnf19a";"ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030131-9414]"
"ENSDARG00000013079";"ENSDARG00000013079";"32 x 22";"24hpf_pos";"tubgcp2";"tubulin, gamma complex associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-031118-150]"
"ENSDARG00000013472";"ENSDARG00000013472";"34 x 3";"24hpf_pos";"nedd1";"neural precursor cell expressed, developmentally down-regulated 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2906]"
"ENSDARG00000013858";"ENSDARG00000013858";"27 x 17";"72hpf_pos_hand2.1";"cdc14aa";"cell division cycle 14Aa [Source:ZFIN;Acc:ZDB-GENE-040426-1214]"
"ENSDARG00000014817";"ENSDARG00000014817";"33 x 5";"24hpf_pos";"ranbp1";"RAN binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2548]"
"ENSDARG00000016163";"ENSDARG00000016163";"16 x 30";"72hpf_neg_gata5";"usp33";"ubiquitin specific peptidase 33 [Source:ZFIN;Acc:ZDB-GENE-040426-2323]"
"ENSDARG00000016490";"ENSDARG00000016490";"34 x 40";"24hpf_pos.1";"";"RAB11 family interacting protein 3 (class II) [Source:ZFIN;Acc:ZDB-GENE-040724-138]"
"ENSDARG00000017385";"ENSDARG00000017385";"37 x 11";"24hpf_pos.1";"b9d2";"B9 protein domain 2 [Source:ZFIN;Acc:ZDB-GENE-040718-90]"
"ENSDARG00000020777";"ENSDARG00000020777";"7 x 29";"72hpf_neg_gata5";"cep85l";"centrosomal protein 85, like [Source:ZFIN;Acc:ZDB-GENE-041014-309]"
"ENSDARG00000021022";"ENSDARG00000021022";"40 x 22";"72hpf_pos_gata5.1";"ift57";"intraflagellar transport 57 homolog (Chlamydomonas) [Source:ZFIN;Acc:ZDB-GENE-040614-1]"
"ENSDARG00000023002";"ENSDARG00000023002";"39 x 35";"24hpf_neg";"dtl";"denticleless E3 ubiquitin protein ligase homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-020419-34]"
"ENSDARG00000023495";"ENSDARG00000023495";"32 x 29";"24hpf_pos.1";"ift74";"intraflagellar transport 74 [Source:ZFIN;Acc:ZDB-GENE-040718-81]"
"ENSDARG00000024818";"ENSDARG00000024818";"22 x 2";"48hpf_pos";"rilpl2";"Rab interacting lysosomal protein-like 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6682]"
"ENSDARG00000029133";"ENSDARG00000029133";"35 x 31";"24hpf_pos.1";"tubgcp3";"tubulin, gamma complex associated protein 3 [Source:ZFIN;Acc:ZDB-GENE-030616-538]"
"ENSDARG00000029406";"ENSDARG00000029406";"22 x 40";"24hpf_neg";"h2afx";"H2A histone family, member X [Source:ZFIN;Acc:ZDB-GENE-040426-987]"
