"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002285";"ENSDARG00000002285";"7 x 4";"72hpf_pos_gata5.1";"mcoln1a";"mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]"
"ENSDARG00000003399";"ENSDARG00000003399";"34 x 25";"24hpf_neg";"fgf8a";"fibroblast growth factor 8a [Source:ZFIN;Acc:ZDB-GENE-990415-72]"
"ENSDARG00000003902";"ENSDARG00000003902";"1 x 4";"72hpf_pos_hand2.1";"ctsl.1";"cathepsin L.1 [Source:ZFIN;Acc:ZDB-GENE-040718-61]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000006169";"ENSDARG00000006169";"26 x 5";"48hpf_pos.1";"lrrk2";"leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]"
"ENSDARG00000006279";"ENSDARG00000006279";"6 x 3";"48hpf_pos";"rragd";"ras-related GTP binding D [Source:ZFIN;Acc:ZDB-GENE-070620-6]"
"ENSDARG00000006332";"ENSDARG00000006332";"8 x 15";"72hpf_pos.1";"snx14";"sorting nexin 14 [Source:ZFIN;Acc:ZDB-GENE-040724-144]"
"ENSDARG00000006915";"ENSDARG00000006915";"11 x 5";"72hpf_pos_gata5";"arl8ba";"ADP-ribosylation factor-like 8Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9370]"
"ENSDARG00000007836";"ENSDARG00000007836";"5 x 4";"72hpf_pos_tbx5";"ctsla";"cathepsin La [Source:ZFIN;Acc:ZDB-GENE-030131-106]"
"ENSDARG00000008832";"ENSDARG00000008832";"14 x 1";"48hpf_pos";"neu1";"neuraminidase 1 [Source:ZFIN;Acc:ZDB-GENE-060503-592]"
"ENSDARG00000009313";"ENSDARG00000009313";"6 x 1";"48hpf_pos";"zgc:63831";"zgc:63831 [Source:ZFIN;Acc:ZDB-GENE-030131-8690]"
"ENSDARG00000010816";"ENSDARG00000010816";"3 x 40";"72hpf_neg_tbx5";"slc7a14a";"solute carrier family 7, member 14a [Source:ZFIN;Acc:ZDB-GENE-070912-112]"
"ENSDARG00000011701";"ENSDARG00000011701";"16 x 23";"48hpf_pos";"ctsll";"cathepsin L, like [Source:ZFIN;Acc:ZDB-GENE-041010-76]"
"ENSDARG00000013628";"ENSDARG00000013628";"5 x 2";"48hpf_pos.1";"cd164";"CD164 molecule, sialomucin [Source:ZFIN;Acc:ZDB-GENE-030131-1598]"
"ENSDARG00000013771";"ENSDARG00000013771";"8 x 1";"72hpf_pos_hand2.1";"ctss2.2";"cathepsin S, ortholog 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050626-55]"
"ENSDARG00000013968";"ENSDARG00000013968";"8 x 6";"72hpf_pos_tbx5";"psap";"prosaposin [Source:ZFIN;Acc:ZDB-GENE-020108-1]"
"ENSDARG00000014914";"ENSDARG00000014914";"13 x 9";"72hpf_pos_tbx5.1";"lamp2";"lysosomal-associated membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-030729-9]"
"ENSDARG00000016474";"ENSDARG00000016474";"9 x 4";"72hpf_pos";"galcb";"galactosylceramidase b [Source:ZFIN;Acc:ZDB-GENE-040426-2115]"
"ENSDARG00000020475";"ENSDARG00000020475";"7 x 30";"72hpf_neg_gata5";"znrf1";"zinc and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1905]"
"ENSDARG00000023766";"ENSDARG00000023766";"2 x 22";"72hpf_pos_gata5.1";"gnsa";"glucosamine (N-acetyl)-6-sulfatase a [Source:ZFIN;Acc:ZDB-GENE-050107-5]"
"ENSDARG00000026109";"ENSDARG00000026109";"18 x 6";"72hpf_pos_hand2.1";"slc48a1b";"solute carrier family 48 (heme transporter), member 1b [Source:ZFIN;Acc:ZDB-GENE-030131-8226]"
"ENSDARG00000026387";"ENSDARG00000026387";"13 x 4";"48hpf_pos";"tmem55bb";"transmembrane protein 55Bb [Source:ZFIN;Acc:ZDB-GENE-121214-195]"
"ENSDARG00000026907";"ENSDARG00000026907";"6 x 10";"72hpf_pos_tbx5.1";"slc48a1a";"solute carrier family 48 (heme transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-040718-121]"
"ENSDARG00000032769";"ENSDARG00000032769";"38 x 4";"24hpf_pos.1";"slc38a9";"solute carrier family 38, member 9 [Source:ZFIN;Acc:ZDB-GENE-061013-597]"
"ENSDARG00000034817";"ENSDARG00000034817";"6 x 5";"72hpf_pos_gata5";"asah1b";"N-acylsphingosine amidohydrolase (acid ceramidase) 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1512]"
"ENSDARG00000035184";"ENSDARG00000035184";"37 x 20";"24hpf_pos.1";"tmem150ab";"transmembrane protein 150Ab [Source:ZFIN;Acc:ZDB-GENE-040426-1576]"
"ENSDARG00000035663";"ENSDARG00000035663";"22 x 1";"72hpf_pos_gata5.1";"zgc:103438";"zgc:103438 [Source:ZFIN;Acc:ZDB-GENE-041010-131]"
"ENSDARG00000035665";"ENSDARG00000035665";"7 x 7";"72hpf_pos";"si:dkey-267n13.1";"si:dkey-267n13.1 [Source:ZFIN;Acc:ZDB-GENE-141211-35]"
"ENSDARG00000036282";"ENSDARG00000036282";"7 x 1";"72hpf_pos_hand2.1";"rnaset2";"ribonuclease T2 [Source:ZFIN;Acc:ZDB-GENE-030131-2513]"
"ENSDARG00000036940";"ENSDARG00000036940";"14 x 18";"72hpf_pos_gata5";"ctss1";"cathepsin S, ortholog 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1583]"
"ENSDARG00000037064";"ENSDARG00000037064";"13 x 1";"72hpf_pos_tbx5";"galca";"galactosylceramidase a [Source:ZFIN;Acc:ZDB-GENE-040724-243]"
"ENSDARG00000037091";"ENSDARG00000037091";"4 x 3";"72hpf_pos_tbx5.1";"asah1a";"N-acylsphingosine amidohydrolase (acid ceramidase) 1a [Source:ZFIN;Acc:ZDB-GENE-041010-191]"
"ENSDARG00000037865";"ENSDARG00000037865";"12 x 8";"72hpf_pos_tbx5";"cln3";"ceroid-lipofuscinosis, neuronal 3 [Source:ZFIN;Acc:ZDB-GENE-041114-174]"
"ENSDARG00000038543";"ENSDARG00000038543";"38 x 19";"24hpf_pos.1";"wdr48b";"WD repeat domain 48b [Source:ZFIN;Acc:ZDB-GENE-030131-6622]"
"ENSDARG00000038615";"ENSDARG00000038615";"28 x 40";"72hpf_neg_tbx5";"tmem55ba";"transmembrane protein 55Ba [Source:ZFIN;Acc:ZDB-GENE-051113-312]"
"ENSDARG00000039173";"ENSDARG00000039173";"34 x 26";"24hpf_neg";"ctslb";"cathepsin Lb [Source:ZFIN;Acc:ZDB-GENE-980526-285]"
"ENSDARG00000039980";"ENSDARG00000039980";"4 x 5";"72hpf_pos_gata5.1";"ppt1";"palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile) [Source:ZFIN;Acc:ZDB-GENE-040426-2653]"
"ENSDARG00000040251";"ENSDARG00000040251";"5 x 9";"72hpf_pos_tbx5";"ctsk";"cathepsin K [Source:ZFIN;Acc:ZDB-GENE-001205-4]"
"ENSDARG00000041108";"ENSDARG00000041108";"8 x 3";"72hpf_pos_hand2.1";"ctsh";"cathepsin H [Source:ZFIN;Acc:ZDB-GENE-030131-3539]"
"ENSDARG00000042753";"ENSDARG00000042753";"1 x 29";"72hpf_pos.1";"cts12";"cathepsin 12 [Source:ZFIN;Acc:ZDB-GENE-050208-336]"
"ENSDARG00000043081";"ENSDARG00000043081";"3 x 4";"72hpf_pos_hand2.1";"ctsz";"cathepsin Z [Source:ZFIN;Acc:ZDB-GENE-041010-139]"
"ENSDARG00000043569";"ENSDARG00000043569";"3 x 2";"48hpf_pos";"";"DNA-damage regulated autophagy modulator 2a [Source:ZFIN;Acc:ZDB-GENE-081104-360]"
"ENSDARG00000044241";"ENSDARG00000044241";"20 x 6";"72hpf_pos_hand2.1";"dram2b";"DNA-damage regulated autophagy modulator 2b [Source:ZFIN;Acc:ZDB-GENE-040625-141]"
"ENSDARG00000045542";"ENSDARG00000045542";"17 x 1";"72hpf_pos_gata5";"lamtor4";"late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7438]"
"ENSDARG00000045561";"ENSDARG00000045561";"12 x 9";"72hpf_pos_hand2";"dram1";"DNA-damage regulated autophagy modulator 1 [Source:ZFIN;Acc:ZDB-GENE-041010-147]"
"ENSDARG00000045790";"ENSDARG00000045790";"32 x 1";"24hpf_pos.1";"si:ch211-125a15.1";"si:ch211-125a15.1 [Source:ZFIN;Acc:ZDB-GENE-041210-104]"
"ENSDARG00000051934";"ENSDARG00000051934";"27 x 5";"72hpf_pos_gata5.1";"kxd1";"KxDL motif containing 1 [Source:ZFIN;Acc:ZDB-GENE-040801-207]"
"ENSDARG00000052855";"ENSDARG00000052855";"16 x 11";"48hpf_pos";"ctso";"cathepsin O [Source:ZFIN;Acc:ZDB-GENE-080724-8]"
"ENSDARG00000055070";"ENSDARG00000055070";"30 x 5";"72hpf_pos_gata5.1";"borcs7";"BLOC-1 related complex subunit 7 [Source:ZFIN;Acc:ZDB-GENE-050913-112]"
"ENSDARG00000055120";"ENSDARG00000055120";"4 x 2";"72hpf_pos_gata5";"ctsba";"cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]"
"ENSDARG00000055504";"ENSDARG00000055504";"7 x 1";"72hpf_pos_hand2.1";"si:ch211-212k18.7";"si:ch211-212k18.7 [Source:ZFIN;Acc:ZDB-GENE-030131-1312]"
"ENSDARG00000056281";"ENSDARG00000056281";"16 x 12";"72hpf_pos";"cyb561a3a";"cytochrome b561 family, member A3a [Source:ZFIN;Acc:ZDB-GENE-060526-374]"
"ENSDARG00000057440";"ENSDARG00000057440";"37 x 15";"24hpf_pos.1";"si:dkey-228d14.5";"si:dkey-228d14.5 [Source:ZFIN;Acc:ZDB-GENE-090313-252]"
"ENSDARG00000057698";"ENSDARG00000057698";"6 x 3";"72hpf_pos_gata5";"ctsd";"cathepsin D [Source:ZFIN;Acc:ZDB-GENE-010131-8]"
"ENSDARG00000058848";"ENSDARG00000058848";"13 x 35";"72hpf_neg_tbx5";"mcoln1b";"mucolipin 1b [Source:ZFIN;Acc:ZDB-GENE-130514-1]"
"ENSDARG00000059354";"ENSDARG00000059354";"7 x 6";"72hpf_pos_gata5.1";"glmp";"glycosylated lysosomal membrane protein [Source:ZFIN;Acc:ZDB-GENE-040912-142]"
"ENSDARG00000061405";"ENSDARG00000061405";"27 x 38";"24hpf_neg";"eva1a";"eva-1 homolog A (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-060929-200]"
"ENSDARG00000061738";"ENSDARG00000061738";"25 x 33";"72hpf_neg";"march2";"membrane-associated ring finger (C3HC4) 2 [Source:ZFIN;Acc:ZDB-GENE-050208-777]"
"ENSDARG00000063095";"ENSDARG00000063095";"5 x 7";"72hpf_pos_gata5.1";"ctsf";"cathepsin F [Source:ZFIN;Acc:ZDB-GENE-030131-9831]"
"ENSDARG00000063126";"ENSDARG00000063126";"39 x 5";"24hpf_pos.1";"gusb";"glucuronidase, beta [Source:ZFIN;Acc:ZDB-GENE-070705-256]"
"ENSDARG00000067566";"ENSDARG00000067566";"18 x 3";"72hpf_pos_hand2.1";"sftpbb";"surfactant protein Bb [Source:ZFIN;Acc:ZDB-GENE-060526-155]"
"ENSDARG00000068227";"ENSDARG00000068227";"6 x 12";"72hpf_pos_gata5";"tmem150aa";"transmembrane protein 150Aa [Source:ZFIN;Acc:ZDB-GENE-060825-321]"
"ENSDARG00000069795";"ENSDARG00000069795";"19 x 34";"72hpf_neg";"zgc:154058";"zgc:154058 [Source:ZFIN;Acc:ZDB-GENE-060929-48]"
"ENSDARG00000069829";"ENSDARG00000069829";"14 x 6";"72hpf_pos_gata5";"rragca";"Ras-related GTP binding Ca [Source:ZFIN;Acc:ZDB-GENE-050522-355]"
"ENSDARG00000070433";"ENSDARG00000070433";"30 x 8";"72hpf_pos.1";"vps18";"vacuolar protein sorting 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-020419-33]"
"ENSDARG00000071339";"ENSDARG00000071339";"28 x 1";"72hpf_pos_gata5";"borcs8";"BLOC-1 related complex subunit 8 [Source:ZFIN;Acc:ZDB-GENE-050208-757]"
"ENSDARG00000074656";"ENSDARG00000074656";"5 x 1";"72hpf_pos_gata5";"ctss2.1";"cathepsin S, ortholog2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050522-559]"
"ENSDARG00000074660";"ENSDARG00000074660";"2 x 13";"72hpf_pos_tbx5.1";"rilp";"Rab interacting lysosomal protein [Source:ZFIN;Acc:ZDB-GENE-100408-4]"
"ENSDARG00000075527";"ENSDARG00000075527";"39 x 29";"24hpf_neg";"si:dkey-269i1.3";"si:dkey-239j18.2 [Source:ZFIN;Acc:ZDB-GENE-121214-52]"
"ENSDARG00000076058";"ENSDARG00000076058";"8 x 4";"72hpf_pos_tbx5.1";"gba";"glucosidase, beta, acid [Source:ZFIN;Acc:ZDB-GENE-100922-270]"
"ENSDARG00000076339";"ENSDARG00000076339";"9 x 3";"72hpf_pos_tbx5.1";"cln5";"ceroid-lipofuscinosis, neuronal 5 [Source:ZFIN;Acc:ZDB-GENE-060908-1]"
"ENSDARG00000076376";"ENSDARG00000076376";"21 x 13";"24hpf_pos.1";"tmem175";"transmembrane protein 175 [Source:ZFIN;Acc:ZDB-GENE-070705-79]"
"ENSDARG00000077664";"ENSDARG00000077664";"6 x 2";"48hpf_pos";"zgc:110239";"zgc:110239 [Source:ZFIN;Acc:ZDB-GENE-050417-107]"
"ENSDARG00000077830";"ENSDARG00000077830";"32 x 8";"72hpf_pos_gata5.1";"borcs5";"BLOC-1 related complex subunit 5 [Source:ZFIN;Acc:ZDB-GENE-041010-83]"
"ENSDARG00000077910";"ENSDARG00000077910";"21 x 18";"72hpf_pos_tbx5.1";"LOC100332358";"si:zfos-1897c11.1 [Source:ZFIN;Acc:ZDB-GENE-160727-5]"
"ENSDARG00000079376";"ENSDARG00000079376";"40 x 28";"24hpf_neg";"zgc:174153";"zgc:174153 [Source:ZFIN;Acc:ZDB-GENE-080215-7]"
"ENSDARG00000087782";"ENSDARG00000087782";"28 x 3";"24hpf_pos.1";"rnf152";"ring finger protein 152 [Source:ZFIN;Acc:ZDB-GENE-050327-84]"
