"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004539";"ENSDARG00000004539";"2 x 27";"72hpf_pos.1";"ptgs2a";"prostaglandin-endoperoxide synthase 2a [Source:ZFIN;Acc:ZDB-GENE-020530-2]"
"ENSDARG00000009624";"ENSDARG00000009624";"16 x 9";"24hpf_pos.1";"uts2r";"urotensin 2 receptor [Source:HGNC Symbol;Acc:HGNC:4468]"
"ENSDARG00000010276";"ENSDARG00000010276";"10 x 12";"72hpf_pos_gata5";"ptgs2b";"prostaglandin-endoperoxide synthase 2b [Source:ZFIN;Acc:ZDB-GENE-041014-323]"
"ENSDARG00000011876";"ENSDARG00000011876";"26 x 32";"48hpf_pos.1";"ednraa";"endothelin receptor type Aa [Source:ZFIN;Acc:ZDB-GENE-010906-2]"
"ENSDARG00000013024";"ENSDARG00000013024";"24 x 1";"24hpf_pos.1";"erap1a";"endoplasmic reticulum aminopeptidase 1a [Source:ZFIN;Acc:ZDB-GENE-091113-7]"
"ENSDARG00000017340";"ENSDARG00000017340";"20 x 30";"72hpf_neg_gata5";"uts2b";"urotensin 2, beta [Source:ZFIN;Acc:ZDB-GENE-040630-10]"
"ENSDARG00000021859";"ENSDARG00000021859";"15 x 18";"72hpf_pos_gata5";"erap1b";"endoplasmic reticulum aminopeptidase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-934]"
"ENSDARG00000036809";"ENSDARG00000036809";"14 x 40";"72hpf_neg";"si:ch211-106j24.1";"si:ch211-106j24.1 [Source:ZFIN;Acc:ZDB-GENE-130530-595]"
"ENSDARG00000041083";"ENSDARG00000041083";"14 x 20";"72hpf_pos_hand2.1";"anpepa";"alanyl (membrane) aminopeptidase a [Source:ZFIN;Acc:ZDB-GENE-030131-4781]"
"ENSDARG00000052148";"ENSDARG00000052148";"19 x 38";"72hpf_neg_hand2";"ptgs1";"prostaglandin-endoperoxide synthase 1 [Source:ZFIN;Acc:ZDB-GENE-020530-1]"
"ENSDARG00000053498";"ENSDARG00000053498";"21 x 22";"24hpf_pos.1";"";"endothelin receptor type Bb [Source:ZFIN;Acc:ZDB-GENE-081105-182]"
"ENSDARG00000053854";"ENSDARG00000053854";"16 x 25";"72hpf_neg_hand2";"uts2a";"urotensin 2, alpha [Source:ZFIN;Acc:ZDB-GENE-040630-11]"
"ENSDARG00000062013";"ENSDARG00000062013";"4 x 35";"72hpf_neg_tbx5";"trhde.2";"thyrotropin releasing hormone degrading enzyme, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070705-89]"
"ENSDARG00000062262";"ENSDARG00000062262";"40 x 29";"24hpf_neg";"ednrab";"endothelin receptor type Ab [Source:ZFIN;Acc:ZDB-GENE-040426-2364]"
"ENSDARG00000067781";"ENSDARG00000067781";"31 x 9";"72hpf_pos.1";"urp2";"urotensin II-related peptide [Source:ZFIN;Acc:ZDB-GENE-110718-3]"
"ENSDARG00000076044";"ENSDARG00000076044";"1 x 39";"72hpf_neg_tbx5";"trhde.1";"thyrotropin releasing hormone degrading enzyme, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-170406-2]"
"ENSDARG00000089334";"ENSDARG00000089334";"1 x 1";"72hpf_pos_gata5.1";"ednrba";"endothelin receptor Ba [Source:ZFIN;Acc:ZDB-GENE-980526-16]"
"ENSDARG00000089706";"ENSDARG00000089706";"40 x 1";"72hpf_pos_hand2.1";"si:ch211-276a23.5";"si:ch211-276a23.5 [Source:ZFIN;Acc:ZDB-GENE-141215-4]"
"ENSDARG00000093493";"ENSDARG00000093493";"14 x 9";"24hpf_pos.1";"";"urotensin-related peptide 1 [Source:ZFIN;Acc:ZDB-GENE-100922-138]"
"ENSDARG00000096322";"ENSDARG00000096322";"23 x 15";"72hpf_pos_tbx5.1";"si:ch73-379f7.4";"si:ch73-379f7.4 [Source:ZFIN;Acc:ZDB-GENE-120215-247]"
"ENSDARG00000096870";"ENSDARG00000096870";"21 x 23";"72hpf_neg_tbx5";"si:dkey-33c3.1";"si:dkey-33c3.1 [Source:ZFIN;Acc:ZDB-GENE-131121-337]"
"ENSDARG00000100394";"ENSDARG00000100394";"26 x 1";"24hpf_pos.1";"lnpep";"leucyl/cystinyl aminopeptidase [Source:ZFIN;Acc:ZDB-GENE-030131-1534]"
