"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004415";"ENSDARG00000004415";"7 x 40";"48hpf_neg";"tcf7l2";"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"ENSDARG00000004502";"ENSDARG00000004502";"12 x 36";"48hpf_neg";"rcor3";"REST corepressor 3 [Source:ZFIN;Acc:ZDB-GENE-050208-371]"
"ENSDARG00000007329";"ENSDARG00000007329";"31 x 24";"24hpf_neg";"tbx16";"T-box 16 [Source:ZFIN;Acc:ZDB-GENE-990615-5]"
"ENSDARG00000007943";"ENSDARG00000007943";"33 x 2";"24hpf_pos";"gabpb2a";"GA binding protein transcription factor, beta subunit 2a [Source:ZFIN;Acc:ZDB-GENE-030131-5733]"
"ENSDARG00000008278";"ENSDARG00000008278";"36 x 40";"24hpf_neg";"rcor2";"REST corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1812]"
"ENSDARG00000011445";"ENSDARG00000011445";"6 x 12";"72hpf_pos_gata5.1";"elmsan1a";"ELM2 and Myb/SANT-like domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-151]"
"ENSDARG00000013539";"ENSDARG00000013539";"40 x 1";"24hpf_pos.1";"ikzf1";"IKAROS family zinc finger 1 (Ikaros) [Source:ZFIN;Acc:ZDB-GENE-980526-304]"
"ENSDARG00000017821";"ENSDARG00000017821";"12 x 1";"48hpf_pos.1";"gata5";"GATA binding protein 5 [Source:ZFIN;Acc:ZDB-GENE-980526-340]"
"ENSDARG00000017953";"ENSDARG00000017953";"35 x 28";"24hpf_pos.1";"tp73";"tumor protein p73 [Source:ZFIN;Acc:ZDB-GENE-030814-2]"
"ENSDARG00000018698";"ENSDARG00000018698";"24 x 40";"24hpf_neg";"carm1";"coactivator-associated arginine methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040724-77]"
"ENSDARG00000018773";"ENSDARG00000018773";"13 x 9";"72hpf_pos_hand2";"hivep2b";"human immunodeficiency virus type I enhancer binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-130530-562]"
"ENSDARG00000019572";"ENSDARG00000019572";"12 x 22";"72hpf_pos.1";"taf7";"TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor [Source:ZFIN;Acc:ZDB-GENE-020419-18]"
"ENSDARG00000025824";"ENSDARG00000025824";"16 x 29";"72hpf_neg_tbx5";"";"cyclin D binding myb-like transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-040718-413]"
"ENSDARG00000028159";"ENSDARG00000028159";"33 x 35";"24hpf_neg";"tead1a";"TEA domain family member 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2101]"
"ENSDARG00000030999";"ENSDARG00000030999";"15 x 38";"72hpf_neg_gata5";"mybl1";"v-myb avian myeloblastosis viral oncogene homolog-like 1 [Source:ZFIN;Acc:ZDB-GENE-041111-281]"
"ENSDARG00000031434";"ENSDARG00000031434";"28 x 25";"24hpf_pos.1";"rcor1";"REST corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-050506-79]"
"ENSDARG00000032264";"ENSDARG00000032264";"38 x 36";"24hpf_neg";"mybl2b";"v-myb avian myeloblastosis viral oncogene homolog-like 2b [Source:ZFIN;Acc:ZDB-GENE-041007-1]"
"ENSDARG00000035559";"ENSDARG00000035559";"30 x 12";"48hpf_pos.1";"tp53";"tumor protein p53 [Source:ZFIN;Acc:ZDB-GENE-990415-270]"
"ENSDARG00000037068";"ENSDARG00000037068";"4 x 19";"72hpf_pos_gata5";"si:dkey-166n8.9";"si:dkey-166n8.9 [Source:ZFIN;Acc:ZDB-GENE-090313-197]"
"ENSDARG00000037154";"ENSDARG00000037154";"1 x 21";"72hpf_neg_gata5";"";"human immunodeficiency virus type I enhancer binding protein 3b [Source:ZFIN;Acc:ZDB-GENE-100922-42]"
"ENSDARG00000037196";"ENSDARG00000037196";"3 x 31";"72hpf_neg_gata5";"arid5b";"AT-rich interaction domain 5B [Source:ZFIN;Acc:ZDB-GENE-121214-272]"
"ENSDARG00000038159";"ENSDARG00000038159";"33 x 35";"24hpf_neg";"tcf7l1a";"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
"ENSDARG00000038672";"ENSDARG00000038672";"39 x 26";"24hpf_neg";"tcf7";"transcription factor 7 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-050222-4]"
"ENSDARG00000039987";"ENSDARG00000039987";"1 x 21";"72hpf_neg_tbx5";"hivep2a";"human immunodeficiency virus type I enhancer binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-041014-354]"
"ENSDARG00000042652";"ENSDARG00000042652";"14 x 3";"48hpf_pos";"rreb1b";"ras responsive element binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-070912-273]"
"ENSDARG00000042667";"ENSDARG00000042667";"4 x 30";"72hpf_neg";"klf2a";"Kruppel-like factor 2a [Source:ZFIN;Acc:ZDB-GENE-011109-1]"
"ENSDARG00000043249";"ENSDARG00000043249";"9 x 14";"72hpf_pos_hand2";"irf1b";"thioredoxin domain containing 15 [Source:ZFIN;Acc:ZDB-GENE-070615-36]"
"ENSDARG00000043797";"ENSDARG00000043797";"13 x 25";"72hpf_neg_hand2";"cdc5l";"CDC5 cell division cycle 5-like (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-040426-821]"
"ENSDARG00000043873";"ENSDARG00000043873";"27 x 35";"24hpf_neg";"arid4a";"AT rich interactive domain 4A (RBP1-like) [Source:ZFIN;Acc:ZDB-GENE-050809-105]"
"ENSDARG00000044356";"ENSDARG00000044356";"18 x 40";"24hpf_neg";"tp63";"tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]"
"ENSDARG00000044485";"ENSDARG00000044485";"39 x 40";"24hpf_pos.1";"sall4";"spalt-like transcription factor 4 [Source:ZFIN;Acc:ZDB-GENE-060328-2]"
"ENSDARG00000044811";"ENSDARG00000044811";"34 x 11";"72hpf_pos.1";"cdk9";"cyclin-dependent kinase 9 (CDC2-related kinase) [Source:ZFIN;Acc:ZDB-GENE-030131-321]"
"ENSDARG00000045513";"ENSDARG00000045513";"29 x 33";"72hpf_pos.1";"taf3";"TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated facto [Source:ZFIN;Acc:ZDB-GENE-030131-6406]"
"ENSDARG00000045661";"ENSDARG00000045661";"17 x 10";"72hpf_pos_hand2.1";"irf7";"interferon regulatory factor 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1518]"
"ENSDARG00000052188";"ENSDARG00000052188";"14 x 25";"72hpf_pos_hand2.1";"";"zinc finger protein 541 [Source:ZFIN;Acc:ZDB-GENE-060526-239]"
"ENSDARG00000053666";"ENSDARG00000053666";"39 x 39";"24hpf_pos";"myb";"v-myb avian myeloblastosis viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-991110-14]"
"ENSDARG00000053864";"ENSDARG00000053864";"40 x 14";"24hpf_pos.1";"elmsan1b";"ELM2 and Myb/SANT-like domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-131121-13]"
"ENSDARG00000054344";"ENSDARG00000054344";"28 x 32";"24hpf_neg";"gabpb2b";"GA binding protein transcription factor, beta subunit 2b [Source:ZFIN;Acc:ZDB-GENE-050208-136]"
"ENSDARG00000060392";"ENSDARG00000060392";"39 x 27";"24hpf_pos.1";"ash2l";"ash2 (absent, small, or homeotic)-like (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-494]"
"ENSDARG00000061352";"ENSDARG00000061352";"3 x 39";"72hpf_neg_gata5";"bcl11aa";"B-cell CLL/lymphoma 11Aa [Source:ZFIN;Acc:ZDB-GENE-060421-4643]"
"ENSDARG00000061974";"ENSDARG00000061974";"1 x 28";"72hpf_neg";"grhl2b";"grainyhead-like transcription factor 2b [Source:ZFIN;Acc:ZDB-GENE-060503-719]"
"ENSDARG00000062510";"ENSDARG00000062510";"1 x 40";"48hpf_neg";"bcl11ba";"B-cell CLL/lymphoma 11Ba (zinc finger protein) [Source:ZFIN;Acc:ZDB-GENE-061207-62]"
