"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000729";"ENSDARG00000000729";"35 x 32";"24hpf_pos.1";"daxx";"death-domain associated protein [Source:ZFIN;Acc:ZDB-GENE-010110-3]"
"ENSDARG00000000966";"ENSDARG00000000966";"2 x 20";"72hpf_neg";"ncor2";"nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]"
"ENSDARG00000001754";"ENSDARG00000001754";"35 x 3";"24hpf_pos";"noc2l";"NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]"
"ENSDARG00000002002";"ENSDARG00000002002";"20 x 4";"72hpf_pos_hand2.1";"lmcd1";"LIM and cysteine-rich domains 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1067]"
"ENSDARG00000003680";"ENSDARG00000003680";"13 x 39";"72hpf_neg_tbx5";"runx1t1";"runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:ZFIN;Acc:ZDB-GENE-060929-164]"
"ENSDARG00000004502";"ENSDARG00000004502";"12 x 36";"48hpf_neg";"rcor3";"REST corepressor 3 [Source:ZFIN;Acc:ZDB-GENE-050208-371]"
"ENSDARG00000004785";"ENSDARG00000004785";"32 x 8";"72hpf_pos.1";"cops2";"COP9 signalosome subunit 2 [Source:ZFIN;Acc:ZDB-GENE-040625-15]"
"ENSDARG00000008278";"ENSDARG00000008278";"36 x 40";"24hpf_neg";"rcor2";"REST corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1812]"
"ENSDARG00000008986";"ENSDARG00000008986";"40 x 35";"24hpf_neg";"e2f7";"E2F transcription factor 7 [Source:ZFIN;Acc:ZDB-GENE-030131-3527]"
"ENSDARG00000011824";"ENSDARG00000011824";"1 x 22";"72hpf_pos_gata5.1";"pbxip1b";"pre-B-cell leukemia homeobox interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-070112-2032]"
"ENSDARG00000013434";"ENSDARG00000013434";"35 x 35";"24hpf_neg";"hira";"histone cell cycle regulator a [Source:ZFIN;Acc:ZDB-GENE-030131-6296]"
"ENSDARG00000014018";"ENSDARG00000014018";"1 x 40";"48hpf_neg";"lhx1a";"LIM homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-980526-347]"
"ENSDARG00000016200";"ENSDARG00000016200";"14 x 9";"72hpf_pos_hand2.1";"trib3";"tribbles pseudokinase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2609]"
"ENSDARG00000019213";"ENSDARG00000019213";"6 x 30";"72hpf_pos.1";"zgc:136929";"zgc:136929 [Source:ZFIN;Acc:ZDB-GENE-060421-4235]"
"ENSDARG00000019774";"ENSDARG00000019774";"20 x 34";"72hpf_neg_gata5";"zhx3";"zinc fingers and homeoboxes 3 [Source:ZFIN;Acc:ZDB-GENE-031107-1]"
"ENSDARG00000021372";"ENSDARG00000021372";"2 x 10";"72hpf_pos_gata5";"tob1b";"transducer of ERBB2, 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2151]"
"ENSDARG00000024598";"ENSDARG00000024598";"23 x 40";"48hpf_neg";"homezb";"homeobox and leucine zipper encoding b [Source:ZFIN;Acc:ZDB-GENE-030131-9225]"
"ENSDARG00000029259";"ENSDARG00000029259";"12 x 13";"72hpf_pos_tbx5";"zgc:136493";"zgc:136493 [Source:ZFIN;Acc:ZDB-GENE-060512-216]"
"ENSDARG00000031434";"ENSDARG00000031434";"28 x 25";"24hpf_pos.1";"rcor1";"REST corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-050506-79]"
"ENSDARG00000032619";"ENSDARG00000032619";"1 x 21";"72hpf_pos.1";"tob1a";"transducer of ERBB2, 1a [Source:ZFIN;Acc:ZDB-GENE-031030-4]"
"ENSDARG00000035285";"ENSDARG00000035285";"25 x 32";"24hpf_pos.1";"ncor1";"nuclear receptor corepressor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-993]"
"ENSDARG00000037514";"ENSDARG00000037514";"33 x 35";"24hpf_pos.1";"hdac3";"histone deacetylase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-847]"
"ENSDARG00000040116";"ENSDARG00000040116";"29 x 15";"24hpf_pos";"znf366";"zinc finger protein 366 [Source:ZFIN;Acc:ZDB-GENE-110408-46]"
"ENSDARG00000041921";"ENSDARG00000041921";"6 x 13";"72hpf_pos_gata5";"hsbp1b";"heat shock factor binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1721]"
"ENSDARG00000042087";"ENSDARG00000042087";"12 x 26";"72hpf_neg_hand2";"dmap1";"DNA methyltransferase 1 associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-748]"
"ENSDARG00000044062";"ENSDARG00000044062";"15 x 40";"72hpf_neg_gata5";"ctbp2a";"C-terminal binding protein 2a [Source:ZFIN;Acc:ZDB-GENE-010130-2]"
"ENSDARG00000054304";"ENSDARG00000054304";"23 x 38";"24hpf_neg";"homeza";"homeobox and leucine zipper encoding a [Source:ZFIN;Acc:ZDB-GENE-030616-592]"
"ENSDARG00000055162";"ENSDARG00000055162";"27 x 27";"72hpf_pos_gata5";"zhx2a";"zinc fingers and homeoboxes 2a [Source:ZFIN;Acc:ZDB-GENE-031107-2]"
"ENSDARG00000056979";"ENSDARG00000056979";"5 x 40";"48hpf_neg";"lhx9";"LIM homeobox 9 [Source:ZFIN;Acc:ZDB-GENE-050417-210]"
"ENSDARG00000057007";"ENSDARG00000057007";"26 x 40";"24hpf_neg";"ctbp1";"C-terminal binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-010130-1]"
"ENSDARG00000057323";"ENSDARG00000057323";"36 x 34";"24hpf_neg";"e2f8";"E2F transcription factor 8 [Source:ZFIN;Acc:ZDB-GENE-041111-260]"
"ENSDARG00000059836";"ENSDARG00000059836";"4 x 8";"72hpf_pos";"ddit3";"DNA-damage-inducible transcript 3 [Source:ZFIN;Acc:ZDB-GENE-070410-90]"
"ENSDARG00000060438";"ENSDARG00000060438";"39 x 28";"24hpf_pos.1";"tbl1x";"transducin (beta)-like 1X-linked [Source:ZFIN;Acc:ZDB-GENE-070209-131]"
"ENSDARG00000060865";"ENSDARG00000060865";"12 x 36";"72hpf_neg_gata5";"scai";"suppressor of cancer cell invasion [Source:ZFIN;Acc:ZDB-GENE-060526-57]"
"ENSDARG00000062801";"ENSDARG00000062801";"35 x 36";"24hpf_pos";"erfl3";"Ets2 repressor factor like 3 [Source:ZFIN;Acc:ZDB-GENE-090529-4]"
"ENSDARG00000063417";"ENSDARG00000063417";"28 x 27";"24hpf_neg";"erf";"Ets2 repressor factor [Source:ZFIN;Acc:ZDB-GENE-010724-17]"
"ENSDARG00000063614";"ENSDARG00000063614";"4 x 32";"72hpf_neg_gata5";"zgc:153395";"zgc:153395 [Source:ZFIN;Acc:ZDB-GENE-060825-57]"
"ENSDARG00000069425";"ENSDARG00000069425";"15 x 30";"72hpf_neg_hand2";"hsbp1a";"heat shock factor binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-050320-136]"
"ENSDARG00000071015";"ENSDARG00000071015";"4 x 19";"72hpf_pos";"pbxip1a";"pre-B-cell leukemia homeobox interacting protein 1a [Source:ZFIN;Acc:ZDB-GENE-060503-871]"
"ENSDARG00000074337";"ENSDARG00000074337";"34 x 40";"24hpf_neg";"";"core-binding factor, runt domain, alpha subunit 2; translocated to, 2 [Source:ZFIN;Acc:ZDB-GENE-070209-1]"
"ENSDARG00000075984";"ENSDARG00000075984";"8 x 16";"72hpf_pos";"hsbp1l1";"heat shock factor binding protein 1 like 1 [Source:NCBI gene;Acc:799177]"
"ENSDARG00000077842";"ENSDARG00000077842";"32 x 34";"72hpf_neg";"ajuba";"ajuba LIM protein [Source:ZFIN;Acc:ZDB-GENE-030131-9341]"
"ENSDARG00000077964";"ENSDARG00000077964";"4 x 4";"72hpf_pos_gata5.1";"";"LIM domains containing 1a [Source:ZFIN;Acc:ZDB-GENE-070712-1]"
"ENSDARG00000079012";"ENSDARG00000079012";"34 x 40";"48hpf_neg";"cbfa2t3";"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 [Source:ZFIN;Acc:ZDB-GENE-070209-2]"
"ENSDARG00000086892";"ENSDARG00000086892";"9 x 36";"72hpf_neg_gata5";"erfl1";"Ets2 repressor factor like 1 [Source:ZFIN;Acc:ZDB-GENE-090529-3]"
"ENSDARG00000087074";"ENSDARG00000087074";"38 x 29";"24hpf_neg";"znf574";"zinc finger protein 574 [Source:ZFIN;Acc:ZDB-GENE-100922-259]"
"ENSDARG00000101637";"ENSDARG00000101637";"38 x 38";"24hpf_pos.1";"ccnd1";"cyclin D1 [Source:ZFIN;Acc:ZDB-GENE-980526-176]"
"ENSDARG00000103607";"ENSDARG00000103607";"40 x 25";"24hpf_neg";"wtip";"WT1 interacting protein [Source:ZFIN;Acc:ZDB-GENE-050419-261]"
