"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002194";"ENSDARG00000002194";"40 x 40";"24hpf_pos.1";"rhd";"Rh blood group, D antigen [Source:ZFIN;Acc:ZDB-GENE-051213-1]"
"ENSDARG00000003203";"ENSDARG00000003203";"7 x 16";"72hpf_pos_gata5";"rhcga";"Rh family, C glycoprotein a [Source:ZFIN;Acc:ZDB-GENE-070424-81]"
"ENSDARG00000007080";"ENSDARG00000007080";"18 x 22";"48hpf_pos.1";"rhcgl1";"Rh family, C glycoprotein, like 1 [Source:ZFIN;Acc:ZDB-GENE-060209-2]"
"ENSDARG00000009018";"ENSDARG00000009018";"1 x 37";"72hpf_neg";"rhbg";"Rh family, B glycoprotein (gene/pseudogene) [Source:ZFIN;Acc:ZDB-GENE-030131-9542]"
"ENSDARG00000019253";"ENSDARG00000019253";"5 x 2";"72hpf_pos_tbx5.1";"rhag";"Rh-associated glycoprotein [Source:ZFIN;Acc:ZDB-GENE-030131-8229]"
"ENSDARG00000023713";"ENSDARG00000023713";"40 x 8";"24hpf_pos.1";"aqp1a.1";"aquaporin 1a (Colton blood group), tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7764]"
"ENSDARG00000091027";"ENSDARG00000091027";"22 x 22";"72hpf_pos_hand2";"aqp1a.2";"aquaporin 1a (Colton blood group), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-100409-1]"
"ENSDARG00000100265";"ENSDARG00000100265";"18 x 9";"72hpf_pos_hand2";"rhcgb";"Rh family, C glycoprotein b [Source:ZFIN;Acc:ZDB-GENE-040426-2595]"
"ENSDARG00000104573";"ENSDARG00000104573";"4 x 13";"72hpf_pos_hand2.1";"";"solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-040625-53]"
"ENSDARG00000105007";"ENSDARG00000105007";"21 x 22";"72hpf_neg_tbx5";"";""
