"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004415";"ENSDARG00000004415";"7 x 40";"48hpf_neg";"tcf7l2";"transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-8]"
"ENSDARG00000007369";"ENSDARG00000007369";"32 x 39";"24hpf_neg";"tcf7l1b";"transcription factor 7-like 1b (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-991110-10]"
"ENSDARG00000010432";"ENSDARG00000010432";"28 x 5";"72hpf_pos_gata5";"eaf2";"ELL associated factor 2 [Source:ZFIN;Acc:ZDB-GENE-040625-179]"
"ENSDARG00000029370";"ENSDARG00000029370";"30 x 29";"72hpf_neg_gata5";"ankrd6b";"ankyrin repeat domain 6b [Source:ZFIN;Acc:ZDB-GENE-030916-4]"
"ENSDARG00000031894";"ENSDARG00000031894";"5 x 34";"48hpf_neg";"lef1";"lymphoid enhancer-binding factor 1 [Source:ZFIN;Acc:ZDB-GENE-990714-26]"
"ENSDARG00000036687";"ENSDARG00000036687";"13 x 40";"24hpf_neg";"bcl9";"B-cell CLL/lymphoma 9 [Source:ZFIN;Acc:ZDB-GENE-090313-135]"
"ENSDARG00000038159";"ENSDARG00000038159";"33 x 35";"24hpf_neg";"tcf7l1a";"transcription factor 7-like 1a (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-980605-30]"
"ENSDARG00000038672";"ENSDARG00000038672";"39 x 26";"24hpf_neg";"tcf7";"transcription factor 7 (T-cell specific, HMG-box) [Source:ZFIN;Acc:ZDB-GENE-050222-4]"
"ENSDARG00000038954";"ENSDARG00000038954";"7 x 30";"48hpf_neg";"ctnnbip1";"catenin, beta interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-000906-3]"
"ENSDARG00000043531";"ENSDARG00000043531";"12 x 11";"72hpf_pos.1";"jun";"jun proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-030131-7859]"
"ENSDARG00000055054";"ENSDARG00000055054";"1 x 21";"72hpf_pos_gata5";"bcl9l";"B-cell CLL/lymphoma 9-like [Source:ZFIN;Acc:ZDB-GENE-040927-29]"
"ENSDARG00000055899";"ENSDARG00000055899";"15 x 1";"48hpf_pos";"lzic";"leucine zipper and CTNNBIP1 domain containing [Source:ZFIN;Acc:ZDB-GENE-040718-342]"
"ENSDARG00000058868";"ENSDARG00000058868";"12 x 38";"72hpf_neg_tbx5";"apc";"adenomatous polyposis coli [Source:ZFIN;Acc:ZDB-GENE-031112-7]"
"ENSDARG00000063007";"ENSDARG00000063007";"3 x 40";"72hpf_neg_tbx5";"apc2";"adenomatosis polyposis coli 2 [Source:ZFIN;Acc:ZDB-GENE-090422-1]"
"ENSDARG00000070795";"ENSDARG00000070795";"17 x 16";"72hpf_pos";"eaf1";"ELL associated factor 1 [Source:ZFIN;Acc:ZDB-GENE-040625-109]"
"ENSDARG00000074597";"ENSDARG00000074597";"31 x 40";"24hpf_neg";"lzts2a";"leucine zipper, putative tumor suppressor 2a [Source:ZFIN;Acc:ZDB-GENE-090313-276]"
"ENSDARG00000075222";"ENSDARG00000075222";"5 x 35";"72hpf_neg_tbx5";"amer2";"APC membrane recruitment protein 2 [Source:ZFIN;Acc:ZDB-GENE-070719-5]"
"ENSDARG00000075543";"ENSDARG00000075543";"26 x 39";"48hpf_neg";"chd8";"chromodomain helicase DNA binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-030131-6320]"
"ENSDARG00000079624";"ENSDARG00000079624";"21 x 39";"24hpf_neg";"amer1";"APC membrane recruitment protein 1 [Source:ZFIN;Acc:ZDB-GENE-070719-2]"
"ENSDARG00000087910";"ENSDARG00000087910";"1 x 19";"72hpf_neg_hand2";"dact3a";"dishevelled-binding antagonist of beta-catenin 3a [Source:ZFIN;Acc:ZDB-GENE-091204-226]"
"ENSDARG00000088195";"ENSDARG00000088195";"34 x 39";"24hpf_neg";"si:ch211-168f7.5";"si:ch211-168f7.5 [Source:ZFIN;Acc:ZDB-GENE-030131-897]"
"ENSDARG00000095819";"ENSDARG00000095819";"11 x 33";"72hpf_neg_hand2";"si:dkey-231j24.3";"si:dkey-231j24.3 [Source:ZFIN;Acc:ZDB-GENE-030131-8217]"
"ENSDARG00000100826";"ENSDARG00000100826";"13 x 15";"72hpf_pos.1";"hif1al";"hypoxia-inducible factor 1, alpha subunit, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]"
"ENSDARG00000102441";"ENSDARG00000102441";"25 x 6";"24hpf_neg";"ctnna1";"catenin (cadherin-associated protein), alpha 1 [Source:ZFIN;Acc:ZDB-GENE-991207-24]"
"ENSDARG00000103747";"ENSDARG00000103747";"14 x 3";"72hpf_pos_gata5.1";"cav1";"caveolin 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2415]"
"ENSDARG00000103953";"ENSDARG00000103953";"34 x 30";"24hpf_pos.1";"med12";"mediator complex subunit 12 [Source:ZFIN;Acc:ZDB-GENE-060125-1]"
