"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000034700";"ENSDARG00000034700";"28 x 37";"24hpf_neg";"vegfab";"vascular endothelial growth factor Ab [Source:ZFIN;Acc:ZDB-GENE-030131-4605]"
"ENSDARG00000035095";"ENSDARG00000035095";"40 x 6";"24hpf_pos.1";"tdgf1";"teratocarcinoma-derived growth factor 1 [Source:ZFIN;Acc:ZDB-GENE-990415-198]"
"ENSDARG00000037116";"ENSDARG00000037116";"33 x 39";"72hpf_neg";"cxcl12a";"chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030318-1]"
"ENSDARG00000041959";"ENSDARG00000041959";"40 x 1";"24hpf_pos";"cxcr4b";"chemokine (C-X-C motif), receptor 4b [Source:ZFIN;Acc:ZDB-GENE-010614-1]"
"ENSDARG00000055100";"ENSDARG00000055100";"40 x 40";"24hpf_pos";"cxcl12b";"chemokine (C-X-C motif) ligand 12b (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030721-1]"
"ENSDARG00000056624";"ENSDARG00000056624";"40 x 17";"24hpf_pos.1";"figf";"c-fos induced growth factor [Source:ZFIN;Acc:ZDB-GENE-070810-6]"
"ENSDARG00000069640";"ENSDARG00000069640";"39 x 7";"72hpf_pos_hand2.1";"vegfc";"vascular endothelial growth factor c [Source:ZFIN;Acc:ZDB-GENE-040303-4]"
"ENSDARG00000076767";"ENSDARG00000076767";"14 x 26";"48hpf_neg";"pgfb";"placental growth factor b [Source:ZFIN;Acc:ZDB-GENE-131127-445]"
"ENSDARG00000090997";"ENSDARG00000090997";"30 x 14";"72hpf_pos_tbx5";"vegfba";"vascular endothelial growth factor Ba [Source:ZFIN;Acc:ZDB-GENE-120510-3]"
"ENSDARG00000092480";"ENSDARG00000092480";"35 x 15";"24hpf_pos.1";"vegfbb";"vascular endothelial growth factor Bb [Source:ZFIN;Acc:ZDB-GENE-091204-285]"
"ENSDARG00000103542";"ENSDARG00000103542";"20 x 37";"24hpf_neg";"vegfaa";"vascular endothelial growth factor Aa [Source:ZFIN;Acc:ZDB-GENE-990415-273]"
