"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000004529";"ENSDARG00000004529";"11 x 23";"72hpf_pos.1";"zgc:173742";"zgc:173742 [Source:ZFIN;Acc:ZDB-GENE-030131-6489]"
"ENSDARG00000008904";"ENSDARG00000008904";"4 x 10";"72hpf_pos_gata5";"smarca2";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5964]"
"ENSDARG00000011594";"ENSDARG00000011594";"20 x 40";"48hpf_neg";"smarcb1b";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1b [Source:ZFIN;Acc:ZDB-GENE-991008-16]"
"ENSDARG00000012776";"ENSDARG00000012776";"6 x 10";"72hpf_pos_gata5";"smarca1";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:ZFIN;Acc:ZDB-GENE-070705-296]"
"ENSDARG00000015471";"ENSDARG00000015471";"29 x 5";"24hpf_pos";"chd1l";"chromodomain helicase DNA binding protein 1-like [Source:ZFIN;Acc:ZDB-GENE-040426-892]"
"ENSDARG00000021370";"ENSDARG00000021370";"8 x 20";"72hpf_pos.1";"actr6";"ARP6 actin related protein 6 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-3543]"
"ENSDARG00000025309";"ENSDARG00000025309";"8 x 36";"72hpf_neg_gata5";"dpf3";"D4, zinc and double PHD fingers, family 3 [Source:ZFIN;Acc:ZDB-GENE-041014-190]"
"ENSDARG00000027824";"ENSDARG00000027824";"13 x 7";"24hpf_pos.1";"";"topoisomerase (DNA) I, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040624-2]"
"ENSDARG00000031562";"ENSDARG00000031562";"9 x 26";"72hpf_pos.1";"tada2a";"transcriptional adaptor 2A [Source:ZFIN;Acc:ZDB-GENE-060929-508]"
"ENSDARG00000033647";"ENSDARG00000033647";"33 x 14";"24hpf_pos.1";"smarcb1a";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1a [Source:ZFIN;Acc:ZDB-GENE-041114-5]"
"ENSDARG00000034693";"ENSDARG00000034693";"22 x 34";"72hpf_neg_gata5";"mysm1";"Myb-like, SWIRM and MPN domains 1 [Source:ZFIN;Acc:ZDB-GENE-041014-28]"
"ENSDARG00000036359";"ENSDARG00000036359";"36 x 32";"24hpf_pos";"riox2";"ribosomal oxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1283]"
"ENSDARG00000041155";"ENSDARG00000041155";"32 x 12";"24hpf_neg";"morf4l1";"mortality factor 4 like 1 [Source:ZFIN;Acc:ZDB-GENE-040718-348]"
"ENSDARG00000042087";"ENSDARG00000042087";"12 x 26";"72hpf_neg_hand2";"dmap1";"DNA methyltransferase 1 associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-748]"
"ENSDARG00000052348";"ENSDARG00000052348";"26 x 39";"24hpf_neg";"smarca5";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 [Source:ZFIN;Acc:ZDB-GENE-021125-1]"
"ENSDARG00000055639";"ENSDARG00000055639";"37 x 32";"24hpf_pos.1";"ruvbl2";"RuvB-like AAA ATPase 2 [Source:ZFIN;Acc:ZDB-GENE-030109-1]"
"ENSDARG00000055719";"ENSDARG00000055719";"30 x 1";"24hpf_pos.1";"ino80c";"INO80 complex subunit C [Source:ZFIN;Acc:ZDB-GENE-040625-97]"
"ENSDARG00000062749";"ENSDARG00000062749";"28 x 24";"72hpf_neg";"ino80b";"INO80 complex subunit B [Source:ZFIN;Acc:ZDB-GENE-061013-69]"
"ENSDARG00000063718";"ENSDARG00000063718";"10 x 27";"24hpf_pos.1";"vps72";"vacuolar protein sorting 72 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-060503-88]"
"ENSDARG00000070108";"ENSDARG00000070108";"36 x 32";"24hpf_pos";"dek";"DEK proto-oncogene [Source:ZFIN;Acc:ZDB-GENE-060512-191]"
"ENSDARG00000070432";"ENSDARG00000070432";"11 x 27";"48hpf_neg";"ino80";"INO80 complex subunit [Source:ZFIN;Acc:ZDB-GENE-041014-72]"
"ENSDARG00000070545";"ENSDARG00000070545";"26 x 38";"24hpf_neg";"top1l";"topoisomerase (DNA) I, like [Source:ZFIN;Acc:ZDB-GENE-060616-217]"
"ENSDARG00000077946";"ENSDARG00000077946";"5 x 37";"72hpf_neg_tbx5";"smarcc2";"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 [Source:ZFIN;Acc:ZDB-GENE-100728-1]"
"ENSDARG00000086775";"ENSDARG00000086775";"24 x 8";"72hpf_pos_gata5.1";"top1";"topoisomerase (DNA) I [Source:ZFIN;Acc:ZDB-GENE-030131-5390]"
"ENSDARG00000088567";"ENSDARG00000088567";"23 x 9";"72hpf_pos_gata5.1";"";"si:ch211-203d17.1 [Source:ZFIN;Acc:ZDB-GENE-100922-13]"
"ENSDARG00000092503";"ENSDARG00000092503";"15 x 37";"72hpf_neg_tbx5";"arid1b";"AT rich interactive domain 1B (SWI1-like) [Source:ZFIN;Acc:ZDB-GENE-030131-4459]"
"ENSDARG00000101710";"ENSDARG00000101710";"29 x 40";"48hpf_neg";"arid1aa";"AT rich interactive domain 1Aa (SWI-like) [Source:ZFIN;Acc:ZDB-GENE-080220-35]"
"ENSDARG00000101891";"ENSDARG00000101891";"28 x 40";"48hpf_neg";"arid1ab";"AT rich interactive domain 1Ab (SWI-like) [Source:ZFIN;Acc:ZDB-GENE-030131-5725]"
"ENSDARG00000103610";"ENSDARG00000103610";"31 x 12";"72hpf_pos";"actr8";"ARP8 actin related protein 8 homolog [Source:ZFIN;Acc:ZDB-GENE-030131-5065]"
"ENSDARG00000104809";"ENSDARG00000104809";"16 x 8";"72hpf_pos_tbx5";"";"topoisomerase (DNA) I, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040624-2]"
