"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002722";"ENSDARG00000002722";"18 x 13";"72hpf_pos";"ankrd2";"ankyrin repeat domain 2 (stretch responsive muscle) [Source:ZFIN;Acc:ZDB-GENE-090313-383]"
"ENSDARG00000004049";"ENSDARG00000004049";"28 x 40";"48hpf_neg";"marcksa";"myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]"
"ENSDARG00000006757";"ENSDARG00000006757";"10 x 25";"72hpf_pos.1";"klhl41b";"kelch-like family member 41b [Source:ZFIN;Acc:ZDB-GENE-030131-9875]"
"ENSDARG00000007277";"ENSDARG00000007277";"34 x 35";"24hpf_neg";"myf5";"myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]"
"ENSDARG00000008803";"ENSDARG00000008803";"11 x 40";"48hpf_neg";"marcksb";"myristoylated alanine-rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]"
"ENSDARG00000009438";"ENSDARG00000009438";"22 x 36";"24hpf_neg";"myog";"myogenin [Source:ZFIN;Acc:ZDB-GENE-980526-265]"
"ENSDARG00000029830";"ENSDARG00000029830";"17 x 12";"72hpf_pos";"myf6";"myogenic factor 6 [Source:ZFIN;Acc:ZDB-GENE-040309-2]"
"ENSDARG00000030110";"ENSDARG00000030110";"17 x 37";"24hpf_neg";"myod1";"myogenic differentiation 1 [Source:ZFIN;Acc:ZDB-GENE-980526-561]"
"ENSDARG00000068888";"ENSDARG00000068888";"29 x 23";"24hpf_neg";"klhl41a";"kelch-like family member 41a [Source:ZFIN;Acc:ZDB-GENE-081105-22]"
"ENSDARG00000075263";"ENSDARG00000075263";"9 x 24";"72hpf_pos.1";"ankrd1a";"ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]"
"ENSDARG00000076192";"ENSDARG00000076192";"9 x 23";"72hpf_pos.1";"ankrd1b";"ankyrin repeat domain 1b (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-070820-13]"
"ENSDARG00000076554";"ENSDARG00000076554";"8 x 5";"72hpf_pos.1";"cdkn1a";"cyclin-dependent kinase inhibitor 1A [Source:ZFIN;Acc:ZDB-GENE-070705-7]"
