"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001686";"ENSDARG00000001686";"14 x 20";"72hpf_pos_gata5";"uckl1a";"uridine-cytidine kinase 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-040724-238]"
"ENSDARG00000003519";"ENSDARG00000003519";"33 x 1";"24hpf_pos";"aprt";"adenine phosphoribosyltransferase [Source:ZFIN;Acc:ZDB-GENE-040426-1492]"
"ENSDARG00000004517";"ENSDARG00000004517";"4 x 1";"48hpf_pos.1";"ppat";"phosphoribosyl pyrophosphate amidotransferase [Source:ZFIN;Acc:ZDB-GENE-041210-323]"
"ENSDARG00000008884";"ENSDARG00000008884";"13 x 3";"48hpf_pos";"hprt1";"hypoxanthine phosphoribosyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1918]"
"ENSDARG00000011683";"ENSDARG00000011683";"2 x 1";"72hpf_pos_gata5.1";"prtfdc1";"phosphoribosyl transferase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-980526-324]"
"ENSDARG00000012215";"ENSDARG00000012215";"39 x 33";"24hpf_pos.1";"umps";"uridine monophosphate synthetase [Source:ZFIN;Acc:ZDB-GENE-040426-785]"
"ENSDARG00000014866";"ENSDARG00000014866";"1 x 12";"48hpf_pos";"hprt1l";"hypoxanthine phosphoribosyltransferase 1, like [Source:ZFIN;Acc:ZDB-GENE-040625-17]"
"ENSDARG00000015524";"ENSDARG00000015524";"6 x 1";"48hpf_pos.1";"prps1a";"phosphoribosyl pyrophosphate synthetase 1A [Source:ZFIN;Acc:ZDB-GENE-011212-5]"
"ENSDARG00000019326";"ENSDARG00000019326";"13 x 15";"48hpf_pos";"prpsap2";"phosphoribosyl pyrophosphate synthetase-associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2077]"
"ENSDARG00000029230";"ENSDARG00000029230";"14 x 11";"72hpf_pos_tbx5.1";"pnp4b";"purine nucleoside phosphorylase 4b [Source:ZFIN;Acc:ZDB-GENE-040426-1887]"
"ENSDARG00000033916";"ENSDARG00000033916";"6 x 26";"48hpf_neg";"si:ch211-243j20.2";"si:ch211-243j20.2 [Source:ZFIN;Acc:ZDB-GENE-041014-345]"
"ENSDARG00000035549";"ENSDARG00000035549";"3 x 17";"72hpf_pos_gata5.1";"uprt";"uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-2411]"
"ENSDARG00000036833";"ENSDARG00000036833";"25 x 20";"72hpf_pos_tbx5";"upp2";"uridine phosphorylase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-830]"
"ENSDARG00000037261";"ENSDARG00000037261";"13 x 3";"72hpf_pos.1";"mtap";"methylthioadenosine phosphorylase [Source:ZFIN;Acc:ZDB-GENE-040426-1505]"
"ENSDARG00000037506";"ENSDARG00000037506";"34 x 23";"24hpf_neg";"prps1b";"phosphoribosyl pyrophosphate synthetase 1B [Source:ZFIN;Acc:ZDB-GENE-030131-4011]"
"ENSDARG00000040869";"ENSDARG00000040869";"14 x 9";"72hpf_pos_hand2.1";"upp1";"uridine phosphorylase 1 [Source:ZFIN;Acc:ZDB-GENE-050306-2]"
"ENSDARG00000040942";"ENSDARG00000040942";"15 x 12";"72hpf_pos_tbx5.1";"pnp6";"purine nucleoside phosphorylase 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1800]"
"ENSDARG00000057575";"ENSDARG00000057575";"5 x 1";"48hpf_pos";"pnp4a";"purine nucleoside phosphorylase 4a [Source:ZFIN;Acc:ZDB-GENE-040625-83]"
"ENSDARG00000074528";"ENSDARG00000074528";"2 x 2";"48hpf_pos";"unm_sa821";"un-named sa821 [Source:ZFIN;Acc:ZDB-GENE-120727-16]"
"ENSDARG00000078619";"ENSDARG00000078619";"2 x 1";"48hpf_pos";"pnp5a";"purine nucleoside phosphorylase 5a [Source:ZFIN;Acc:ZDB-GENE-040426-2553]"
"ENSDARG00000078973";"ENSDARG00000078973";"12 x 6";"72hpf_pos_hand2.1";"uckl1b";"uridine-cytidine kinase 1-like 1b [Source:ZFIN;Acc:ZDB-GENE-090311-45]"
"ENSDARG00000079416";"ENSDARG00000079416";"32 x 21";"24hpf_pos";"zgc:174895";"zgc:174895 [Source:ZFIN;Acc:ZDB-GENE-070928-41]"
"ENSDARG00000099222";"ENSDARG00000099222";"4 x 2";"72hpf_pos_gata5.1";"";"phosphoribosyl pyrophosphate synthetase-associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040704-40]"
"ENSDARG00000099802";"ENSDARG00000099802";"28 x 15";"48hpf_pos";"pnp5b";"purine nucleoside phosphorylase 5b [Source:ZFIN;Acc:ZDB-GENE-040912-54]"
