"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000000018";"ENSDARG00000000018";"21 x 37";"48hpf_neg";"nrf1";"nuclear respiratory factor 1 [Source:ZFIN;Acc:ZDB-GENE-001221-1]"
"ENSDARG00000000151";"ENSDARG00000000151";"13 x 11";"72hpf_pos_tbx5.1";"thraa";"thyroid hormone receptor alpha a [Source:ZFIN;Acc:ZDB-GENE-990415-263]"
"ENSDARG00000000175";"ENSDARG00000000175";"17 x 39";"72hpf_neg_gata5";"hoxb2a";"homeobox B2a [Source:ZFIN;Acc:ZDB-GENE-990415-103]"
"ENSDARG00000000394";"ENSDARG00000000394";"22 x 36";"48hpf_neg";"matr3l1.2";"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]"
"ENSDARG00000000476";"ENSDARG00000000476";"30 x 27";"72hpf_pos_gata5";"pms1";"PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]"
"ENSDARG00000000516";"ENSDARG00000000516";"23 x 18";"72hpf_pos_hand2.1";"ankar";"ankyrin and armadillo repeat containing [Source:ZFIN;Acc:ZDB-GENE-030616-533]"
"ENSDARG00000000656";"ENSDARG00000000656";"10 x 23";"72hpf_pos.1";"psmb9a";"proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]"
"ENSDARG00000000729";"ENSDARG00000000729";"35 x 32";"24hpf_pos.1";"daxx";"death-domain associated protein [Source:ZFIN;Acc:ZDB-GENE-010110-3]"
"ENSDARG00000000760";"ENSDARG00000000760";"30 x 7";"72hpf_pos_gata5.1";"znf511";"zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621]"
"ENSDARG00000000767";"ENSDARG00000000767";"9 x 1";"24hpf_pos.1";"spi1b";"Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]"
"ENSDARG00000000796";"ENSDARG00000000796";"8 x 1";"72hpf_pos_hand2";"nr4a1";"nuclear receptor subfamily 4, group A, member 1 [Source:ZFIN;Acc:ZDB-GENE-040704-11]"
"ENSDARG00000000857";"ENSDARG00000000857";"32 x 23";"24hpf_pos";"mapk14a";"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]"
"ENSDARG00000000966";"ENSDARG00000000966";"2 x 20";"72hpf_neg";"ncor2";"nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]"
"ENSDARG00000001129";"ENSDARG00000001129";"26 x 34";"72hpf_neg";"dicer1";"dicer 1, ribonuclease type III [Source:ZFIN;Acc:ZDB-GENE-030131-3445]"
"ENSDARG00000001241";"ENSDARG00000001241";"34 x 27";"24hpf_pos";"puf60b";"poly-U binding splicing factor b [Source:ZFIN;Acc:ZDB-GENE-040625-116]"
"ENSDARG00000001447";"ENSDARG00000001447";"24 x 37";"24hpf_neg";"mier1b";"mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]"
"ENSDARG00000001549";"ENSDARG00000001549";"33 x 33";"24hpf_pos.1";"sp3a";"sp3a transcription factor [Source:ZFIN;Acc:ZDB-GENE-070410-111]"
"ENSDARG00000001656";"ENSDARG00000001656";"24 x 19";"72hpf_pos_hand2.1";"psmb10";"proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]"
"ENSDARG00000001785";"ENSDARG00000001785";"11 x 37";"72hpf_neg_hand2";"irx2a";"iroquois homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1446]"
"ENSDARG00000001859";"ENSDARG00000001859";"20 x 40";"24hpf_neg";"dbx1b";"developing brain homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-000128-11]"
"ENSDARG00000001910";"ENSDARG00000001910";"1 x 9";"72hpf_pos_gata5.1";"rorab";"RAR-related orphan receptor A, paralog b [Source:ZFIN;Acc:ZDB-GENE-040426-855]"
"ENSDARG00000001940";"ENSDARG00000001940";"6 x 14";"72hpf_pos_gata5.1";"dnajc1";"DnaJ (Hsp40) homolog, subfamily C, member 1 [Source:ZFIN;Acc:ZDB-GENE-061103-529]"
"ENSDARG00000002002";"ENSDARG00000002002";"20 x 4";"72hpf_pos_hand2.1";"lmcd1";"LIM and cysteine-rich domains 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1067]"
"ENSDARG00000002006";"ENSDARG00000002006";"3 x 19";"72hpf_pos_gata5.1";"rxrbb";"retinoid x receptor, beta b [Source:ZFIN;Acc:ZDB-GENE-990415-242]"
"ENSDARG00000002016";"ENSDARG00000002016";"38 x 19";"24hpf_pos.1";"ppil2";"peptidylprolyl isomerase (cyclophilin)-like 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1096]"
"ENSDARG00000002031";"ENSDARG00000002031";"30 x 39";"24hpf_neg";"tox4a";"TOX high mobility group box family member 4 a [Source:ZFIN;Acc:ZDB-GENE-070912-576]"
"ENSDARG00000002196";"ENSDARG00000002196";"12 x 6";"72hpf_pos_tbx5";"bach1b";"BTB and CNC homology 1, basic leucine zipper transcription factor 1 b [Source:ZFIN;Acc:ZDB-GENE-050522-220]"
"ENSDARG00000002215";"ENSDARG00000002215";"38 x 28";"24hpf_neg";"rtca";"RNA 3'-terminal phosphate cyclase [Source:ZFIN;Acc:ZDB-GENE-030131-9687]"
"ENSDARG00000002216";"ENSDARG00000002216";"15 x 40";"72hpf_neg";"tbx3a";"T-box 3a [Source:ZFIN;Acc:ZDB-GENE-070209-80]"
"ENSDARG00000002240";"ENSDARG00000002240";"27 x 2";"72hpf_pos_gata5.1";"psmb6";"proteasome subunit beta 6 [Source:ZFIN;Acc:ZDB-GENE-990415-216]"
"ENSDARG00000002304";"ENSDARG00000002304";"40 x 34";"24hpf_pos.1";"gins2";"GINS complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-050419-19]"
"ENSDARG00000002330";"ENSDARG00000002330";"6 x 30";"72hpf_neg";"lhx8a";"LIM homeobox 8a [Source:ZFIN;Acc:ZDB-GENE-031008-2]"
"ENSDARG00000002365";"ENSDARG00000002365";"7 x 4";"72hpf_pos";"cers5";"ceramide synthase 5 [Source:ZFIN;Acc:ZDB-GENE-030131-1740]"
"ENSDARG00000002403";"ENSDARG00000002403";"35 x 35";"24hpf_neg";"nusap1";"nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]"
