"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000002403";"ENSDARG00000002403";"35 x 35";"24hpf_neg";"nusap1";"nucleolar and spindle associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030827-5]"
"ENSDARG00000002479";"ENSDARG00000002479";"39 x 36";"24hpf_pos.1";"ercc6l";"excision repair cross-complementation group 6-like [Source:ZFIN;Acc:ZDB-GENE-060531-56]"
"ENSDARG00000003867";"ENSDARG00000003867";"15 x 34";"72hpf_neg_gata5";"cdk20";"cyclin-dependent kinase 20 [Source:ZFIN;Acc:ZDB-GENE-041212-84]"
"ENSDARG00000004160";"ENSDARG00000004160";"30 x 9";"72hpf_pos";"reep3b";"receptor accessory protein 3b [Source:ZFIN;Acc:ZDB-GENE-040426-730]"
"ENSDARG00000004280";"ENSDARG00000004280";"31 x 7";"24hpf_pos";"seh1l";"SEH1-like (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-6689]"
"ENSDARG00000005058";"ENSDARG00000005058";"39 x 36";"24hpf_pos.1";"ncapd2";"non-SMC condensin I complex, subunit D2 [Source:ZFIN;Acc:ZDB-GENE-050506-59]"
"ENSDARG00000005456";"ENSDARG00000005456";"6 x 14";"72hpf_pos_gata5.1";"katnb1";"katanin p80 (WD repeat containing) subunit B 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1954]"
"ENSDARG00000006719";"ENSDARG00000006719";"40 x 13";"24hpf_pos.1";"specc1la";"sperm antigen with calponin homology and coiled-coil domains 1-like a [Source:ZFIN;Acc:ZDB-GENE-060810-139]"
"ENSDARG00000006915";"ENSDARG00000006915";"11 x 5";"72hpf_pos_gata5";"arl8ba";"ADP-ribosylation factor-like 8Ba [Source:ZFIN;Acc:ZDB-GENE-030131-9370]"
"ENSDARG00000007196";"ENSDARG00000007196";"36 x 27";"24hpf_pos.1";"rae1";"ribonucleic acid export 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1029]"
"ENSDARG00000007438";"ENSDARG00000007438";"34 x 11";"72hpf_neg";"ube2ib";"ubiquitin-conjugating enzyme E2Ib [Source:ZFIN;Acc:ZDB-GENE-990614-17]"
"ENSDARG00000007971";"ENSDARG00000007971";"32 x 4";"24hpf_pos";"cks1b";"CDC28 protein kinase regulatory subunit 1B [Source:ZFIN;Acc:ZDB-GENE-040801-112]"
"ENSDARG00000009942";"ENSDARG00000009942";"39 x 36";"24hpf_neg";"cdc6";"cell division cycle 6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050506-131]"
"ENSDARG00000011510";"ENSDARG00000011510";"22 x 40";"48hpf_neg";"rcc2";"regulator of chromosome condensation 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2213]"
"ENSDARG00000012947";"ENSDARG00000012947";"19 x 11";"72hpf_pos";"ska2";"spindle and kinetochore associated complex subunit 2 [Source:ZFIN;Acc:ZDB-GENE-041008-202]"
"ENSDARG00000015254";"ENSDARG00000015254";"30 x 26";"24hpf_neg";"fzr1a";"fizzy/cell division cycle 20 related 1a [Source:ZFIN;Acc:ZDB-GENE-040426-712]"
"ENSDARG00000016490";"ENSDARG00000016490";"34 x 40";"24hpf_pos.1";"";"RAB11 family interacting protein 3 (class II) [Source:ZFIN;Acc:ZDB-GENE-040724-138]"
"ENSDARG00000017140";"ENSDARG00000017140";"5 x 13";"72hpf_pos.1";"zgc:63587";"zgc:63587 [Source:ZFIN;Acc:ZDB-GENE-040426-1175]"
"ENSDARG00000020201";"ENSDARG00000020201";"33 x 14";"24hpf_pos.1";"cdc73";"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1309]"
"ENSDARG00000020345";"ENSDARG00000020345";"14 x 37";"48hpf_neg";"clasp2";"cytoplasmic linker associated protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2343]"
"ENSDARG00000021521";"ENSDARG00000021521";"40 x 1";"72hpf_pos_hand2.1";"rgs14a";"regulator of G protein signaling 14a [Source:ZFIN;Acc:ZDB-GENE-030131-5579]"
"ENSDARG00000021827";"ENSDARG00000021827";"34 x 3";"24hpf_pos.1";"katna1";"katanin p60 (ATPase containing) subunit A 1 [Source:ZFIN;Acc:ZDB-GENE-050522-514]"
"ENSDARG00000024933";"ENSDARG00000024933";"14 x 20";"48hpf_pos.1";"spast";"spastin [Source:ZFIN;Acc:ZDB-GENE-040426-2331]"
"ENSDARG00000026595";"ENSDARG00000026595";"3 x 19";"72hpf_pos_gata5.1";"pafah1b1b";"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1b [Source:ZFIN;Acc:ZDB-GENE-040116-3]"
"ENSDARG00000027590";"ENSDARG00000027590";"15 x 6";"72hpf_pos";"sept2";"septin 2 [Source:ZFIN;Acc:ZDB-GENE-030131-911]"
"ENSDARG00000031775";"ENSDARG00000031775";"37 x 35";"24hpf_pos.1";"ube2s";"ubiquitin-conjugating enzyme E2S [Source:ZFIN;Acc:ZDB-GENE-050913-92]"
"ENSDARG00000032013";"ENSDARG00000032013";"17 x 6";"72hpf_pos_tbx5.1";"pafah1b1a";"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1a [Source:ZFIN;Acc:ZDB-GENE-040116-2]"
"ENSDARG00000032532";"ENSDARG00000032532";"16 x 19";"24hpf_pos.1";"arpp19a";"cAMP-regulated phosphoprotein 19a [Source:ZFIN;Acc:ZDB-GENE-040426-1281]"
"ENSDARG00000033259";"ENSDARG00000033259";"29 x 24";"24hpf_neg";"dis3l2";"DIS3 like 3'-5' exoribonuclease 2 [Source:ZFIN;Acc:ZDB-GENE-070705-171]"
"ENSDARG00000034624";"ENSDARG00000034624";"39 x 32";"24hpf_pos.1";"nuf2";"NUF2, NDC80 kinetochore complex component, homolog [Source:ZFIN;Acc:ZDB-GENE-040426-1121]"
"ENSDARG00000036944";"ENSDARG00000036944";"40 x 12";"24hpf_pos.1";"ensaa";"endosulfine alpha a [Source:ZFIN;Acc:ZDB-GENE-060503-181]"
"ENSDARG00000039255";"ENSDARG00000039255";"18 x 34";"72hpf_neg";"klhl21";"kelch-like family member 21 [Source:ZFIN;Acc:ZDB-GENE-040426-2627]"
"ENSDARG00000039354";"ENSDARG00000039354";"40 x 34";"24hpf_pos.1";"ska1";"spindle and kinetochore associated complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040718-334]"
"ENSDARG00000039880";"ENSDARG00000039880";"34 x 13";"24hpf_pos.1";"arpp19b";"cAMP-regulated phosphoprotein 19b [Source:ZFIN;Acc:ZDB-GENE-040426-930]"
"ENSDARG00000040085";"ENSDARG00000040085";"18 x 34";"72hpf_neg_gata5";"ccsapb";"centriole, cilia and spindle-associated protein b [Source:ZFIN;Acc:ZDB-GENE-081107-51]"
"ENSDARG00000040158";"ENSDARG00000040158";"15 x 2";"72hpf_pos_gata5.1";"cdc42l";"cell division cycle 42, like [Source:ZFIN;Acc:ZDB-GENE-030131-6069]"
