"AffyID";"EnsemblID";"Metagene";"Max.expression.sample";"GeneSymbol";"Description"
"ENSDARG00000001912";"ENSDARG00000001912";"18 x 35";"72hpf_neg_tbx5";"drd4-rs";"dopamine receptor D4 related sequence [Source:ZFIN;Acc:ZDB-GENE-051113-172]"
"ENSDARG00000011091";"ENSDARG00000011091";"14 x 29";"72hpf_neg_hand2";"drd2b";"dopamine receptor D2b [Source:ZFIN;Acc:ZDB-GENE-030910-2]"
"ENSDARG00000014858";"ENSDARG00000014858";"21 x 33";"72hpf_neg_gata5";"drd2l";"dopamine receptor D2 like [Source:ZFIN;Acc:ZDB-GENE-030910-1]"
"ENSDARG00000016676";"ENSDARG00000016676";"6 x 37";"72hpf_neg_tbx5";"gnao1a";"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, a [Source:ZFIN;Acc:ZDB-GENE-040426-1757]"
"ENSDARG00000024873";"ENSDARG00000024873";"15 x 18";"72hpf_pos_gata5";"LOC563567";""
"ENSDARG00000032131";"ENSDARG00000032131";"1 x 23";"72hpf_pos_gata5.1";"drd3";"dopamine receptor D3 [Source:ZFIN;Acc:ZDB-GENE-021119-1]"
"ENSDARG00000035820";"ENSDARG00000035820";"22 x 13";"72hpf_pos_tbx5.1";"drd4b";"dopamine receptor D4b [Source:ZFIN;Acc:ZDB-GENE-070508-3]"
"ENSDARG00000036008";"ENSDARG00000036008";"11 x 32";"72hpf_neg_hand2";"caly";"calcyon neuron-specific vesicular protein [Source:ZFIN;Acc:ZDB-GENE-090313-405]"
"ENSDARG00000036058";"ENSDARG00000036058";"1 x 38";"72hpf_neg_tbx5";"gnao1b";"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O, b [Source:ZFIN;Acc:ZDB-GENE-040426-1693]"
"ENSDARG00000037576";"ENSDARG00000037576";"9 x 19";"72hpf_pos.1";"";"dopamine receptor D5 [Source:HGNC Symbol;Acc:HGNC:3026]"
"ENSDARG00000038363";"ENSDARG00000038363";"3 x 25";"72hpf_neg_gata5";"drd4a";"dopamine receptor D4a [Source:ZFIN;Acc:ZDB-GENE-070112-996]"
"ENSDARG00000038918";"ENSDARG00000038918";"13 x 29";"72hpf_neg_tbx5";"drd1b";"dopamine receptor D1b [Source:ZFIN;Acc:ZDB-GENE-070524-2]"
"ENSDARG00000040765";"ENSDARG00000040765";"21 x 23";"72hpf_neg_tbx5";"";"dopamine receptor D6b [Source:ZFIN;Acc:ZDB-GENE-121214-145]"
"ENSDARG00000056284";"ENSDARG00000056284";"16 x 26";"72hpf_neg_hand2";"drd7";"dopamine receptor D7 [Source:ZFIN;Acc:ZDB-GENE-060526-372]"
"ENSDARG00000056926";"ENSDARG00000056926";"26 x 13";"48hpf_pos.1";"drd2a";"dopamine receptor D2a [Source:ZFIN;Acc:ZDB-GENE-021119-2]"
"ENSDARG00000071640";"ENSDARG00000071640";"15 x 19";"72hpf_pos_gata5";"drd1a";"dopamine receptor D1a [Source:ZFIN;Acc:ZDB-GENE-130522-1]"
"ENSDARG00000093460";"ENSDARG00000093460";"40 x 18";"24hpf_pos.1";"gpr52";"G protein-coupled receptor 52 [Source:ZFIN;Acc:ZDB-GENE-050208-696]"
"ENSDARG00000101787";"ENSDARG00000101787";"20 x 23";"72hpf_neg_tbx5";"zgc:162592";"zgc:162592 [Source:ZFIN;Acc:ZDB-GENE-030131-5400]"
"ENSDARG00000102975";"ENSDARG00000102975";"4 x 40";"72hpf_neg_tbx5";"hmp19";"HMP19 protein [Source:ZFIN;Acc:ZDB-GENE-030131-3694]"
